"","time","S","E","I","H","C","R","D","hosp","crits","TA","ID","POP"
"1",0,5446,0,1,0,0,0,0,0,0,"Nsanje","224",5447
"2",1,5445.82226355785,0.145927579553658,0.708587082199018,0.00887791862181217,0.000107902183712393,0.314234570581309,0.00000138901454061554,0.00947832162448503,0.000110253287642841,"Nsanje","224",5447
"3",2,5445.69168398754,0.206801215147288,0.540821424314064,0.0143624189096316,0.000365318805249417,0.545955845703342,0.00000978958447398687,0.0164420606663248,0.000381889064135286,"Nsanje","224",5447
"4",3,5445.58898794295,0.225451874430005,0.438100107612189,0.0178118710015785,0.000704482148063228,0.728914358882928,0.0000293629789028776,0.021918903434115,0.000754183150529051,"Nsanje","224",5447
"5",4,5445.50395609724,0.223678206713648,0.370260998347594,0.0199743605174889,0.00108436157246301,0.880983665657165,0.0000623099525911837,0.0264537818371609,0.00118982999641356,"Nsanje","224",5447
"6",5,5445.43103832818,0.212521772506627,0.32172012865653,0.021277605645315,0.00147908490421954,1.0118534589246,0.000109621185106019,0.0303426544007736,0.00166463429310416,"Nsanje","224",5447
"7",6,5445.36710303333,0.197532840907297,0.284364188478792,0.0219786572876593,0.00187175107932238,1.12697801750489,0.000171511414422055,0.0337525137749512,0.00216205845104044,"Nsanje","224",5447
"8",7,5445.3102839282,0.181460792136737,0.253916360635138,0.0222413590310462,0.00225105313364458,1.22959882460668,0.000247682258039881,0.0367828791918229,0.00267029045143505,"Nsanje","224",5447
"9",8,5445.25938762914,0.165629252685851,0.228076325578244,0.0221767850887619,0.00260936914852917,1.32178314812292,0.000337490236456689,0.039497387096196,0.00318061919539282,"Nsanje","224",5447
"10",9,5445.21358743551,0.150640629446397,0.205565094000657,0.0218646905478925,0.0029416297935964,1.40496046044399,0.000440060266086631,0.0419401205333125,0.00368649414956741,"Nsanje","224",5447
"11",10,5445.17226484941,0.136735065586916,0.185636335485517,0.0213650807027952,0.00324460996011065,1.48019969298705,0.000554365875272606,0.044144060348045,0.00418295275649469,"Nsanje","224",5447
"12",11,5445.13492638844,0.1239738243061,0.167824906612404,0.0207246745901573,0.00351645686947259,1.54835446114551,0.00067928803853486,0.0461355212632839,0.00466624812838727,"Nsanje","224",5447
"13",12,5445.10115928159,0.112332462974886,0.151817415650477,0.019980674679411,0.00375635675925476,1.61014014891597,0.000813659436029672,0.0479365144171131,0.00513359064857542,"Nsanje","224",5447
"14",13,5445.07060730379,0.101747815984223,0.137385462713374,0.0191630841077858,0.00396428936467174,1.66617574613165,0.000956297907867942,0.0495660359524617,0.00558295907915183,"Nsanje","224",5447
"15",14,5445.0429568212,0.092141834377354,0.124350380710074,0.018296251412321,0.00414083736381508,1.71700784276651,0.00110603217156845,0.051040811103151,0.0060129535366403,"Nsanje","224",5447
"16",15,5445.017928633,0.0834333065251936,0.112564839718715,0.0173999246000859,0.00428703885010031,1.76312453549538,0.00126172181534267,0.0523757291672282,0.00642268180591033,"Nsanje","224",5447
"17",16,5444.99527202451,0.0755430246393736,0.101902815338633,0.0164901334174848,0.00440426077903681,1.80496547056868,0.00142227074584827,0.0535841605647438,0.00681165554917524,"Nsanje","224",5447
"18",17,5444.9747611537,0.0683964889831758,0.0922539286696314,0.015579780761019,0.00449410778090419,1.84292790230677,0.00158663779919505,0.0546781494801229,0.00717971707929974,"Nsanje","224",5447
"19",18,5444.956192495,0.0619247653024506,0.0835204981937164,0.0146791149594529,0.00455834662100492,1.87737093501196,0.00175384491537441,0.0556685501281667,0.00752697765643273,"Nsanje","224",5447
"20",19,5444.93938163766,0.0560647470253073,0.0756146583207266,0.0137962496664869,0.00459883723067423,1.9086208901037,0.00192298000076766,0.0565651974497395,0.007853753364218,"Nsanje","224",5447
"21",20,5444.92416202524,0.050758911263333,0.0684575726701224,0.0129374333293271,0.00461748863424836,1.93697336784539,0.00209320102113323,0.057376974300548,0.00816052796472344,"Nsanje","224",5447
"22",21,5444.91038298316,0.0459549966460351,0.0619781425257792,0.0121073837142864,0.0046162153847829,1.96269654171824,0.00226373685588358,0.0581119166144019,0.00844791078014409,"Nsanje","224",5447
"23",22,5444.89790747735,0.0416054092447134,0.0561117669723253,0.0113096057682441,0.00459690754871622,1.98603494960457,0.00243388351147554,0.0587773329077296,0.00871660026809206,"Nsanje","224",5447
"24",23,5444.88661296312,0.0376674967667292,0.0508007639484995,0.0105464076917663,0.00456140411794026,2.00720795118888,0.00260301317337551,0.0593797590007177,0.00896737275540119,"Nsanje","224",5447
"25",24,5444.87638760843,0.0341023042436244,0.0459925235798803,0.00981933016378922,0.0045114742278304,2.02641619877199,0.0027705605848743,0.0599251594073882,0.00920104060037084,"Nsanje","224",5447
"26",25,5444.86713008177,0.0308745429660911,0.0416393657825237,0.00912921375085185,0.00444880483806501,2.04384196666223,0.0029360242390107,0.0604189386452781,0.00941844189108505,"Nsanje","224",5447
"27",26,5444.85874877248,0.027952276105895,0.0376982167154322,0.00847630221442557,0.00437499452707005,2.05965047461382,0.00309896334673238,0.0608659828031804,0.00962042910803984,"Nsanje","224",5447
"28",27,5444.85116079881,0.0253065996138178,0.0341301159341866,0.007860371323965,0.00429154479992876,2.07399157478935,0.00325899473652602,0.0612707124420714,0.00980785518423753,"Nsanje","224",5447
"29",28,5444.84429103223,0.0229113360986258,0.0308997240147952,0.00728084167372685,0.00419985618988906,2.08700142123671,0.00341578856237396,0.0616371346198254,0.00998156234180269,"Nsanje","224",5447
"30",29,5444.83807148099,0.0207427792409802,0.0279750735257694,0.00673684241903816,0.00410122842315564,2.09880353054705,0.00356906485842485,0.0619688757673292,0.010142376425066,"Nsanje","224",5447
"31",30,5444.83244061739,0.0187794661220467,0.0253272460552643,0.00622727895818295,0.00399686082455901,2.10950994080388,0.00371858984854131,0.0622692175625134,0.0102911010596199,"Nsanje","224",5447
"32",31,5444.82734271344,0.0170019815128002,0.0229300240958555,0.00575089648190566,0.00388785351056806,2.11922235876848,0.00386417219073362,0.0625411323594218,0.0104285124885028,"Nsanje","224",5447
"33",32,5444.82272733525,0.0153927418366845,0.0207596931822586,0.00530632191571309,0.00377521056425549,2.12803303777509,0.00400565947646609,0.0627873101524452,0.0105553568217449,"Nsanje","224",5447
"34",33,5444.81854880386,0.0139358075745424,0.0187947880959927,0.00489210584433014,0.00365984396352546,2.13602571618847,0.00414293448109752,0.0630101873307887,0.0106723476179347,"Nsanje","224",5447
"35",34,5444.81476577006,0.0126167732564387,0.0170158548083728,0.00450675203047453,0.00354257747044467,2.14327636025215,0.004275912123534,0.0632119693526529,0.0107801646273315,"Nsanje","224",5447
"36",35,5444.81134080378,0.0114225856758382,0.0154052960488757,0.00414874375544311,0.00342415136075785,2.14985388319031,0.00440453619057176,0.063394652647608,0.0108794529768674,"Nsanje","224",5447
"37",36,5444.80824001497,0.0103414276703092,0.0139471771851493,0.0038165652927084,0.00330522729504884,2.15582081126985,0.00452877632262799,0.0635600448326946,0.0109708229392304,"Nsanje","224",5447
"38",37,5444.80543274953,0.00936261312627598,0.0126270822554537,0.00350871886179719,0.00318639257578753,2.16123381823169,0.00464862541885819,0.0637097809302677,0.011054849797705,"Nsanje","224",5447
"39",38,5444.80289120937,0.00847644853079728,0.0114319412963703,0.0032237369471411,0.00306816700253497,2.16614440040888,0.00476409644935937,0.0638453436342974,0.0111320753055792,"Nsanje","224",5447
"40",39,5444.80059021397,0.00767415469931553,0.0103499134513579,0.0029601921029794,0.00295100704026029,2.17059929842826,0.00487522030805366,0.0639680760233589,0.011203008220163,"Nsanje","224",5447
"41",40,5444.79850695882,0.00694778049885501,0.00937027539636079,0.00271670502041729,0.00283531045351299,2.17464092621544,0.00498204359785701,0.0640791944485051,0.0112681251880446,"Nsanje","224",5447
"42",41,5444.79662088738,0.00629015843349555,0.00848336096915016,0.00249195178529827,0.00272141864383095,2.17830759559349,0.00508462720287618,0.0641797953590195,0.0113278706657398,"Nsanje","224",5447
"43",42,5444.79491335435,0.00569478759774083,0.00768040248472383,0.00228466632698751,0.00260962432055665,2.18163412148246,0.00518304343937859,0.0642708732628048,0.0113826597681208,"Nsanje","224",5447
"44",43,5444.7933674407,0.00515576891296456,0.00695344400287428,0.00209364247376607,0.00250017584968249,2.18465215372942,0.0052773743341126,0.0643533305944518,0.0114328797030744,"Nsanje","224",5447
"45",44,5444.79196784859,0.00466776839622621,0.00629529206571269,0.00191773553419469,0.00239328000232734,2.1873903649827,0.00536771043666264,0.0644279833167031,0.011478890509722,"Nsanje","224",5447
"46",45,5444.79070073523,0.00422595950342057,0.00569943730305053,0.0017558628831014,0.0022891060433775,2.18987474973676,0.00545414930175441,0.0644955697823736,0.0115210265781464,"Nsanje","224",5447
"47",46,5444.78955355602,0.00382596838238784,0.00515998069265545,0.00160700357892845,0.00218778987725537,2.19212890746729,0.00553679398943786,0.0645567591035206,0.0115595982565079,"Nsanje","224",5447
"48",47,5444.78851495695,0.00346383616653211,0.0046715832284691,0.00147019708976811,0.00208943707405415,2.19417423745826,0.00561575203760286,0.064612156885903,0.0115948931380163,"Nsanje","224",5447
"49",48,5444.78757466254,0.00313598007692349,0.00422941299332927,0.00134454188914729,0.00199412600867914,2.19603014208301,0.00569113440862048,0.0646623112100878,0.0116271774171129,"Nsanje","224",5447
"50",49,5444.78672336774,0.00283915579543587,0.00382909429162718,0.00122919372560647,0.00190191093543268,2.19771422302687,0.00576305448597331,0.0647077183955753,0.0116566972657107,"Nsanje","224",5447
"51",50,5444.78595264976,0.00257042647943849,0.00346666644684655,0.00112336345670067,0.00181282461834695,2.19924244197448,0.00583162726537077,0.0647488277027745,0.0116836800943746,"Nsanje","224",5447
"52",51,5444.78525488042,0.00232713237025414,0.00313854240090302,0.00102631464941421,0.00172688095552625,2.20062928063155,0.00589696857194802,0.0647860460091972,0.0117083358516623,"Nsanje","224",5447
"53",52,5444.7846231546,0.00210686591418764,0.00284147500285059,0.00093736128661159,0.00164407715259693,2.20188787160545,0.00595919443905346,0.0648197416257318,0.0117308581460842,"Nsanje","224",5447
"54",53,5444.78405122252,0.00190744796655987,0.00257252535622801,0.00085586526649234,0.00156439581109425,2.20303012254902,0.00601842053754635,0.0648502479082751,0.011751425368495,"Nsanje","224",5447
"55",54,5444.7835334247,0.00172690518884287,0.00232903217253875,0.000781233809884578,0.00148780693861625,2.20406683554885,0.00607476164577112,0.0648778667261121,0.0117702018051047,"Nsanje","224",5447
"56",55,5444.78306463722,0.00156345103851116,0.00210858592369782,0.000712916957446442,0.00141426965922062,2.20500780797587,0.00612833122757225,0.0649028713836984,0.0117873386336052,"Nsanje","224",5447
"57",56,5444.78264022119,0.0014154680654011,0.00190900518896627,0.000650405075821623,0.00134373379377042,2.20586192562943,0.00617924106143134,0.0649255093144018,0.0118029748757784,"Nsanje","224",5447
"58",57,5444.78225597679,0.00128149188178288,0.00172831505219303,0.00059322642285197,0.00127614129376929,2.20663724764324,0.00622760092343877,0.0649460045316786,0.0118172382947162,"Nsanje","224",5447
"59",58,5444.78190810171,0.00116019673449748,0.00156472748648667,0.000540944777338323,0.00121142753435159,2.2073410834438,0.00627351832110807,0.0649645598464468,0.011830246237253,"Nsanje","224",5447
"60",59,5444.78159315353,0.00105038235666099,0.00141662370020929,0.000493157149093443,0.00114952247725997,2.20798006251478,0.0063170982723884,0.0649813588733641,0.0118421064228913,"Nsanje","224",5447
"61",60,5444.78130801569,0.000950962067516664,0.00128253814908572,0.000449491579903032,0.00109035171337586,2.20856019767715,0.0063584431253806,0.0649965678472862,0.0118529176811757,"Nsanje","224",5447
"62",61,5444.78104986659,0.000860952051818605,0.00116114399049227,0.000409605042679904,0.00103383739421959,2.20908694252241,0.00639765241447032,0.06501033726896,0.011862770639678,"Nsanje","224",5447
"63",62,5444.7808161517,0.00077946162161689,0.00105123995788139,0.000373181440432599,0.000979899061401072,2.20956524347926,0.00643482274894525,0.0650228033942291,0.011871748364917,"Nsanje","224",5447
"64",63,5444.78060455828,0.000705684382434492,0.000951738500918507,0.000339929707503309,0.000928454382464066,2.20999958702245,0.00647004773048472,0.0650340895818909,0.0118799269585418,"Nsanje","224",5447
"65",64,5444.78041299251,0.000638890266957766,0.000861655005814152,0.000309582014935971,0.000879419801037804,2.21039404251157,0.00650341789621569,0.065044307514691,0.0118873761110979,"Nsanje","224",5447
"66",65,5444.78023955874,0.000578418316671396,0.000780098044128684,0.000281892078061378,0.000832711108817083,2.21075230103751,0.00653502068430989,0.0650535583046121,0.0118941596157756,"Nsanje","224",5447
"67",66,5444.78008254074,0.000523670129077911,0.000706260568310728,0.000256633564228796,0.00078824394638003,2.21107771063898,0.00656494041936524,0.0650619334931458,0.0119003358444836,"Nsanje","224",5447
"68",67,5444.77994038474,0.000474103939149625,0.000639411921683727,0.000233598599085997,0.000745934239333446,2.21137330825013,0.00659325831506707,0.0650695159572067,0.0119059581884989,"Nsanje","224",5447
"69",68,5444.77981168403,0.000429229264908176,0.000578890599382439,0.000212596367973794,0.00070569857586454,2.21164184867564,0.00662005249185448,0.0650763807293897,0.0119110754659215,"Nsanje","224",5447
"70",69,5444.77969516504,0.000388602048190508,0.000524097710130371,0.000193451808447728,0.000667454531340589,2.21188583085826,0.00664539800753276,0.0650825957403258,0.0119157322980896,"Nsanje","224",5447
"71",70,5444.77958967476,0.000351820259251685,0.000474491051593272,0.000176004390544112,0.000631120945140397,2.21210752170202,0.00666936689897424,0.0650882224908623,0.0119199694569959,"Nsanje","224",5447
"72",71,5444.77949416929,0.00031851992298309,0.000429579738967456,0.000160106980776332,0.00059661815451451,2.21230897768019,0.00669202823323401,0.0650933166607463,0.0119238241856684,"Nsanje","224",5447
"73",72,5444.77940770357,0.000288371515483351,0.000388919349756112,0.000145624785364529,0.000563868189902766,2.21249206442537,0.0067134481665759,0.0650979286595658,0.0119273304933976,"Nsanje","224",5447
"74",73,5444.77932942196,0.00026107670120128,0.000352107528764649,0.000132434368651684,0.000532794935758152,2.21265847449371,0.00673369001006164,0.0651021041255314,0.0119305194275794,"Nsanje","224",5447
"75",74,5444.77925854984,0.000236365383060769,0.000318780003490551,0.000120422742636237,0.000503324260587866,2.21280974347674,0.00675281430049934,0.0651058843771431,0.0119334193238469,"Nsanje","224",5447
"76",75,5444.77919438586,0.000213993029788787,0.000288606979364924,0.00010948652329232,0.000475384119616251,2.21294726461011,0.00677087887567828,0.0651093068220592,0.0119360560360782,"Nsanje","224",5447
"77",76,5444.77913629511,0.000193738254562255,0.00026128987841635,0.0000995311496376404,0.000448904633169632,2.21307230201946,0.00678793895293689,0.0651124053272294,0.011938453147769,"Nsanje","224",5447
"78",77,5444.77908370275,0.000175400625115504,0.000236558383552815,0.0000904701617243684,0.000423818143602517,2.21318600273349,0.00680404721022089,0.0651152105540446,0.0119406321661615,"Nsanje","224",5447
"79",78,5444.77903608833,0.000158798680948968,0.000214167762840977,0.0000822245336766667,0.000400059253334549,2.2132894075772,0.00681925386888705,0.0651177502617613,0.0119426127004377,"Nsanje","224",5447
"80",79,5444.77899298068,0.000143768136782998,0.000193896448971906,0.0000747220580909473,0.000377564846327685,2.21338346104876,0.00683360677759894,0.0651200495821735,0.0119444126252028,"Nsanje","224",5447
"81",80,5444.77895395325,0.000130160256979369,0.000175543846589156,0.0000678967783808223,0.000356274095108665,2.21346902027648,0.00684715149674265,0.0651221312683082,0.0119460482303929,"Nsanje","224",5447
"82",81,5444.77891861983,0.000117840384264264,0.000158928346564594,0.0000616884657311746,0.000336128455241658,2.2135468631414,0.00685993138286467,0.0651240159195904,0.0119475343586706,"Nsanje","224",5447
"83",82,5444.77888663076,0.000106686606843908,0.0001438855293929,0.00005604213747572,0.000317071648969493,2.21361769564219,0.00687198767270064,0.0651257221856772,0.0119488845312968,"Nsanje","224",5447
"84",83,5444.77885766952,0.0000965885518733823,0.000130266538375513,0.0000509076139538531,0.000299049639567077,2.21368215857387,0.00688335956642406,0.0651272669510026,0.0119501110633949,"Nsanje","224",5447
"85",84,5444.77883144885,0.0000874460663186222,0.000117936299618672,0.000046239014038253,0.000282010544100166,2.21374083487495,0.00689408435581639,0.0651286655366347,0.0119512251936547,"Nsanje","224",5447
"86",85,5444.77880771126,0.0000791693691570826,0.000106773727579487,0.0000419948677985017,0.00026590486300461,2.21379424864095,0.00690419727388272,0.0651299316769742,0.0119522370593658,"Nsanje","224",5447
"87",86,5444.77878622047,0.0000716760729275426,0.0000966677085168673,0.0000381368852780589,0.000250684950268835,2.21384288192611,0.00691373199086558,0.0651310779753611,0.0119531560061729,"Nsanje","224",5447
"88",87,5444.77876676404,0.0000648921057101234,0.0000875183435627843,0.0000346303770359564,0.000236305358251044,2.21388716943391,0.00692272034960688,0.0651321157630578,0.0119539904849564,"Nsanje","224",5447
"89",88,5444.77874914909,0.0000587502176217426,0.0000792349344255985,0.0000314436404924448,0.000222722605529376,2.21392750692553,0.0069311925940616,0.0651330553277238,0.0119547482064737,"Nsanje","224",5447
"90",89,5444.77873320135,0.0000531896445883804,0.0000717355301536658,0.0000285478350796144,0.000209895199840616,2.21396425306971,0.00693917737486896,0.0651339059648356,0.0119554361737281,"Nsanje","224",5447
"91",90,5444.77871876303,0.000048155367212584,0.0000649459275199689,0.0000259166806206419,0.000197783550592615,2.21399773360154,0.0069467018460623,0.0651346760910673,0.0119560607581767,"Nsanje","224",5447
"92",91,5444.77870569126,0.0000435975725717229,0.000058798945092471,0.000023526236458447,0.000186349907871712,2.21402824434321,0.00695379173399761,0.0651353733266272,0.0119566277554086,"Nsanje","224",5447
"93",92,5444.77869385671,0.0000394711626902398,0.0000532337603647403,0.0000213546977565708,0.000175558300571298,2.21405605396678,0.00696047140416297,0.0651360045704477,0.0119571424363584,"Nsanje","224",5447
"94",93,5444.77868314227,0.0000357353079975216,0.000048195307536749,0.0000193822085641007,0.000165374474031064,2.21408140650838,0.0069667639257118,0.0651365760684944,0.0119576095941767,"Nsanje","224",5447
"95",94,5444.77867344193,0.0000323530433444506,0.0000436337326530951,0.0000175906908583704,0.000155765827455576,2.21410452364705,0.00697269113368719,0.0651370934755669,0.0119580335869725,"Nsanje","224",5447
"96",95,5444.7786646597,0.0000292909022505321,0.00003950390031711,0.0000159636881815996,0.000146701351487041,2.21412560677156,0.00697827368893714,0.0651375619112514,0.0119584183768009,"Nsanje","224",5447
"97",96,5444.77865670869,0.0000265185857595766,0.0000357649470935214,0.0000144862226765831,0.000138151566234574,2.21414483885529,0.00698353113573211,0.0651379860105767,0.0119587675652181,"Nsanje","224",5447
"98",97,5444.77864951023,0.0000240086626407498,0.0000323798771774696,0.0000131446644185201,0.000130088460017212,2.21416238615666,0.0069884819571067,0.0651383699698772,0.0119590844256983,"Nsanje","224",5447
