"","time","S","E","I","H","C","R","D","hosp","crits"
"1",0,177281,0,1,0,0,0,0,0,0
"2",1,177280.262532773,0.607737850966699,0.794514412131139,0.00927860222731307,0.000118152967223856,0.0609127087232032,1.51042613006766e-06,0.00989427493864185,0.000120708233367972
"3",2,177279.597766909,0.965708815415687,0.799139481669447,0.0165730624903713,0.00042063268374674,0.116686099686058,1.09728088682568e-05,0.0188131827843307,0.00043919595304456
"4",3,177278.883153265,1.25293132368249,0.901701177472788,0.023649862838894,0.000873244670623427,0.177265854708154,3.44273816153634e-05,0.0284009164199282,0.000931487255891966
"5",4,177278.055647037,1.54346075549768,1.06253128833686,0.0313253868014734,0.00147259583230716,0.247844469023923,7.72964292984661e-05,0.0395033406121647,0.00160336220672004
"6",5,177277.071850871,1.87202709122827,1.27056985271185,0.0400754390092378,0.00223008983838535,0.332066922855354,0.000145178310410282,0.0527027314768546,0.00247569550824669
"7",6,177275.892019325,2.25950158406431,1.52662314639343,0.0502751730363474,0.0031662478014756,0.433321069453125,0.000244270274463238,0.0685323853207503,0.0035794924811885
"8",7,177274.473106784,2.72295481736157,1.83709740521723,0.062297918057318,0.00430911379106744,0.555302973528312,0.000381668181656874,0.0875698988340176,0.00495480162939316
"9",8,177272.765129978,3.27984150848163,2.2117977226417,0.0765610356555835,0.00569436625915814,0.702317544435896,0.000565643265790101,0.110485982353332,0.00665129427963394
"10",9,177270.708615712,3.94998431854854,2.66333584729288,0.0935528937958047,0.00736624386370338,0.879493788092837,0.000805939088673676,0.138078718355373,0.00872969277822606
"11",10,177268.232223077,4.75679347510571,3.20720674719771,0.113854537303401,0.00937897793198058,1.09298822614929,0.00111411317257451,0.171305486093096,0.0112637809116971
"12",11,177265.250156495,5.72827798876499,3.8621873247905,0.138161504919819,0.011798646479597,1.35020770335382,0.00150393890141879,0.211317702999773,0.0143429378428841
"13",12,177261.659149771,6.89809336291074,4.65093211674413,0.167308513980867,0.0147054670230883,1.6600698193004,0.00199188448993435,0.259501336786832,0.0180752412204473
"14",13,177257.334887968,8.30673032661483,5.60073387404594,0.202298422148959,0.0181965784027095,2.03331225517304,0.00259768384892455,0.317524981745576,0.0225912147640231
"15",14,177252.12769876,10.0029260371665,6.74445905660289,0.244336971483554,0.0223894204003413,2.48286548002215,0.00334502353117576,0.387397768077747,0.028048370024115
"16",15,177245.85736837,12.0453510550666,8.12168348162622,0.294874517770981,0.0274258213981884,3.02430141828051,0.00426236815177397,0.471539062715647,0.034636690447109
"17",16,177238.306962324,14.5046191554527,9.78004571453552,0.355655763380546,0.0334768819163967,3.67636851188036,0.00538394284620231,0.572861588096662,0.0425851769881586
"18",17,177229.215317026,17.4657258253991,11.7768934653554,0.428780176351369,0.0407489220239082,4.46164224347782,0.00675092647728192,0.69487247196372,0.0521698141320454
"19",18,177218.268086978,21.030949051079,14.1812508453969,0.516774019127246,0.0494905899074894,5.40730134456974,0.00841287476178967,0.841793813232095,0.0637230860392433
"20",19,177205.086900625,25.3233679525904,17.0761923584858,0.622677669180867,0.0600014796743222,6.54606871087914,0.0104294441037069,1.01870883232888,0.0776455106465335
"21",20,177189.216369096,30.491066485751,20.5616930567602,0.750150239876279,0.0726424799686716,7.91733972873729,0.0128724597463993,1.23173712084727,0.0944194870838722
"22",21,177170.108546033,36.7121515613577,24.7580402172464,0.903594791779796,0.0878481796578468,9.56853357278684,0.0158283940709659,1.48824451280078,0.114625894026077
"23",22,177147.104161407,44.2008199151853,29.809934730333,1.08830975327347,0.106141865072228,11.5567271961277,0.0194013640133396,1.79709686277351,0.138964157818669
"24",23,177119.410160129,53.2145917593851,35.8914109517367,1.31067027148507,0.128153526718263,13.9506144420808,0.0237167301312602,2.16896429572064,0.168276347918945
"25",24,177086.07279963,64.0629337375247,43.2117456530907,1.57834558934838,0.154641506111064,16.8328573941123,0.0289254244265537,2.6166863376133,0.203576145329762
"26",25,177045.945371062,77.1176324894886,52.0224852743709,1.90056058548316,0.18651850423932,20.3029142585,0.0352091591181323,3.15571105695668,0.246083663015619
"27",26,176997.649611345,92.8251268883783,62.6258638652354,2.28840889623773,0.224882822828313,24.4804301936601,0.0427866888708668,3.80462156841776,0.297267281302722
