"","time","S","E","I","H","C","R","D","hosp","crits","TA","ID","POP"
"1",0,130320,0,1,0,0,0,0,0,0,"Dowa","65",130321
"2",1,130319.262534911,0.607736052088483,0.794514112054345,0.00945509226163082,0.000110278343203714,0.325648146484885,0.00000140760024771874,0.0100824758387415,0.000112663306782464,"Dowa","65",130321
"3",2,130318.597772417,0.965704750584399,0.799138338602476,0.0168882954104145,0.000392598408631644,0.620093374648229,0.0000102258074910384,0.0191710251846854,0.000409924477214656,"Dowa","65",130321
"4",3,130317.883164317,1.25292388001593,0.901698566802593,0.0240996868630965,0.000815044510590229,0.937266420682183,0.0000320836457630769,0.0289411090799483,0.000869405346873456,"Dowa","65",130321
"5",4,130317.055667164,1.54344803896906,1.06252630151992,0.0319211720020323,0.00137444938856764,1.30499084038454,0.0000720342498724963,0.0402546730645326,0.00149650042020602,"Dowa","65",130321
"6",5,130316.071885562,1.87200616538282,1.27056109883148,0.0408375956898096,0.00208145621390965,1.74249282727047,0.000135294827432772,0.0537050558159212,0.00231069262981923,"Dowa","65",130321
"7",6,130314.892076966,2.25946801600281,1.52660850189758,0.0512312318512057,0.00295521769652116,2.26743242627493,0.00022764068454136,0.0698356775898367,0.00334092005949874,"Dowa","65",130321
"8",7,130313.473200053,2.72290198018223,1.83707365899155,0.0634824873202165,0.00402190773848107,2.89896422826213,0.00035568452993816,0.0892350912757304,0.00462456083605069,"Dowa","65",130321
"9",8,130311.765277913,3.27975954793753,2.21176005765353,0.0780166271296029,0.00531482524316323,3.65934389505353,0.0005271343793572,0.112586719154072,0.00620797391794615,"Dowa","65",130321
"10",9,130309.708846731,3.94985864067462,2.66327708122382,0.0953312560719603,0.00687525795738564,4.57505996249462,0.000751070268511854,0.140703755754213,0.00814783178535001,"Dowa","65",130321
"11",10,130307.232579418,4.75660253515294,3.20711622093399,0.116018393288204,0.00875381905547058,5.67789135087276,0.00103826258957987,0.174561689006147,0.0105129963967223,"Dowa","65",130321
"12",11,130304.250700686,5.72799006986994,3.86204927821466,0.140786692560439,0.0110121769968771,7.00605954969903,0.00140154657580082,0.215333686874271,0.0133868835533903,"Dowa","65",130321
"13",12,130300.659974306,6.89766180848359,4.65072327061456,0.170486577507908,0.0137251944933491,8.60557257430106,0.00185626854754848,0.264431854172677,0.016870357962493,"Dowa","65",130321
"14",13,130296.336129899,8.3060864529273,5.60041979120076,0.206139724405233,0.0169835232121896,10.5318197918605,0.00242081770443433,0.323556181989525,0.0210852289807322,"Dowa","65",130321
"15",14,130291.129555596,10.0019705120512,6.74399006882507,0.248974471344438,0.0208967599958585,12.8514953246348,0.0031172668714696,0.394753578356304,0.0261784924804535,"Dowa","65",130321
"16",15,130284.860149835,12.0439203226593,8.12098624033828,0.300468213205039,0.0255972526035783,15.6449059958891,0.00397214009227328,0.480488698524604,0.0323274371606776,"Dowa","65",130321
"17",16,130278.873316739,13.1940698843072,9.55503830591194,0.361529288666991,0.0312396921447875,18.9797887992332,0.00501729028792074,0.582831843303898,0.0397407240393912,"Dowa","65",130321
"18",17,130271.930461853,14.7704364248647,10.9753420049102,0.430782498119293,0.0379611085892223,22.8487259906501,0.00629011997983028,0.701523788167165,0.0486187559448393,"Dowa","65",130321
"19",18,130263.995783208,16.6687700639409,12.5015113594921,0.507856474604368,0.0458677483477456,27.2723787118214,0.00783243398437357,0.837179254808379,0.0591386111626478,"Dowa","65",130321
"20",19,130254.974415904,18.8661530269019,14.1972981786039,0.59336705997607,0.0550635682368645,32.3040124162033,0.00968984631841581,0.991423364492473,0.0714815324923865,"Dowa","65",130321
"21",20,130244.736685846,21.3755131177535,16.1055987831342,0.688415759934361,0.065665507294817,38.0162089708818,0.0119120148337678,1.16647735046447,0.0858485966158891,"Dowa","65",130321
"22",21,130233.126611791,24.2273827204557,18.2630134535331,0.794398042827086,0.0778108118707205,44.496229911987,0.0145532687777344,1.36501356886346,0.102469102491878,"Dowa","65",130321
"23",22,130219.963792588,27.462812417142,20.7061038560996,0.91293951241767,0.0916613653651971,51.8450168164565,0.0176734445437923,1.59012366785126,0.121606317148434,"Dowa","65",130321
"24",23,130205.042384047,31.1309225015459,23.4742650409731,1.04588623302625,0.107407023969105,60.1777962993688,0.021338853809428,1.84533662296154,0.14356245178339,"Dowa","65",130321
"25",24,130188.128639902,35.2883861647486,26.6112802261304,1.19531907323915,0.125268859446886,69.6254823951715,0.0256233794893998,2.13466147935001,0.168683761473054,"Dowa","65",130321
"26",25,130168.957636478,39.9997637207986,30.1663703752223,1.3635798136943,0.145502636997268,80.3365372890613,0.0306096858664992,2.46264424447856,0.197366073414606,"Dowa","65",130321
"27",26,130147.229346204,45.3382542049664,34.1950986771131,1.55330472530665,0.168402755482697,92.479202861101,0.0363905718947727,2.83443617688031,0.230061020121104,"Dowa","65",130321
"28",27,130122.604106107,51.3867004090125,38.7602713300383,1.76746411442816,0.19430676246608,106.244080792054,0.0430704853542897,3.25587276043866,0.267283119962152,"Dowa","65",130321
"29",28,130094.697627231,58.2387399514102,43.9328781126371,2.0094060552969,0.223600371046764,121.846981110142,0.0507671681540481,3.733560897719,0.309617581714302,"Dowa","65",130321
"30",29,130063.075074737,66.0001828406265,49.793185795436,2.28290827933739,0.25672348204403,139.532311268251,0.05961359702274,4.27498264564549,0.357729614948566,"Dowa","65",130321
"31",30,130027.244628225,74.7905225091773,56.4319017097104,2.59223463249069,0.294176817965576,159.576776019183,0.0697600867717393,4.88860845993829,0.412374627656718,"Dowa","65",130321
"32",31,129986.650341118,84.7445957975853,63.9514617247431,2.94219763613721,0.336529370728486,182.293497723049,0.0813766294458447,5.58402330031197,0.474409637305837,"Dowa","65",130321
"33",32,129940.663913585,96.014455114246,72.4675344358292,3.33823037380919,0.384427096616813,208.03678378737,0.0946556067811161,6.37207252914246,0.544806561641308,"Dowa","65",130321
"34",33,129888.575613907,108.771454543487,82.1106315036377,3.78646614347129,0.438602590965567,237.207416515804,0.109814795536793,7.26502379480268,0.624666985446622,"Dowa","65",130321
"35",34,129829.584126055,123.208563324143,93.0278915832844,4.29382770104641,0.499886019837028,270.258604557347,0.127100759281561,8.27674915229595,0.715238839083342,"Dowa","65",130321
"36",35,129762.784327676,139.5430521615,105.385299401507,4.86813415008834,0.569218464465266,307.703175178785,0.146792967688195,9.42294513013861,0.817936722451095,"Dowa","65",130321
"37",36,129692.039257978,153.938916098432,118.662538905632,5.5154204802183,0.647646108377297,350.027013603213,0.169206826120057,10.7184484837377,0.934341225280202,"Dowa","65",130321
