time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
43,4395.57836,0,0,0,0,0,0,0,0,0,21883.00073,1,0,0,0,0,0,0,0,0,33901.77431,0,0,0,0,0,0,0,0,0,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
44,4395.55083493255,0.023989038614588325,0.0032173805061163525,3.3029381628773476e-5,5.940542195999488e-7,2.8501576186427475e-4,9.132138506894914e-9,0.027525067450555833,3.5169662273333784e-5,6.093847716524353e-7,21882.930206164423,0.8130221167621692,0.2228803934543104,7.756916606352954e-4,9.612487774161501e-6,0.03383595721039155,6.401351337983678e-8,0.07052383558879374,8.445498414262071e-4,9.926416311547826e-6,33901.71549493417,0.05140389810482108,0.006750303365347043,1.1150130094399383e-7,3.4978404799276275e-10,6.607525109034923e-4,8.986005350389666e-12,0.05881506584114262,1.186767020108569e-7,3.5877005334315235e-10,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
45,4395.521545759945,0.04353102294091674,0.011011469281581887,2.210113836891099e-4,8.037713323182114e-6,0.0020424452553199726,2.534823368504126e-7,0.05681424005716774,2.5073598895939867e-4,8.463246089306624e-6,21882.85132263296,0.6797305929568547,0.35126090903612694,0.002429060673824191,6.201596751378372e-5,0.11592392507136098,8.633472064275901e-7,0.1494073670528868,0.002888627139002128,6.624990674724178e-5,33901.64587690434,0.0993874160205513,0.024174508758506724,7.723685417513081e-7,4.864239533912893e-9,0.004870393404942014,2.5508970800043004e-10,0.12843309567187108,8.747551265895744e-7,5.119329241913321e-9,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
46,4395.486877181938,0.06289989160198059,0.02169724526724343,6.289336714849653e-4,3.449656689456614e-5,0.0062205736105906415,1.6773460771543554e-6,0.09148281806427132,7.599822734510477e-4,3.731240694412668e-5,21882.753760630738,0.5958376867077697,0.421305863777471,0.004305303864416838,1.6942334079627651e-4,0.22534739418162802,3.6974114208229e-6,0.24696936928350247,0.005606352637699291,1.8755580842958773e-4,33901.555583929534,0.1534706621007382,0.04998236476314415,2.2787477645221326e-6,2.1471040384978013e-8,0.015270741668080911,1.7267026909653438e-9,0.21872607047747095,2.7427026260409964e-6,2.3197743075943374e-8,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
47,4395.450791036673,0.07868421563029471,0.034057252020329117,0.0012725690895164466,9.323071078684973e-5,0.013455502364470353,6.193514928861231e-6,0.12756896333032633,0.0016365314566627195,1.0362805670238423e-4,21882.648340154487,0.5396091692469561,0.4568774940818923,0.006078718830587898,3.2659187561143193e-4,0.3494879467072645,9.92479572920006e-6,0.3523898455380415,0.00868187375455647,3.752640456365069e-4,33901.45408219925,0.20383919884170584,0.08233533461330926,4.789296721463882e-6,5.976915827805737e-8,0.03404841171682788,6.526887494872552e-9,0.3202278007646102,6.1152176369224734e-006,6.629604577292993e-8,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
48,4395.413399220963,0.09168063750560064,0.04688976047448552,0.002127723710722488,1.9556658501912092e-4,0.024050444014493105,1.6646750010937148e-5,0.16496077904033185,0.002912743304152799,2.235122701787054e-4,21882.535875488,0.5034685726674158,0.4723816358790915,0.007608885491142103,5.213876380928568e-4,0.4808533639235138,2.0666427231486274e-5,0.4648545120264875,0.01192873185874635,6.227378207532723e-4,33901.34239651874,0.2505294263297178,0.11868388471797378,8.315995423771386e-6,1.29209877919671e-7,0.06269170705434973,1.796890935698453e-8,0.4319134812762523,1.1259571169304489e-5,1.471787872766556e-7,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
49,4395.3746968839,0.1025879937803029,0.05947786204125039,0.003149430284646417,3.4906187042355963e-4,0.03806217733240874,3.65907949919985e-5,0.20366311610402402,0.0045911478535406915,4.104885654789583e-4,21882.416875377487,0.48198654090148557,0.47705310171704196,0.008857686625354615,7.40279811891856e-4,0.615180305199144,3.670828647562479e-5,0.5838546225413936,0.015241686635039992,9.203008429962185e-4,33901.221336455725,0.2937555631007282,0.15714582033330746,1.2768678858251826e-5,2.3760595576937047e-7,0.10205911412053975,4.045582647448988e-8,0.5529735442952158,1.8329914503129023e-5,2.7806178224386036e-7,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
50,4395.334616240841,0.11198532115907973,0.0714409204278392,0.004287881615379638,5.571425171010853e-4,0.055402506131847246,6.998731158733821e-5,0.2437437591628342,0.0066573288593783815,6.74633521261085e-4,21882.291630442207,0.4712707474156573,0.4766950281787889,0.009840560811112193,9.710740758471286e-4,0.7502636427987948,5.850453826348899e-5,0.7090995578184636,0.018567036592870092,0.0012579860598611865,33901.09151694136,0.3338473923341166,0.19637605484396714,1.800489457091978e-5,3.9043705010832777e-7,0.15255113692331307,7.922550586740609e-8,0.6827930586585236,2.7398145690434446e-5,4.69662555975734e-7,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
51,4395.293058273816,0.12033449073968062,0.08262147621616743,0.005497090565955459,8.196041616739694e-4,0.07590815172228543,1.2091277968582291e-4,0.28530172618544863,0.009088616730233952,0.0010225861533930836,21882.16027283937,0.4685338868846838,0.47484889854054674,0.010597698355532073,0.0012040081589860634,0.8851864398635669,8.622885091060718e-5,0.8404571606542262,0.02188316054338609,0.0016268828867993463,33900.953380471234,0.37120233993681206,0.23545549661248064,2.3863001228540502e-5,5.907281818981146e-7,0.21424709845613626,1.4004585405138473e-7,0.8209295287806934,3.847848194753048e-5,7.307740359494995e-7,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
52,4395.249911270216,0.1279932371769755,0.09300210635001985,0.006739081185458073,0.0011334405231490316,0.0993875449352281,1.933196153491835e-4,0.32844872978617956,0.011859780676166946,0.0014579752883236616,21882.022818667196,0.47178079335386985,0.47359512291264666,0.01117707754498267,0.0014320127501264847,1.0198064865331575,1.1983973038252912e-4,0.9779113328251656,0.02518758634869835,0.0020197185218207626,33900.807219811635,0.40624876695951256,0.2737968841450007,3.0183632654029773e-5,8.392431913025078e-7,0.2870132854844736,2.289193717766184e-7,0.9670901883842039,5.1546883915612285e-5,1.0681625630791265e-6,135,Sub-Saharan Africa,Malawi,Mchinji,TA Simphasi,20704,MW20704,0.1441574,0.003516566,0.2039111,0.02939531,0.02439392,0.000717067,21884.00073,0.2847219,0.03142515,0.5956823,0.1696038,0.1103714,0.01871941, 4395.57836,0.05,8.98e-06,1,0.2240977,0.000179578,4.02e-05, 33901.77431,43,2020-04-15
