time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,S_all,E_all,I_all,H_all,C_all,R_all,D_all,inci_all,hosp_all,crits_all,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
36,4626.22024,0,0,0,0,0,0,0,0,0,20187.97939,1,0,0,0,0,0,0,0,0,30001.8379,0,0,0,0,0,0,0,0,0,54816.03753,1,0,0,0,0,0,0,0,0, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
37,4626.189945912718,0.026399798957973283,0.0035432359792126333,3.720933609390786e-5,6.9669655262244e-7,3.1313559933347746e-4,1.0712126622644206e-8,0.03029408728129254,3.962099623907868e-5,7.146783612343423e-7,20187.91141600535,0.8107889760351797,0.22259171704843725,7.819612178811135e-4,9.648014977813762e-6,0.033801627852842665,6.447041850214331e-8,0.067973994639737,8.513920034494027e-4,9.963144152085582e-6,30001.783579315786,0.047467418130832294,0.006241742563059503,1.0118761228295275e-7,3.1756545728775057e-10,6.114220014926217e-4,8.160576341596716e-12,0.05432068420872275,1.0770213295553972e-7,3.2572603362934724e-10,54815.88494123385,0.8846561931239854,0.2323766955907094,8.192717415873044e-4,1.0345029095893489e-5,0.03472618545366876,7.519070570112912e-8,0.15258876612975228,8.911207018214369e-4,1.0678148239353554e-5, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
38,4626.157848880054,0.04778466136164077,0.012106579086941061,2.486819223504384e-4,9.417830902840684e-6,0.0022414826225043657,2.971207456446782e-7,0.06239111994508509,2.82145149553599e-4,9.916589792743491e-6,20187.835810038378,0.6751867209140326,0.3501893976474071,0.0024461110138595484,6.220002750262169e-5,0.1156946629638384,8.690380093119145e-7,0.14357996160464964,0.002909170336942669,6.644785521411985e-5,30001.719728935655,0.09138703103064706,0.02228634478710992,6.993436885693051e-7,4.408361688145271e-9,0.004496984544102258,2.3132394077354008e-10,0.1181710643452334,7.921374011476813e-7,4.639685628918812e-9,54815.713387854084,0.8143584133063205,0.38458232152145805,0.002695492279898556,7.162226676715051e-5,0.12243313013044503,1.1663900788973662e-6,0.32414214589496815,0.0031921076238974155,7.636908469249226e-5, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
39,4626.123575732176,0.06573837591013405,0.023398839616899515,7.024208862254476e-4,4.0298616782066995e-5,0.006782369318179315,1.9634738651163005e-6,0.09666426782208552,8.495294667025954e-4,4.35945833534814e-5,20187.75166194519,0.5806931700612337,0.41798938945815406,0.004327441499289643,1.697590412664684e-4,0.22454457533195366,3.7194061427053743e-6,0.22772805479804017,0.005637146335685696,1.879393697607423e-4,30001.64539671723,0.1334916557251519,0.04502889103757294,2.043852319045638e-6,1.9377572472107315e-8,0.013980671209950826,1.56248394889625e-9,0.1925032827650511,2.4626534474657093e-6,2.0940056421003567e-8,54815.5206343946,0.7799232016965196,0.4864171201126265,0.005031906237834136,2.100770356210075e-4,0.2453076158600838,5.684442491770571e-6,0.5168956053851768,0.006489138455835757,2.315548931706447e-4, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
40,4626.088621500229,0.07981620845206656,0.03582556151738448,0.0013982334407013019,1.0789768366806297e-4,0.014463385567351226,7.213106392574201e-6,0.13161849976756423,0.0018031896435693451,1.2000589553090433e-4,20187.66280230371,0.513755907860204,0.44923279508844505,0.006086499866163377,3.266502337350505e-4,0.3471758692816233,9.973946663432483e-6,0.31658769627683403,0.008702591016326828,3.7540253982057956e-4,30001.563956037506,0.1712896689381876,0.07202301252752291,4.2111802703635375e-6,5.3314262378303656e-8,0.03062701066806546,5.867316416999154e-9,0.273943962495625,5.394811846269593e-6,5.918157879530282e-8,54815.31537984144,0.7648617852504581,0.5570813691333525,0.007488944487135042,4.346012316654918e-4,0.39226626551703997,1.7192920372423684e-5,0.7221501585400233,0.010511175471742443,4.954676169302792e-4, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
41,4626.053212963478,0.09078755723085805,0.048242819476699735,0.0022966501217395606,2.235121971195738e-4,0.02545726976533774,1.9227728275770785e-5,0.16702703652003048,0.0031598010147450063,2.557886387708236e-4,20187.570221313395,0.46667377711125174,0.4587956231376091,0.007574443947824958,5.199955361124641e-4,0.47558410940990364,2.07374474184033e-5,0.40916868659012023,0.011904550474809318,6.213594613559374e-4,30001.47654653239,0.20486467939824057,0.10114854637062874,7.157130213174811e-6,1.1348620602307488e-7,0.05533295523720013,1.5986219971901398e-8,0.3613534676087085,9.746578733074336e-6,1.2947242599497627e-7,54815.09998080926,0.7623260137403504,0.6081869889849375,0.009878251199777694,7.436212194380609e-4,0.5563743344124416,3.9981161914145986e-5,0.9375491907188592,0.0150740980682874,8.77277572552756e-4, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
42,4626.017443742941,0.09934495630873197,0.05997372007815007,0.003341529865886317,3.9366059240694955e-4,0.03970053203275856,4.1858177374368e-5,0.20279625705530827,0.004907031925770921,4.6392542038217684e-4,20187.474604033392,0.43392371947333624,0.4562366061381142,0.008749765261699486,7.35423851656648e-4,0.6051036941413144,3.6757728733305776e-5,0.504785966594854,0.01512684052429381,9.150943574941288e-4,30001.384091181884,0.23446762965402376,0.1308567367352279,1.0766384808523611e-5,2.0531842407352163e-7,0.08847344446359748,3.556084163676123e-8,0.45380881811692325,1.5583970122729267e-5,2.408792657102828e-7,54814.87613895822,0.767736305436092,0.6470670629514922,0.012102061512394327,0.001129289762487671,0.7332776706376705,7.865146694931053e-5,1.1613910417670854,0.02004945642018746,0.001379260657142016, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
43,4625.981333987015,0.10607195592314114,0.07066653763399804,0.0044751346807455185,6.200573715848958e-4,0.0569930718317799,7.9255539396145e-5,0.23890601298064565,0.0070164438284549225,7.530989226287331e-4,20187.3764241728,0.41153272461389934,0.4475957019068575,0.009626931582619153,9.599611363217945e-4,0.733192079304976,5.842864717426158e-5,0.6029658271918477,0.018306931871494535,0.0012455583414528947,30001.287331049498,0.26044428452563134,0.16005878663455406,1.4891622416151407e-5,3.32013937946054e-7,0.13005058693428964,6.877157802794766e-8,0.5505689505024072,2.2907332735631436e-5,4.007855159740017e-7,54814.64508920931,0.7780489650626718,0.6783210261754096,0.014116957885780823,0.0015803505218446364,0.9202357380710455,1.3775295814843453e-4,1.3924407906749006,0.025346283032685088,0.001999058049597602, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
44,4625.944865040907,0.11144018434640977,0.08018827945836246,0.00564579404747771,9.003884088392155e-4,0.07706476816111764,1.3554466714951803e-4,0.2753749590893564,0.009451922570551658,0.0011279191643004504,20187.276005493844,0.3966483112498931,0.43656448570878864,0.010247101005341788,0.001183138442438864,0.8586556262439144,8.584349775416843e-5,0.7033845061481309,0.021416204915564854,0.0016027384883572342,30001.186854177835,0.28318733001021396,0.18802999323596592,1.9378100877478696e-5,4.946107840674838e-7,0.17980850614579966,1.2006292497644777e-7,0.6510458221665663,3.167157505835732e-5,6.146737090439316e-7,54814.40772471258,0.7912758256065168,0.704782758403117,0.015912273153696976,0.002084021462062147,1.1155289005508318,2.2150822782866293e-4,1.6298052874040536,0.03089979906117487,0.0027312723263667286, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
45,4625.90800131697,0.11581849391655044,0.08854222300962765,0.006811700071397103,0.001229350858377874,0.09962235541890477,2.1455975278180398e-4,0.3122386830276398,0.012175484827092308,0.0015895195294785077,20187.173566232363,0.387217031228572,0.4253211605854754,0.010659936956998165,0.0013972942792894146,0.9811094806895995,1.1886389530996773e-4,0.8058237676352444,0.024446218150756125,0.0019782968856012807,30001.083121157495,0.30310208709393255,0.21432530441761866,2.4079897811994272e-5,6.922469065085582e-7,0.23732648496242933,1.9388694791828492e-7,0.7547788425056473,4.1802574900531156e-5,8.861338544268428e-7,54814.16468870683,0.806137612239055,0.7281886880127217,0.01749571692620726,0.0026273373845737973,1.3180583210709336,3.3361753503969e-4,1.8728412931685314,0.036663505552748964,0.0035687025489342153, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
