time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
50,1613.61493,0,0,0,0,0,0,0,0,0,5907.67966,1,0,0,0,0,0,0,0,0,9676.73117,0,0,0,0,0,0,0,0,0,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
51,1613.561246381524,0.04684165099555858,0.0062279582189699,6.542287497641365e-5,1.2469501213156757e-6,5.473202904739821e-4,1.9146299543422177e-8,0.05368361847639972,6.965106163425857e-5,1.2790767794193202e-6,5907.577411943935,0.8408498916168694,0.22643418416405794,7.85672665290402e-4,9.741482600293357e-6,0.034168501486564515,6.464994314187886e-8,0.1022480560653256,8.552196570359898e-4,1.0059123882699939e-5,9676.63986686494,0.07996462919976974,0.010335442775687063,1.6812229740635894e-7,5.247136634212166e-10,0.0010028944235633236,1.3434833216913524e-11,0.09130313505946602,1.7888526733912152e-7,5.381484966381301e-10,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
52,1613.501011200879,0.08772188319147761,0.021756906493670573,4.4428892593375153e-4,1.7060515415783827e-5,0.003978123819647795,5.361747571691458e-7,0.11391879912090266,5.036591303589654e-4,1.7960193344059815e-5,5907.45511602225,0.738654500255002,0.3648289766876255,0.0024928805682120723,6.341615520184911e-5,0.11850332641837855,8.776650882104944e-7,0.2245439777495079,0.0029611422709463174,6.77283425077352e-5,9676.52261663783,0.16260677154367356,0.038358462506700136,1.1964462938153986e-6,7.452612240152147e-9,0.007586923830977319,3.880320901242316e-10,0.20855336216828918,1.3532591804209258e-6,7.840644330276382e-9,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
53,1613.4347623568397,0.12366943988189857,0.042919026794121365,0.0012759418771307752,7.398660222427393e-5,0.012225667853749261,3.5801513589098176e-6,0.18016764316048314,0.001540374253279812,7.999394053035972e-5,5907.313959503546,0.6782483196247518,0.4491296068722906,0.00449008083899819,1.7509986357765653e-4,0.2336536009923949,3.7882614272952915e-6,0.36570049645344005,0.005829374827584893,1.9371253606240596e-4,9676.380148738801,0.24663476062154677,0.0801549061873052,3.59731506266109e-6,3.353539019095963e-8,0.024227960868050836,2.670772265440071e-9,0.351021261198128,4.321438311789082e-6,3.6206162456399694e-8,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
54,1613.3624548138375,0.155958500438789,0.06725252174058485,0.0025825223801911375,2.0067391593768606e-4,0.026467672826608033,1.3294860434884026e-5,0.2524751861625456,0.003319624337677061,2.2298211365278585e-4,5907.154298702438,0.6489493094329671,0.5017018812375165,0.006455319756082044,3.416000783283429e-4,0.3679029326643954,1.0254391846378026e-5,0.5253612975611351,0.009165416708747485,3.9198246102023363e-4,9676.21278293613,0.3314345244011272,0.13255408495997795,7.610973864382432e-6,9.430267302080392e-8,0.05439073901223485,1.0216932664719881e-8,0.5183870638668102,9.701365978092906e-6,1.0451960568552382e-7,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
55,1613.2836825495049,0.18585732432045043,0.09322682946841727,0.004325128632736466,4.215183345271657e-4,0.04738082712016824,3.582261871102962e-5,0.3312474504950106,0.005917221806806378,4.8162713106491976e-4,5906.975866794063,0.6432704738439451,0.5371299994995238,0.00824975351557847,5.525873926697783e-4,0.514568844237891,2.154744661533465e-5,0.7037932059362227,0.012802196707073422,6.584553678428089e-4,9676.020416994115,0.4169120445607839,0.19309118209034928,1.3298237864495086e-5,2.0513377314183684e-7,0.10073624752489521,2.8335077552717142e-8,0.7107530058827437,1.7967614878386165e-5,2.3346885069455402e-7,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
56,1613.1978149679817,0.21451211023218816,0.11999246632774636,0.006440318583345367,7.54220030949086e-4,0.07533703616174872,7.88806821335938e-5,0.4171150320181113,0.00937104093058147,8.86578385634853e-4,5906.777908953482,0.6560073172208848,0.5648275240744088,0.009837615034269196,7.961973865762508e-4,0.6702437449393006,3.864786150395144e-5,0.9017510465169428,0.016655223998045653,9.86083961780907e-4,9675.802523216144,0.5033666722734574,0.2599441527087249,2.0610736760438097e-5,3.79600166057415e-7,0.1653149043763856,6.415547435570519e-8,0.9286467838509691,2.9485849568700505e-5,4.4375564041312027e-7,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
57,1613.104075468526,0.24290999887184045,0.14717543752260834,0.008861865641491573,0.0012096915602026995,0.11054628977022429,1.5124810729475038e-4,0.5108545314736621,0.013699623453953183,0.0014634793075876049,5906.559268801909,0.6835965263745155,0.5908002889248596,0.01123752488512118,0.0010617948681182904,0.8336328170676152,6.224597075595905e-5,1.1203911980909846,0.020693039522970438,0.0013676248350863143,9675.558153211276,0.5913891127689074,0.3318579855422815,2.9442275394945218e-5,6.287205126696866e-7,0.24973949306090865,1.263495584521754e-7,1.1730167887175638,4.4543676817382464e-5,7.55070071121862e-7,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
58,1613.0015836872553,0.2718824912542283,0.17471942834199264,0.011532527005974619,0.0017931358015127077,0.1531564351134144,2.622952274051996e-4,0.6133463127445279,0.018914900353367917,0.002233255787829307,5906.318443390797,0.7236610153212131,0.6188378785515715,0.01249350292989627,0.0013411274673204407,1.0047902942831828,9.27906488237209e-5,1.3612166092020066,0.024917855691307094,0.0017970310498343872,9675.285947698583,0.6817804462341323,0.40806521812602337,3.966530800841832e-5,9.608138659588184e-7,0.35533578613295413,2.2479643737455095e-7,1.4452223014114218,6.337751407508571e-5,1.1856103033333694e-6,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
59,1612.8893748964667,0.302127521662209,0.20277083388078396,0.01440936554738965,0.002505576959768516,0.20332019060304904,4.2161487954420006e-4,0.7255551035327444,0.025030529193339437,0.0032130283947471965,5906.053616465007,0.7746863307877202,0.6513153579048432,0.01365837039771432,0.0016285960890774869,1.1846243251711215,1.3055464102789186e-4,1.6260435349915023,0.029353047561309017,0.002270043576652576,9674.984147355699,0.7754902137517202,0.48820865124307206,5.1155826288637183e-5,1.3817254212143894e-6,0.4832708714901758,3.7025723817507257e-7,1.747022644293916,8.619547947642643e-5,1.7519826593894617e-6,266,Sub-Saharan Africa,Malawi,Balaka,TA Sawali,31208,MW31208,0.1446378,0.003537845,0.2035313,0.02943832,0.02446002,0.000720062, 5908.67966,0.3025119,0.03431589,0.5959630,0.1802859,0.1134365,0.02045100, 1613.61493,0.05,8.92e-06,1,0.2247167,0.000178339,4.01e-05,  9676.73117,50,2020-04-22
