time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,lvl2,lvl3,lvl4,TA_Code,ID
1,14916.34022,0,0,0,0,0,0,0,0,0,64569.78847,1,0,0,0,0,0,0,0,0,96321.73541,0,0,0,0,0,0,0,0,0,Malawi,Lilongwe,TA Chadza,20601, 49
2,14916.328998122865,0.010179633424218869,9.689307333782541e-4,7.865392424966107e-6,1.199789701864088e-7,6.532604932870226e-5,1.5580349033035296e-9,0.011221877136355881,8.278706837779487e-6,1.2259434526493298e-7,64569.76404024521,0.7514780539807249,0.21470683390703438,7.648277697941176e-4,9.501891414577325e-6,0.03304109710323339,6.369439061253669e-8,0.024429754784214993,8.331714155425642e-4,9.813327405727935e-6,96321.75446160781,1.795003780721201e-7,1.700716868173002e-8,2.1473416164218153e-13,5.514328818280551e-16,1.2835864415661461e-9,1.2010324419881845e-17,0.019051607820223304,2.2600302576714022e-13,5.63443206247937e-16,Malawi,Lilongwe,TA Chadza,20601, 49
3,14916.302718441324,0.03072342854357662,0.005839788733915176,9.54592485911124e-5,2.9808590181779124e-6,8.398215586094015e-4,7.973085548362444e-8,0.03750155867456597,1.0596013791352775e-4,3.1146981844117e-6,64569.70549518385,0.5647211635917971,0.3226935457393399,0.002326725746846403,6.0084173346000595e-5,0.11019891950055356,8.462897966798728e-7,0.08297481612510611,0.002773992492288133,6.422213744448695e-5,96321.80107012045,5.603938513788465e-7,1.0463072036430965e-7,2.6420851281121193e-12,1.383351899278797e-14,1.6647554788436907e-8,6.190497153677876e-16,0.06566012047059684,2.931136502275234e-12,1.445256870815576e-14,Malawi,Lilongwe,TA Chadza,20601, 49
4,14916.274230426816,0.047943449052385935,0.014291792104230006,3.607389921004508e-4,1.7519840621087126e-5,0.003375340904663103,7.322965531038723e-7,0.06598957319055361,4.239496854019448e-4,1.874910073009759e-5,64569.63922169774,0.4243759744819911,0.3637472489779356,0.00398189484613522,1.6041091111207486e-4,0.20773321771806322,3.564493656679017e-6,0.14924830224731875,0.0052204358786954,1.7783962978325108e-4,96321.8557888659,9.178520907979891e-7,2.639536533545722e-7,1.0196372743140775e-11,8.254739632158981e-14,6.79412577135051e-8,5.7502377385422384e-15,0.12037886590343241,1.1962325424343405e-11,8.829763406013201e-14,Malawi,Lilongwe,TA Chadza,20601, 49
5,14916.243739233356,0.0625615805741416,0.024633157937108168,8.397983905904594e-4,5.6404911077789815e-5,0.008386530740055034,3.2940974071063598e-6,0.09648076665038008,0.0010486042983493926,6.193450495691914e-5,64569.56416286622,0.3189099349863914,0.3644646445332032,0.005384723477075554,0.00030106756218787023,0.3109337098710441,9.393447412677427e-6,0.2243071337688171,0.007801340170856288,3.4699715782658783e-4,96321.9205144176,1.275994470966791e-6,4.7345044599019493e-7,2.438638091599369e-11,2.7090224588778334e-13,1.7225906190712286e-7,2.6237463942119514e-14,0.1851044176087128,3.0329175112591736e-11,2.9713970982990276e-13,Malawi,Lilongwe,TA Chadza,20601, 49
6,14916.213679848746,0.07313392120449139,0.03552406768926304,0.0015193843743880253,1.3144074893960134e-4,0.01622130424520149,1.0032999776199884e-5,0.12654015126205964,0.002019303844683667,1.4828251385890737e-4,64569.48501757749,0.2396547208263365,0.342359192138603,0.0064004509779747925,4.6604267137353896e-4,0.4111051277384777,1.9165262066113995e-5,0.30345242249976684,0.010298770494570038,5.597519027488776e-4,96321.99201172289,1.6057118547529688e-6,7.16590803679064e-7,4.5606130260188634e-11,6.46100504625872e-13,3.41653893842129e-7,8.127255348205817e-14,0.25660172288920596,6.015359142234723e-11,7.273730581079301e-13,Malawi,Lilongwe,TA Chadza,20601, 49
7,14916.185405348355,0.07950656831265564,0.04578391094454913,0.0023525936317521094,2.5083839965477165e-4,0.026896765487268996,2.3974877699713525e-5,0.15481465165358024,0.0033339522146814404,2.910835170867014e-4,64569.40474487446,0.18009619314594488,0.3087309136911081,0.007011826501512427,6.388848348299373e-4,0.5034948363575372,3.328828342132367e-5,0.3837251255367226,0.012594807544935731,8.016490820630653e-4,96322.06796361662,1.8932747917243204e-6,9.7594806648935e-7,7.339054182611272e-11,1.2667311015377492e-12,5.832256565683688e-7,1.9801124253384926e-13,0.3325536166226118,1.026853887075447e-10,1.464742344071598e-12,Malawi,Lilongwe,TA Chadza,20601, 49
8,14916.159588211502,0.08214925543353556,0.054578879160528344,0.0032741306649805768,4.1783320319427325e-4,0.0401631137370654,4.8576308811024214e-5,0.18063178850811507,0.004957723530205629,4.99375193814426e-4,64569.32530561833,0.13533936543449993,0.2706720952518495,0.007261309017278321,8.056464298510267e-4,0.5858769786642407,5.1778309918172476e-5,0.46316438166166135,0.014635311859420023,0.0010588183200974425,96322.14648656233,2.1322150655210104e-6,1.2360719920601592e-6,1.0664128172127938e-10,2.175001755300497e-12,8.993391696197061e-7,4.0996888394105363e-13,0.41107656232972956,1.5834069450611042e-10,2.5849706392415504e-12,Malawi,Lilongwe,TA Chadza,20601, 49
9,14916.136482376616,0.08177460690850244,0.06143650194148569,0.0042148155552905,6.305142970020564e-4,0.05559384383373409,8.734085571577897e-5,0.20373762339173043,0.006834823496294272,7.771278914033638e-4,64569.24805901978,0.10170555470552667,0.23246231381129,0.007216393054597287,9.559572554582477e-4,0.6575938112421422,7.433937518680194e-5,0.5404109802075517,0.016405477642224605,0.001319442277768231,96322.22594547668,2.3198952041440794e-6,1.4842855094875363e-6,1.4387883982949538e-10,3.392730450956661e-12,1.2883351903739496e-6,7.546856786666875e-13,0.49053547668815284,2.2682716242196242e-10,4.147416129623349e-12,Malawi,Lilongwe,TA Chadza,20601, 49
10,14916.116093804047,0.07913100725118104,0.0661864851432791,0.005111957486176878,8.825582289111359e-4,0.07267072867495256,1.4345917419959612e-4,0.22412619595870012,0.008899299470843973,0.0011233741106296642,64569.17397762094,0.07643049975785696,0.19652720493108583,0.006949897722755077,0.0010830728805383263,0.7189183840623451,1.0045740732220421e-4,0.6144923790292468,0.01791364783471267,0.0015742629510757662,96322.30489756665,2.4560590944650017e-6,1.7107402382919958e-6,1.834529619233618e-10,4.920583858027774e-12,1.7453409933982622e-6,1.2711032749604336e-12,0.5694875666031175,3.0728670458312613e-10,6.191687132988208e-12,Malawi,Lilongwe,TA Chadza,20601, 49
