time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,lvl2,lvl3,lvl4,TA_Code,ID
1,6766.753115,0,0,0,0,0,0,0,0,0,26519.17637,1,0,0,0,0,0,0,0,0,40108.42344,0,0,0,0,0,0,0,0,0,Malawi,Zomba,TA Malemia,30306,419
2,6766.740323981274,0.011603058519708666,0.0011043979929125259,8.907149085562527e-6,1.3597157661743693e-7,7.45173251784859e-5,1.7661169942673573e-9,0.012791018724578851,9.375203877041306e-6,1.3893555888887402e-7,26519.15115543555,0.7514785733934023,0.21470688323979362,7.501240400194314e-4,9.298812855392521e-6,0.033056008972359725,6.234698254628062e-8,0.02521456444755613,8.171537837562183e-4,9.603592692246908e-6,40108.44337966988,4.511771483597883e-7,4.27408593156751e-8,5.324461138103266e-13,1.3672464003506652e-15,3.225529748188439e-9,2.977801888250658e-17,0.019939669877962925,5.6038660219499e-13,1.3970244192331715e-15,Malawi,Zomba,TA Malemia,30306,419
3,6766.7103651454545,0.035023591079249676,0.006656711822450733,1.0810599841355742e-4,3.378186693049051e-6,9.579770847296888e-4,9.037361493217874e-8,0.04274985454515161,1.1999759795086003e-4,3.5298560294147174e-6,26519.090677064603,0.5647222500765118,0.3226945659729288,0.0022819953605328048,5.879943287739462e-5,0.11024479215219171,8.283675258297231e-7,0.08569293540417845,0.0027206586070908046,6.284886252205215e-5,40108.49223357601,1.4101944604452372e-6,2.631354564124585e-7,6.554233770512765e-12,3.430981051199546e-14,4.185225208814548e-8,1.535102833929239e-15,0.06879357602442943,7.271132037431258e-12,3.5844913345924684e-14,Malawi,Zomba,TA Malemia,30306,419
4,6766.674940866351,0.057227371805797005,0.01663357137332811,4.121007648487293e-4,1.992231448382622e-5,0.0038803362510400037,8.311390498482788e-7,0.07817413364854747,4.839153854835184e-4,2.131717191221039e-5,26519.015849192885,0.4243783293227483,0.363748673157616,0.003905341481628261,1.5698281468691887e-4,0.20781323720430617,3.489046103706466e-6,0.16052080713114,0.00512007208799515,1.7403882700436706e-4,40108.55502017719,2.4287505119020427e-6,6.794530249506347e-7,2.5550068154809112e-11,2.0558467164978745e-13,1.723773606958243e-7,1.4284831100737107e-14,0.13158017719248438,2.9947458209819594e-11,2.1986950275052454e-13,Malawi,Zomba,TA Malemia,30306,419
5,6766.636974960133,0.07604383115509865,0.02926769488776349,9.751988484407963e-4,6.48362840787694e-5,0.009784715875018321,3.76281535554898e-6,0.11614003986575552,0.0012148975283998527,7.115122133419451e-5,26518.930580994846,0.3189133441498494,0.3644670970483082,0.005281188979238474,2.946350075207036e-4,0.3110438085453937,9.194662522712358e-6,0.24578900516623797,0.007651357773177244,3.395826157152655e-4,40108.6299888946,3.45627849118683e-6,1.2487328072419394e-6,6.227661648134682e-11,6.831876954951317e-13,4.446759042186149e-7,6.567250652010211e-14,0.20654889459899606,7.725382052165148e-11,7.488602020152339e-13,Malawi,Zomba,TA Malemia,30306,419
6,6766.599469859818,0.08973755292404642,0.04278656242148288,0.0017892051525296888,1.52892364778805e-4,0.019167363370970497,1.1563947707164092e-5,0.15364514018151537,0.0023696585967560814,1.7229953661572974e-4,26518.839912301726,0.23965928801368205,0.3423615689440129,0.006277426473946253,4.5608214242526544e-4,0.411239561971188,1.8759871126239894e-5,0.3364576982845522,0.010100801842462277,5.47788753198617e-4,40108.71378967271,4.4185456079885765e-6,1.924444026389475e-6,1.184917727361086e-10,1.6527385660823717e-12,8.959833749196854e-7,2.0560248014537733e-13,0.29034967271250567,1.5565859366066356e-10,1.858341046227749e-12,Malawi,Zomba,TA Malemia,30306,419
7,6766.564098866765,0.09814713181875104,0.05565451152515784,0.002800079672328648,2.94804200150767e-4,0.032091725488773856,2.788052892307333e-5,0.18901613323408514,0.003950865043085411,3.4159464139249144e-4,26518.747082435344,0.180101593328504,0.30873395953266186,0.006877057458883752,6.252316064455489e-4,0.5036457619051908,3.2584115983478964e-5,0.42928756466807216,0.01235271582950982,7.845172871297305e-4,40108.80390377932,5.277385604994752e-6,2.658491250640805e-6,1.9344714548718972e-10,3.28306893751777e-12,1.5497631005511274e-6,5.064443048915175e-13,0.38046377931826364,2.692374103353754e-10,3.789513242409287e-12,Malawi,Zomba,TA Malemia,30306,419
8,6766.531699610449,0.10187086888801132,0.06678775279875447,0.003928679419093076,4.95245502931424e-4,0.048275904953209534,5.6937986655005866e-5,0.22141538954865475,0.0059190086405271364,5.908015638065227e-4,26518.654320508624,0.1353453618836043,0.2706759483166896,0.0071217530368679755,7.884304802228505e-4,0.586037509160143,5.068305172709517e-5,0.5220494913920212,0.014354012329376647,0.0010361918249711696,40108.898150710535,6.011335693559034e-6,3.407626989744731e-6,2.845477500983543e-10,5.702643520409864e-12,2.4163620838532435e-6,1.0593286938942083e-12,0.4747107105259077,4.1978719438443563e-10,6.7619722143040714e-012,Malawi,Zomba,TA Malemia,30306,419
9,6766.502596908513,0.10179879633110472,0.07556601060197175,0.0050895789047887005,7.524991392402232e-4,0.06720813637695017,1.0307013140467508e-4,0.25051809148546017,0.008207381553055509,9.254763786811905e-4,26518.563255314246,0.10171201225052268,0.2324667365614513,0.0070777175378330835,9.355300994391689e-4,0.6577583565483028,7.276694270924376e-5,0.6131146857695469,0.016090175837420975,0.001291247345431835,40108.994527827264,6.608083402878245e-6,4.135307212362216e-6,3.8802396275013403e-10,8.986665320419543e-12,3.494709767644324e-6,1.9682045378498625e-12,0.5710878272588201,6.07121359915522e-10,1.0954869858269405e-11,Malawi,Zomba,TA Malemia,30306,419
10,6766.476810574277,0.0988619954113761,0.08175243848313714,0.006204532635802818,0.0010593005942029585,0.08825588315869899,1.702754363723979e-4,0.2763044257195904,0.01073587164982026,0.0013450650006987812,26518.47511748894,0.07643918626103964,0.19653320939967764,0.006816316356118682,0.0010599226170144847,0.7190794754799306,9.833345947440088e-5,0.7012525110790255,0.01756931196158984,0.0015406203911800316,40109.09120048022,7.0619963200868485e-6,4.811890699132574e-6,4.994942784055874e-10,1.315333802232392e-11,4.774342171424294e-6,3.3430236523744467e-12,0.6677604802247072,8.294215118995542e-10,1.6496361674698365e-11,Malawi,Zomba,TA Malemia,30306,419
11,6766.455443114306,0.09281890021855481,0.08524181221179644,0.007208778558093992,0.0014042166213654365,0.11073635344708586,2.6182463237402117e-4,0.2976718856892706,0.013419691855963192,0.001843623280777631,26518.39554591696,0.05744490848713404,0.16410271510466204,0.006404017141431921,0.0011581374273661221,0.7707929164035007,1.2674962254488882e-4,0.7808240830611939,0.018812067688401823,0.0017777460708463483,40109.18120376518,7.25771724622046e-6,5.398799274681169e-6,6.141408840580216e-10,1.8164168982069685e-11,6.2355507561604625e-6,5.291953518790773e-12,0.7577637651751674,1.0832633340752308e-9,2.345612250086046e-11,Malawi,Zomba,TA Malemia,30306,419
12,6766.436841801404,0.08587673498053927,0.08623467133726241,0.008051892536207287,0.0017731528349949042,0.1339566952807031,3.8005162107558057e-4,0.3162731985907826,0.01617413137081252,0.0024109736989327618,26518.32040292339,0.04317091754032159,0.13565383261724537,0.005897367615121169,0.0012291642370851345,0.813923666242601,1.5732955592645943e-4,0.8559670766312647,0.019844537390206904,0.001998261223487725,40109.268445798385,7.344229676565577e-6,5.874307544870734e-6,7.266505000233566e-10,2.3925424763917025e-11,7.848520587432048e-6,7.9153938175882e-12,0.8450057983892645,1.3634668716534608e-9,3.184081858150522e-11,Malawi,Zomba,TA Malemia,30306,419
13,6766.420743754873,0.07848804599747336,0.08518917474320103,0.00870549660234818,0.002150903239985257,0.15731144370679234,5.261808313063754e-4,0.3323712451211067,0.018926507979545544,0.0030339651552628933,26518.250194322794,0.032444417708822976,0.11120985167248981,0.005341809861965029,0.0012738353114727908,0.8495756255263872,1.8938528147501794e-4,0.926175677229099,0.02069449849843402,0.0021996349706260056,40109.351786162246,7.324132742275277e-6,6.239123864344002e-6,8.326190999771673e-10,3.029622945476765e-11,9.58151637781373e-6,1.129875255416584e-11,0.9283461622521312,1.6645187401558368e-9,4.1594982008933495e-11,Malawi,Zomba,TA Malemia,30306,419
