time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
39,3396.666821,0,0,0,0,0,0,0,0,0,13792.67793,1000,0,0,0,0,0,0,0,0,23459.79963,0,0,0,0,0,0,0,0,0,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
40,3389.5579517355372,6.4482093948689085,0.6141584185369939,0.004919610001217383,7.354729723915254e-5,0.041507347180440864,9.465766444222637e-7,7.108869264461446,0.005177499461394661,7.513609422265032e-5,13778.183504740668,751.4782466990031,214.70788958800892,0.7554347313432508,0.009436721742661462,33.04998067026286,6.302043551134971e-5,14.494425259332514,0.8229431072305837,0.009746096465965685,23472.673508586406,4.977890496122726e-4,4.72523243256563e-5,6.036534614854152e-10,1.5472190480499245e-12,3.5708726192453396e-6,3.3403314047782427e-14,12.873878586407118,6.352659087273693e-10,1.5806223620977068e-12,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
41,3372.9997584271478,19.381425206769254,3.6917081124403097,0.05957074035438563,0.0018285403735462415,0.5324810918241227,4.8881089263094266e-5,23.667062572850888,0.06612843945797652,0.001910585633831202,13743.85985897372,564.7210294952368,322.6966211043274,2.298209322643439,0.05966675891550531,110.22718192718911,8.37089557266766e-4,48.818071026281466,2.7399680273799762,0.06377612991649778,23503.654845961762,0.0015332774686488478,2.882974644610227e-4,7.38281714947504e-9,3.87397020505211e-11,4.604980088988691e-5,1.7339694492706246e-12,43.855215961764046,8.192290579470873e-9,4.0473671499791725e-11,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
42,3352.1007748635684,32.79450465727824,9.365177523266256,0.2282824199635033,0.010795196274611561,2.16683654645382,4.49793194106766e-4,44.56604613643054,0.2679260066667255,0.011550158985983784,13699.140228375303,424.37787596111855,363.74957044706827,3.9331090633078145,0.15930279756688281,207.78342079298983,0.0035257306484450393,93.53770162469846,5.156442262402792,0.1766110236201833,23545.235909696163,0.002696694959616538,7.490502114571198e-4,2.875072815298965e-8,2.3131803571027646e-10,1.8942674573346874e-4,1.6089160311958756e-11,85.43627969616274,3.369887207343435e-8,2.474071960222352e-10,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
43,3329.969161292167,43.89785812884185,16.69603795166043,0.5463398269563707,0.035392247239898936,5.5199867434932575,0.0020448096402866794,66.69765970783209,0.679596704525078,0.0388243912796428,13649.623775001213,318.91349100296685,364.46721086874277,5.318739829303564,0.2989929118000303,311.00269996459303,0.009291330113133349,143.05415499878978,7.705719438645049,0.3446051431271383,23593.11840880438,0.0037977171010422322,0.001378825667508526,7.031837406711673e-8,7.700436955506849e-10,4.901604788663477e-4,7.396172567744547e-11,133.31877880438233,8.719848249167937e-8,8.440054212281305e-10,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
44,3308.4034611708803,51.72249576469153,24.54521275344294,1.0105295771175633,0.08409912196650886,10.894700754815597,0.006321857084588785,88.26335982911873,1.335603014355774,0.09471014593935259,13598.654931235269,239.65950060552984,342.36249479282833,6.322016325879801,0.462833163325324,411.18836496174174,0.018957131455876554,194.022998764733,10.172545902227743,0.5558959492489035,23644.658240441408,0.004754209146949324,0.00210791585893673,1.3359700894701045e-7,1.8645104211468425e-9,9.86659260935155e-4,2.3179873664942639e-10,184.85861044141174,1.7552319210293588e-7,2.096309157796269e-9,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
45,3288.3679484065833,56.25795739878015,31.954238178925657,1.5884235083751452,0.16308262150566522,18.31984523482184,0.015325651007434387,108.29887259341587,2.2364626709353694,0.18880621001192152,13548.25139136534,180.10190059239227,308.7348482087914,6.925907205276143,0.6344860566278491,503.58781135832487,0.03292695469682583,244.4265386346597,12.440456732988174,0.7961283464014003,23698.064004138283,0.005536017129281222,0.002871079118181596,2.166838546079286e-7,3.695894683792447e-9,0.0016977377618548062,5.708781911436085e-10,238.26437413829478,3.020193121066497e-7,4.266772874936055e-9,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
46,3267.905140726075,60.02674573639099,38.5559214233194,2.2351722789635584,0.2750035769215742,27.63740468455502,0.03143257377285276,128.76168027392336,3.3601494275443393,0.32776209223901015,13493.126927455405,135.34603014137062,270.67699623856464,7.172337260037742,0.8001006571353562,585.9752766698178,0.05121646025798149,299.55100254458847,14.455967845228294,1.0515282788641982,23759.27787673978,0.006404155610859057,0.0036514755863439703,3.1603944047282067e-7,6.389048640809296e-9,0.0026288445651290616,1.1917495089356835e-9,299.47824673979596,4.676554034677204e-7,7.580798149744983e-9,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
47,3249.82857975995,60.78304740250524,44.04389550383518,2.9096119471907786,0.4192665292600615,38.62532841704358,0.05709144021327264,146.83824124004806,4.677563163254009,0.5150925868000217,13440.684268830782,101.71286406494106,232.4678867853042,7.127991067094864,0.9493772478833806,657.694199561941,0.07353289264677876,351.99366116921067,16.20446580544772,1.3103588585588408,23820.272635194142,0.007042052348935488,0.0044230633484006925,4.285382390750602e-7,1.0015726436093089e-8,0.003783150780019259,2.20711134004623e-9,360.4730051941584,6.729949945978469e-7,1.2222837776139324e-8,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
48,3234.075521220441,59.33295264130841,48.053116728336,3.5681376921372965,0.5924465472100935,50.950045740604324,0.09460042996130619,162.59129977955735,6.146583476977955,0.7512301794133257,13391.323033062266,76.43811623138312,196.5332783072945,6.8647853428133265,1.0756191633473458,719.0183641647154,0.09936769452243359,401.3548969377277,17.694188476702465,1.5634268522154988,23880.23631047991,0.007477477033293834,0.005134555500698605,5.49591717761057e-7,1.4594564845567805e-8,0.005150281491235247,3.73544360549334e-9,420.43668047992645,9.161918867822803e-7,1.833000845106115e-8,377,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,31302,MW31302,0.1443687,0.003513457,0.2037026,0.02940828,0.02433669,0.000715700,14792.67793,0.2913500,0.03243908,0.5957820,0.1735811,0.1113406,0.01932662, 3396.666821,0.05,8.89e-06,1,0.2249526,0.000177872,4.00e-05, 23459.79963,39,2020-04-11
