time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
44,7879.896811,0,0,0,0,0,0,0,0,0,32060.70304,1,0,0,0,0,0,0,0,0,51160.2869,0,0,0,0,0,0,0,0,0,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
45,7879.800327138012,0.08449997558515346,0.010922776243579959,1.1240787510966997e-4,2.110580167157702e-6,9.465594756199247e-4,3.222737121213337e-8,0.09648386198700137,1.1961279370262972e-4,2.1646637543652997e-6,32060.492305473035,0.9365658674609452,0.23810789631952306,7.986746661498222e-4,9.639416920569725e-6,0.03525238477827637,6.431346063799251e-8,0.2107345269552754,8.687315516687556e-4,9.952239122688356e-6,51160.096848835165,0.16744950578161685,0.020649777069392805,2.9770131172607624e-7,9.148803360134948e-10,0.0019515833202649558,2.318037167914921e-11,0.19005116481064693,3.164625258799291e-7,9.38060707692644e-10,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
46,7879.663886097933,0.18305071853656746,0.04174797823648623,8.105485762342758e-4,3.0124637373022462e-5,0.007284600445603785,9.316346597241735e-7,0.2329249020669245,9.160199907873528e-4,3.1688095466863e-5,32060.165008095115,0.9910630470717722,0.4165471461861058,0.0026558582103667168,6.471393286537936e-5,0.12770024692545595,8.925364687370687e-7,0.5380319048630335,0.003141959457286161,6.905525147662793e-5,51159.77041118928,0.4128363508932788,0.08746852403791792,2.3305647620196923e-6,1.3960053442313095e-8,0.0161815905242928,7.084020685354404e-10,0.5164888106887068,2.6239338722366657e-6,1.466845551084855e-8,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
47,7879.477157990445,0.30121075305535455,0.09171289850028103,0.0025163524149667844,1.3832740499084982e-4,0.024068182895843032,6.495283234929454e-6,0.41965300955467133,0.0030130454969548902,1.4922771128521176e-4,32059.693418768104,1.1584233782435245,0.5786431973579762,0.005118496074167519,1.8635864968865457e-4,0.26724583770911176,3.963839743461273e-6,1.0096212318742108,0.006566051536694947,2.056388604733688e-4,51159.27292300851,0.7470438759311355,0.20973173707796902,7.803487701874809e-6,6.832254953228517e-8,0.05719350143188581,5.2117599483370115e-9,1.0139769914630015,9.274173891487255e-6,7.353430948062222e-8,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
48,7879.219219617296,0.452458370693563,0.16261610340974728,0.005571167632753131,4.0089691161492274e-4,0.0565194854667489,2.5358590250561576e-5,0.6775913827046781,0.007047168508562275,4.434533931302888e-4,32059.025077516613,1.456624401086332,0.7585588021786182,0.008063766640465654,3.8414013783372495e-4,0.45432024982374775,1.1123496364722506e-5,1.6779624833633604,0.011148709197616418,4.3824508870330303e-4,51158.545065859355,1.200032976129642,0.39937315546394636,1.8465217925662244e-5,2.0994354717539563e-7,0.14240931247371455,2.140245460604097e-8,1.7418341406312299,2.3092137961290976e-5,2.3134600178143661e-7,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
49,7878.860594362794,0.6544152750736312,0.25966982468923694,0.010342216173012307,9.077273003443482e-4,0.11080932712614112,7.226684441188791e-5,1.036216637206778,0.013767179853134758,0.0010290046504651909,32058.084950057822,1.9189622542443072,0.9883671367229103,0.011594982079035778,6.664450141619859e-4,0.6984746938891058,2.4430200033186126e-5,2.618089942149553,0.017122768963606906,7.852740881500433e-4,51157.50222543588,1.8165005999270805,0.6746331136719572,3.629318612437049e-5,5.010574222578171e-7,0.29350399236418795,6.390153026206503e-8,2.784674564108302,4.759236517476813e-5,5.649589525198822e-7,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
50,7878.360100463935,0.9305843535348879,0.39189157694312066,0.017319097508289114,0.0017679460749400618,0.19497822790550257,1.6933409886310476e-4,1.5367105360656037,0.024149424527177155,0.0020521205253722706,32056.76678353662,2.597825050313338,1.30283220833144,0.015994074883159338,0.0010472389260906523,1.018511673070054,4.621782628365456e-5,3.9362564633503654,0.024948382252745236,0.0012720435323389507,51156.02436466495,2.6610928027580085,1.0627967754726804,6.375743740064964e-5,1.022483184426583e-6,0.5385808206489333,1.5623063761708118e-7,4.262535335030845,8.73317138415229e-5,1.1787138220436643e-6,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
51,7877.660273314745,1.3129019573207779,0.5729350879652977,0.02720629234441692,0.003119620375290762,0.32002692296737467,3.478042832183366e-4,2.2365376852563768,0.03953244908014016,0.0037033013450725317,32054.92093769823,3.5706151851461914,1.7442053163120625,0.021713607743480218,0.0015511394017171047,1.443937747019705,7.930611878308947e-5,5.782102301741939,0.03534794837582021,0.0019368862496258394,51153.94202576589,3.8257139489760097,1.603805248916755,1.0415604108695187e-4,1.8791687734157857e-6,0.9152486675389665,3.334463086561075e-7,6.3448742340879,1.4840834272838971e-4,2.2126150820718933e-6,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
52,7876.680891913574,1.8453207264599558,0.822474072098482,0.04102684029519901,0.005145129990490452,0.5013015765456237,6.507410366325251e-4,3.2159190864263834,0.061786871850483864,0.0062371957805486735,32052.337337738933,4.948484222656725,2.3676508060108947,0.029401219635375123,0.0022181966505239767,2.01782048131737,1.2733476788543874e-4,8.365702261038775,0.04937565279459006,0.0028375559899381764,51151.016858475734,5.43982946889343,2.355149757317944,1.6204959700834542e-4,3.209563982855679e-6,1.4748963931763597,6.456961919657662e-7,9.270041524244917,2.391548005047743e-4,3.8552601748214465e-6,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
53,7875.309886282114,2.5887939763219205,1.168308663091979,0.060252708267722145,0.008092963831311018,0.7603393092371555,0.0011370971353456944,4.586924717885434,0.09354102993804092,0.01000122658343476,32048.7215727922,6.8888984487478755,3.247968175703258,0.03995569288580394,0.0031094535179058413,2.801340207782857,1.9522913095270782e-4,11.981467207768654,0.06852861839456822,0.004059052654019747,51146.9143859049,7.68500441363173,3.3986366626793805,2.4383833171846784e-4,5.199822358669316e-6,2.288622817382665,1.1632390694152815e-6,13.372514095086924,3.710995602801598e-4,6.3630614280845995e-6,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
54,7873.390643030739,3.6281806221473167,1.6494226089086381,0.0869798403923142,0.012307628884172042,1.1273895751813343,0.0018876937478060668,6.506167969261582,0.13848897726243867,0.015475533854102386,32043.66149557949,9.613413481605592,4.48840990420855,0.05461763577771944,0.004314302273214536,3.8804992673250522,2.8982928948350115e-4,17.041544420479614,0.0949109133102879,0.005724038830310155,51141.1659649356,10.815308028137755,4.849805530081378,3.585420089237685e-4,8.104251675887949e-6,3.455452876297534,1.9836104998302698e-6,19.12093506438777,5.602992524381328e-4,1.008786217571822e-5,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
55,7870.704315715343,5.081812018131629,2.3203260432153527,0.12416972081600715,0.018270662989093828,1.644903020278931,0.0030138192251150395,9.192495284656127,0.2018165857117449,0.023328418206437707,32036.58060814479,13.432613571766273,6.232611518990518,0.07510308840880066,0.005960709070001538,5.375722224570822,4.2074237465332214e-4,24.122431855181066,0.1314683130041895,0.008007209986886182,51133.11568302415,15.185851351773913,6.871082185703502,5.188688993782066e-4,1.2274161602655875e-5,5.113749053459058,3.2418435498720652e-6,27.171216975841006,8.291890024287652e-4,1.5516005152527942e-5,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
56,7866.94523016837,7.114732904049709,3.257150506360806,0.17598601448135545,0.026657120000787793,2.372384859468345,0.004669427269713879,12.951580831630718,0.2907943280491103,0.03449329674908022,32026.673142441843,18.78089632314992,8.680972209755867,0.10379360668518688,0.008229610702501609,7.455404299382227,6.015084511529671e-4,34.02989755812685,0.182319646599925,0.011155362114663748,51121.84635508493,21.292550513619354,9.690143426888161,7.426928283976669e-4,1.8198197176747746e-5,7.457084958556384,5.124976113721387e-6,38.44054491506559,0.0012091562942070494,2.332317329046914e-5,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
57,7861.686790586185,9.956976738074511,4.566142867353532,0.24826421889343642,0.03841372223533755,3.393154563343698,0.007068303913943349,18.21002041381446,0.4156029441047119,0.05027566494928865,32012.813899594934,26.264735438764962,12.113276686450185,0.1440027904952879,0.011375203491004782,10.35489907813404,8.512077035510697e-4,47.88914040503903,0.25322117382973286,0.015515498005461245,51106.07665465125,29.827308522678297,13.625505861864113,0.0010551024212394951,2.6558531696075597e-5,10.756341410710963,7.892537096341447e-6,54.2102453487434,0.0017441237970878358,3.445106879241705e-5,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
58,7854.334411109886,13.928670089598416,6.395435379473929,0.3491656149518612,0.05486726765209861,4.823753421861946,0.010508116575144425,25.562399890113397,0.5904825479763154,0.07250186265019962,31993.433499278643,36.72926652157264,16.919955903287583,0.20034758069061404,0.0157534348703713,14.403020592558274,0.0011966883484283613,67.2695407213279,0.35221472540699483,0.02157415545812224,51084.0186054533,41.75422852400337,19.12206930327347,0.0014912472083767696,3.830904842922629e-5,15.390455257818592,1.1905351757643445e-5,76.268294546704,0.002495535212114164,5.021440018686973e-5,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,44,2020-04-16
