time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,S_all,E_all,I_all,H_all,C_all,R_all,D_all,inci_all,hosp_all,crits_all,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
32,3051.9639,0,0,0,0,0,0,0,0,0,32168.14455,1,0,0,0,0,0,0,0,0,34471.17671,0,0,0,0,0,0,0,0,0,69691.28516,1,0,0,0,0,0,0,0,0, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
33,3051.946449598082,0.015222637464520579,0.0020276670247333086,1.9256173839593294e-5,2.957929150836283e-7,1.8054092256342667e-4,4.5394576399880305e-9,0.017450401918029636,2.0501362250333482e-5,3.034164297523143e-7,32168.04907563128,0.8349015623778211,0.22568109298062783,7.248076611296238e-4,8.474502941442762e-6,0.03415837313240845,5.806681296012796e-8,0.09547436872174128,7.890052675327318e-4,8.750923383302396e-6,34471.12107911488,0.048701561312895915,0.006315309871021256,1.0637086380245415e-7,3.323388344523537e-10,6.139072320957431e-4,8.515196251863387e-12,0.05563088512773075,1.131879444165385e-7,3.40854030704217e-10,69691.11660434424,0.8988257611552376,0.23402406987638238,7.441702058330195e-4,8.770628195360843e-6,0.03495282128706762,6.261478579636785e-8,0.16855565576750167,8.096198177274819e-4,9.054680667085414e-6, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
34,3051.927086951404,0.02831769757340794,0.007052744732267937,1.3036144956654153e-4,4.037392803638866e-6,0.0013080805637052679,1.268846289174434e-7,0.03681304859638024,1.4780496846606808e-4,4.250481438118438e-6,32167.93645209202,0.7257074036796013,0.36189608139847257,0.002293298554556361,5.506303022385952e-5,0.11814527413082478,7.871851743689031e-7,0.20809790797885308,0.002724736770222636,5.8810335485366085e-5,34471.05081332104,0.09801092290999018,0.023265764177764776,7.527626580476885e-7,4.6995050929166855e-9,0.004619234165000861,2.450580905635037e-10,0.12589667895997703,8.516539217172924e-7,4.944563183480189e-9,69690.91435236446,0.8520360241629994,0.3922145903085053,0.0024244127667809503,5.91051225325913e-5,0.1240725888595309,9.143148613769101e-7,0.37080763553521034,0.0028733933926104213,6.3065761486668e-5, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
35,3051.906062386725,0.03960111086327213,0.013839734802194732,3.7299438553387433e-4,1.7460986996652853e-5,0.004005466800051373,8.454372653937032e-7,0.05783761327531415,4.5047917932536315e-4,1.888080493644526e-5,32167.80825104941,0.6571774966175346,0.44267477814101414,0.004115565671628346,1.5167944177217564e-4,0.2321760386180881,3.392099993893422e-6,0.3362989505900312,0.00534676158717704,1.6782714699904817e-4,34470.966696217976,0.14710046532293958,0.04824181482002654,2.249963915545848e-6,2.1049337559176798e-8,0.014669229184454067,1.680433049443063e-9,0.21001378202110632,2.704559327718246e-6,2.2729770608619866e-8,69690.68100965412,0.8438790728037463,0.5047563277632354,0.004490810021077766,1.6916147810638768e-4,0.25085073460259355,4.239217692336568e-6,0.6041503458864517,0.0057999453258301215,1.8673068170610205e-4, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
36,3051.883437077203,0.04947283402336514,0.021551952256123556,7.516695100476427e-4,4.721040515003486e-5,0.00863612453978694,3.1320622776001583e-6,0.0804629227967509,9.670022093354832e-4,5.247035570143727e-5,32167.665275697018,0.6185193144229324,0.4904232834770071,0.005889601856987461,2.9506897562471155e-4,0.36413786988624036,9.164363450963157e-6,0.47927430298224294,0.008374299737074976,3.386948828398532e-4,34470.86927070503,0.19555738355386165,0.07913328283792338,4.7307380946371405e-6,5.8905162584000096e-8,0.03274383253338098,6.403679740362397e-9,0.30743929497210293,6.036914941124391e-6,6.530884232436251e-8,69690.41798347924,0.8635495320001592,0.5911085185710541,0.0066460021051297415,3.4233828593733043e-4,0.4055178269594083,1.2302829408303678e-5,0.8671765207510967,0.009347338861351584,3.9123054738361484e-4, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
37,3051.859157550185,0.05833204584535155,0.02966114396579854,0.0012525542057861177,9.881178162034501e-5,0.015389477031928679,8.416984539983406e-6,0.1047424498150252,0.0017160772572910332,1.129471718355594e-4,32167.50777524605,0.6021025296121528,0.5197242991563226,0.007483753254705516,4.756933439886346e-4,0.5069692641996149,1.9214384195063444e-5,0.6367747539509796,0.01164450198371421,5.671612289732512e-4,34470.75884695439,0.24327386703507484,0.11429343104693412,8.211490187551972e-6,1.2748553367583502e-7,0.060287390858630774,1.7688876655541152e-8,0.4178630456052375,1.1114978394179495e-5,1.4517441033137618e-7,69690.12577975063,0.9037084424925792,0.6636788741690552,0.008744518950679186,5.746326111426554e-4,0.5826461320901744,2.764905761170239e-5,1.1593802493712424,0.013371694219399424,6.80253575219142e-4, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
38,3051.8331019718416,0.06653731889129705,0.0378647317062411,0.0018544142875569773,1.7609317505224526e-4,0.024346989583437895,1.8480514296578275e-5,0.13079802815788183,0.0027044500333023775,2.0712914520510205e-4,32167.335585135563,0.6025503218394901,0.5399504689680527,0.008862248840105126,6.826464856820686e-4,0.6568848016559016,3.4376655251332595e-5,0.8089648644444826,0.015070732103229916,8.462926331080455e-4,34470.63551042918,0.29036349825258406,0.15248838643334078,1.26385579003354e-5,2.346610582445279e-7,0.09833477300951278,3.988658704550118e-8,0.541199570800983,1.8129510806135978e-5,2.745476452900291e-7,69689.80419753658,0.9594511389833712,0.7303035871076345,0.010729301685562439,8.589743217925584e-4,0.7795665642488523,5.289705613495637e-5,1.4809624634033474,0.01779331164733843,0.0010536963259584376, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
39,3051.8047170849204,0.07473539271775625,0.04606197823220572,0.002535535714067802,2.8116925840237616e-4,0.03553351724459472,3.532191256808556e-5,0.1591829150795949,0.003932863856335393,3.404884854873007e-4,32167.145597798135,0.6183952609179033,0.5573289163490849,0.010040499606517423,9.06081173236638e-4,0.812226235137555,5.520868686589248e-5,0.9989522018711635,0.01861563062353347,0.0011688958317307974,34470.49721584562,0.3387784744141613,0.19305754250673554,1.7925037890140646e-5,3.865021894725328e-7,0.14763974768075636,7.821835170429955e-8,0.6794941543600843,2.7219448713677297e-5,4.647205411768325e-7,69689.44753072868,1.031909128049821,0.7964484370880262,0.012593960358475365,0.0011876369338284867,0.9953995000629061,9.060881778568234e-5,1.8376292713108426,0.022575713928582538,0.0015098490377592748, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
40,3051.7740927282334,0.08284855928928644,0.05424333738594781,0.0032781355469032715,4.147755814066504e-4,0.04896141897599907,6.104498711493286e-5,0.1898072717666581,0.005401053914204514,5.172938537704977e-4,32166.938899834404,0.6448580290087551,0.5757510200500612,0.011059277722492059,0.001138272443367961,0.9727615292743315,8.20371029160592e-5,1.2056501656019238,0.022274705217155792,0.0015288007172808522,34470.34493419107,0.38733838611819404,0.2355854253653213,2.3982271969425047e-5,5.873305243187251e-7,0.2088272892709464,1.3855518010948658e-7,0.8317758089121353,3.849998605798929e-5,7.258857044282117e-7,69689.05792675371,1.1150449744162356,0.8655797828013303,0.014361395541364756,0.00155363535529893,1.230550237521277,1.4322064521110153e-4,2.227233246280717,0.027714259117418295,0.002046820456755778, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
41,3051.7410029269054,0.09109475076712571,0.06242105023068814,0.004068243477309874,5.766528037378617e-4,0.06463860704186818,9.776877409587108e-5,0.22289707309482554,0.007108590057116329,7.408445954826765e-4,32166.714396897103,0.680256294026678,0.5973623080297606,0.011966735091896432,0.0013738667831193659,1.1390788826065024,1.1501636432688898e-4,1.430153102902284,0.02606222809159207,0.0019213890704224128,34470.17805455265,0.4365423080275718,0.27968557525538706,3.072068091337265e-5,8.399063796280558e-7,0.28239577624969614,2.2720855388928353e-7,0.9986554473285016,5.206297958371945e-5,1.0671149335173393e-6,69688.63345437666,1.2078933528213756,0.9394689335158358,0.016065699250119678,0.0019513594932368556,1.4861132658980667,2.1301234697664934e-4,2.6517056233256113,0.033222881128292116,0.0026633007808386064, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
