"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,41780.28961,0,1,0,0,0,0,0,0,0,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"2",2,40197.7695691901,1475.3978958797,100.788918564995,0.00140243711146228,0.00000161774460739785,7.33182229208885,0.0000000182197705340072,1582.52004080986,0.00143515639902092,0.00000163596437793185,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"3",3,865.829306631455,34249.779281334,5929.47731698966,0.139602079165721,0.000220761473619411,736.063879095512,0.00000310868306974234,40914.4603033685,0.144079482299504,0.000223870156689154,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"4",4,0.00000101893446577088,23920.9279375577,13218.8697135858,0.846967441308903,0.00298905849776039,4640.64192037708,0.0000809606918224965,41780.2896089811,0.90836782510056,0.00307001918958289,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"5",5,0.000000150619483328002,16283.2849175297,15261.0159094043,1.77830943961312,0.0107734345343157,10235.1992169414,0.000483099822490268,41780.2896098494,2.00344012674924,0.011256534356806,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"6",6,0.0000000191768953761175,11084.2376641206,14651.5210911252,2.63747191278132,0.023603213769338,16042.8682460848,0.00153352366443475,41780.2896099808,3.14020666145677,0.0251367374337727,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"7",7,-0.0000000437007946065001,7545.18238832362,12875.4560857088,3.30405602696122,0.0403032463276217,21357.3032624061,0.00351433188552789,41780.2896100437,4.18040759122421,0.0438175782131496,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"8",8,0.000000413022816361314,5136.10179250619,10739.9007529717,3.75031035225653,0.0593551394986388,25901.4707782689,0.00662034839696069,41780.289609587,5.06982011016852,0.0659754878955995,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"9",9,0.0000000258647784815081,3496.20958621676,8655.47662114939,3.99325624765139,0.0793192089956736,29625.5198746146,0.0109525367972965,41780.2896099742,5.7986911635108,0.0902717457929701,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"10",10,-0.000000159501014015589,2379.91772866631,6807.23893231476,4.06805364333036,0.0990113203948471,32589.9493548481,0.0165293665862303,41780.2896101595,6.37886738295191,0.115540686981077,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"11",11,0.000000030401269893288,1620.04147880665,5256.86257007651,4.01391630223796,0.11754936312051,34900.2307907153,0.0233047057984909,41780.2896099696,6.83099768061799,0.140854068919001,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"12",12,0.0000000821196124096592,1102.78221268222,4002.55873972517,3.86725709033842,0.134335927500051,36671.9158781143,0.0311863783813648,41780.2896099179,7.17770320796675,0.165522305881416,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"13",13,-0.0000000391136732828263,750.677463906759,3013.31361758491,3.65888047650339,0.149014008139318,38013.4505814235,0.0400526393269076,41780.2896100391,7.44021342582791,0.189066647466225,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"14",14,0.0000000112635735040753,510.995385044609,2247.73683784489,3.4133233522701,0.161415655965822,39018.9328824838,0.0497656072206545,41780.2896099887,7.63694861599965,0.211181263186477,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"15",15,0.0000000128009464360242,347.840523614757,1663.84730544005,3.14925045738,0.171513429635045,39766.2208355136,0.0601815318029125,41780.2896099872,7.78314968613916,0.231694961437957,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"16",16,-0.0000000671880625131443,236.7795933047,1223.67031332653,2.88029038779766,0.179378761129118,40317.7088760548,0.0711582322310305,41780.2896100672,7.89103025500064,0.250536993360148,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"17",17,0.00000000473498223695362,161.178858341452,894.959372347916,2.61598620257052,0.185148325864689,40722.2676845897,0.082560187798707,41780.2896099953,7.97015647583844,0.267708513663396,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"18",18,0.00000000215539118658336,109.716459619482,651.408576022102,2.36269375521897,0.188998163651802,41017.5186206724,0.0942617649966976,41780.2896099979,8.02789232818897,0.283259928648499,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"19",19,-0.00000000318933882455204,74.6853450014287,472.147054905687,2.12436120526141,0.191124427476377,41232.035575417,0.106149046398505,41780.2896100032,8.06983068275906,0.297273473874882,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"20",20,0.00000000446547156406841,50.8392301570053,340.949891902395,1.90316880564446,0.191729607162118,41387.2874688917,0.11812063168026,41780.2896099955,8.10017358249203,0.309850238842378,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"21",21,0.00000000232454169668985,34.6068902547671,245.399159483089,1.70003489375987,0.19101304752857,41499.2624246007,0.130087717805647,41780.2896099977,8.12205020044421,0.321100765334216,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
"22",22,0.0000000029031093448915,23.5573244398937,176.106763265667,1.5150049819813,0.189164737316213,41579.7793788785,0.141973693808,41780.2896099971,8.13777360446559,0.331138431124214,"Malawi","Karonga","TA Wasambo",236,41781.28961,1,"Pediatrics",73728.894814
