"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,3431.303497,0,1,0,0,0,0,0,0,0,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"2",2,3218.91362361108,192.610676128761,18.7854528795056,0.224499700281087,0.0021564466168479,1.76706937690169,0.0000188568513030798,212.389873388917,0.231828044863669,0.00218808548072785,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"3",3,583.2906209977,2404.62439321162,389.096921172462,6.18069316702527,0.0728419871775248,49.0372219867373,0.000804477280156379,2848.0128760023,6.42917655433148,0.0741917749417858,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"4",4,0.0584325706247383,2060.11003219189,1029.51036768956,37.144949392041,0.782366868265516,304.684115986553,0.0132323010754547,3431.24506442937,39.8396137815247,0.804568611590318,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"5",5,0.0000000308655984523285,1402.38345587747,1240.17737347263,81.7423543396097,2.88308413167675,705.04051634662,0.0767128011377998,3431.30349696913,91.8294744082322,3.01179628165552,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"6",6,0.0000000237586265704812,954.620121222161,1211.36487634847,124.215302781828,6.46240935954556,1135.39425141867,0.246535845573155,3431.30349697624,147.244624105751,6.87605816730519,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"7",7,-0.000000000339545869350725,649.822176933942,1074.52176386543,157.832245474906,11.210724276294,1538.34386243638,0.572724013391395,3431.30349700034,198.597637923382,12.1716661010574,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"8",8,-0.0000000184526014595706,442.341947699032,901.572116211917,180.792954303857,16.6935868927114,1889.81204122939,1.09085068154701,3431.30349701845,242.833155488665,18.5238646878801,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"9",9,0.000000344371418389728,301.107967055915,729.521499025535,193.717018080273,22.4875688885349,2183.64920992535,1.820233680018,3431.30349665563,279.261173253354,25.5416379219159,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"10",10,0.000000860440988803039,204.968128700256,575.427964068078,198.238664945134,28.2389064896364,2422.66421713448,2.76561480197797,3431.30349613956,308.357738559404,32.8791780205409,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"11",11,-0.000000000253434494056274,139.52438802233,445.364130917412,196.257832108497,33.680820826278,2613.55616071669,3.92016440905059,3431.30349700025,331.090913000482,40.2582470429631,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"12",12,0.000000000682223124319592,94.9758820174123,339.694222260918,189.570175566459,38.6302576305995,2764.16425631664,5.26870320728957,3431.30349699931,348.557967308561,47.4703222267556,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"13",13,0.000000141404697374604,64.6513310204498,256.099767518116,179.710334867023,42.9757132563745,2882.07574085981,6.79060933682431,3431.30349685859,361.804209202528,54.3692996519288,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"14",14,0.0000000779866270324783,44.0089470692881,191.256835217079,167.909348519515,46.6624245584897,2974.00372972141,8.4622118362391,3431.30349692201,371.744246620731,60.8606999814079,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"15",15,0.0000000443606979071516,29.9574396220954,141.712986520513,155.10904755498,49.6781090276744,3045.58728223731,10.2586319930649,3431.30349695564,379.138969448839,66.8904980955225,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"16",16,0.00000000921145052169635,20.3923905146312,104.309016848052,142.000807802663,52.0405897162215,3101.4055626218,12.1551294874186,3431.30349699078,384.600419726386,72.4350066374017,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"17",17,0.00000000365486926890225,13.8813356177235,76.3434131279326,129.071490242203,53.7877475715264,3145.09148151792,14.1280289190445,3431.30349699634,388.609286880808,77.492382914796,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"18",18,0.00000000180651485777618,9.44920321756645,55.6022106857257,116.647672310653,54.9697284222188,3179.4793670964,16.1553152656285,3431.30349699819,391.53638478577,82.0758349726563,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"19",19,0.00000000109993357076758,6.43219174309199,40.32303592137,104.934379281679,55.6431243364712,3206.75378869826,18.2169770180326,3431.3034969989,393.66382355151,86.2083786789992,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"20",20,0.000000000767263425415804,4.3784749930164,29.1324212159495,94.0470333503616,55.8667937661751,3228.58361004787,20.2951636258621,3431.30349699923,395.203844176385,89.9189220382616,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"21",21,0.000000000591675876583602,2.98047740728994,20.9771379783667,84.0368652680941,55.6989639029602,3246.23583981099,22.3742126317135,3431.30349699941,396.3146778604,93.2394130743663,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"22",22,0.000000000490629592387198,2.02884768659483,15.0597227290205,74.9105024597759,55.1953222352539,3260.66851407973,24.4405878091349,3431.30349699951,397.113394727498,96.2028275929006,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"23",23,0.000000000429020360619462,1.38106156702828,10.7825164841518,66.6447394404499,54.4078378143284,3272.60458083912,26.4827608544892,3431.30349699957,397.686061595884,98.8417919445086,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"24",24,0.000000000389758280099261,0.940104310838311,7.70136961986652,59.1974106399359,53.3841172537931,3282.58943577686,28.4910593983167,3431.30349699961,398.095603822054,101.187684011088,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"25",25,0.000000000363966103628226,0.639940456362238,5.48854666714026,52.5152446477734,52.1671346736131,3291.0351320505,30.4574985042481,3431.30349699963,398.38780819085,103.270080431188,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"26",26,0.000000000346650662168527,0.435615111069388,3.90366408539374,46.5394162394346,50.7952176054659,3298.25397671073,32.3756072475599,3431.30349699965,398.595853203846,105.116451531156,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"27",27,0.000000000334849493872908,0.296528436547643,2.77132123804768,41.2093685105151,49.3022021986507,3304.48381854109,34.2402580748198,3431.30349699966,398.743692125977,106.752030223064,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"28",28,0.000000000326722736437484,0.201850490730144,1.96410648387664,36.4653680670869,47.7176924735757,3309.90697538677,36.0475040976333,3431.30349699967,398.848562150111,108.199798262414,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"29",29,0.0000000003210870450588,0.137402032865939,1.3898381146821,32.2501379052665,46.0673788218061,3314.66431288263,37.79442724243,3431.30349699968,398.922830684572,109.480549967136,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"30",30,0.000000000317160664789144,0.0935312048758529,0.982053066810523,28.5098365444057,44.3733834638019,3318.86569385966,39.4789988601351,3431.30349699968,398.975348198687,110.613003800037,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"31",31,0.000000000314417045956705,0.0636678066352299,0.6929829506128,25.1945769291088,42.6546115952137,3322.59770436136,41.0999533567571,3431.30349699968,399.012433059621,111.613941486875,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"32",32,0.000000000312496462557248,0.0433394455202963,0.488390910459621,22.2586314616288,40.9270938653324,3325.92936653398,42.6566747827671,3431.30349699969,399.038586290388,112.498360209423,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"33",33,0.0000000003111506982885,0.0295016753183874,0.343800322930317,19.6604270384727,39.2043114451246,3328.91636064625,44.1490958715909,3431.30349699969,399.057007978133,113.279628275797,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"34",34,0.000000000310207322877011,0.0200821441045143,0.241752944426278,17.3624051811405,37.4974985660736,3331.60414938109,45.5776087828608,3431.30349699969,399.069969095916,113.969637900355,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"35",35,0.000000000309545993221974,0.0136701368164147,0.169821742186221,15.3308006100756,35.8159200345205,3334.03029782688,46.9429866492126,3431.30349699969,399.079078665462,114.578951085763,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"36",36,0.000000000309082492196046,0.00930543256339129,0.119178702183314,13.5353744968255,34.1671230090358,3336.22620037015,48.2463149889387,3431.30349699969,399.085474840382,115.11693632147,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"37",37,0.000000000308757767005293,0.00633432115833696,0.0835626268068473,11.9491282438131,32.557163449868,3338.21837634497,49.4889320130716,3431.30349699969,399.089961670366,115.591894877716,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"38",38,0.000000000308530379964374,0.00431184738598994,0.0585404611758143,10.5480138170024,30.9908083999957,3340.02944555406,50.6723769200735,3431.30349699969,399.093106359293,116.011176333125,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
"39",39,0.000000000308371242894794,0.00293512817305244,0.0409780877192824,9.31065196522495,29.471715634789,3341.67887088563,51.7983452981517,3431.30349699969,399.095308553751,116.381283396383,"Malawi","Chikwawa","TA Katunga",157,3432.303497,1,"Elderly",40760.769327
