"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,64092.2125,0,1,0,0,0,0,0,0,0,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"2",2,62495.2678161999,1489.31532656788,101.27843530161,0.00135429704202939,0.00000156031595407095,7.34956605565405,0.0000000175624308267985,1596.94468380006,0.00138585460972734,0.00000157787838489774,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"3",3,3246.56135403867,52245.8365089459,7731.84866311646,0.159038064977083,0.000236126537657588,868.806696516406,0.00000319106984972907,60845.6511459613,0.163824417127229,0.000239317607507317,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"4",4,0.0000130921253010015,37848.0907090948,19744.1982838095,1.14692764121055,0.00383500467219271,6499.77263243915,0.0000989184911544607,64092.2124869078,1.2256061044775,0.00393392316334717,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"5",5,0.000000147849551474935,25763.67766621,23349.1912523359,2.51739353454831,0.0147040864741481,14977.8108467378,0.000636947533262546,64092.2124998521,2.82421421469652,0.0153410340074107,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"6",6,-0.00000000597019467037115,17537.6643595439,22639.3162687464,3.80468351276446,0.0331145163587546,23912.3919784104,0.00209527611856228,64092.212500006,4.5088793623108,0.0352097924773169,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"7",7,0.00000000971700637665374,11938.1077040705,20002.433977035,4.81540330787187,0.0574144663110958,32147.7931018061,0.00489930450244649,64092.2124999903,6.06167872414271,0.0623137708135423,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"8",8,-0.0000000800144667665457,8126.4291085532,16741.4360407067,5.50068193129383,0.0853715367308875,39219.7519491711,0.00934818097219159,64092.21250008,7.39507628535541,0.0947197177030791,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"9",9,0.0000000089510125837079,5531.76584582111,13523.696228295,5.8821272339691,0.114835625528505,45031.7378611521,0.0156018633875073,64092.212499991,8.49087701228936,0.130437488916013,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"10",10,-0.0000000677249059054228,3765.54844349337,10654.0281487606,6.01049708990445,0.144022178476897,49667.4576920168,0.0236965285492955,64092.2125000677,9.36487123042831,0.167718707026193,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"11",11,-0.00000000220803850450778,2563.2560719818,8238.19641519253,5.94373840304087,0.171591876913774,53285.6111118984,0.0335706495191034,64092.2125000022,10.0469889316984,0.205162526432877,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"12",12,-0.0000000451812278460788,1744.83926489167,6278.93605417117,5.736203975122,0.196630218411696,56063.4592542633,0.0450925254750163,64092.2125000452,10.5706588528562,0.241722743886712,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"13",13,-0.000000615975502758235,1187.73239440649,4730.97140847125,5.43414779624464,0.218583831879628,58168.797881143,0.0580849670964993,64092.212500616,10.9675237757672,0.276668798976127,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
