"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,7756.059653,0,1,0,0,0,0,0,0,0,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"2",2,7755.18157996317,0.761007210804092,0.857757616603943,0.00584708269501072,0.000109650124128123,0.253350506582961,9.70017103067534e-07,0.878073036827239,0.00662941585628065,0.000114436933976839,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"3",3,7754.33941784222,1.30543182668455,0.906764361925421,0.0101869553379448,0.000375948358362736,0.497469208277826,6.85719877643223e-06,1.72023515778288,0.0129884109931845,0.00040978704691145,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"4",4,7753.39061724004,1.80959965950984,1.07113856430138,0.0142954166140609,0.000753528934165064,0.773227644954526,2.09456452016147e-05,2.66903575995917,0.020153439018808,0.00085689084440534,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"5",5,7752.23867369888,2.36695806928479,1.32541427222913,0.01886550592744,0.00123453585534505,1.10846101821862,4.58996102860752e-05,3.82097930112561,0.0288537138500804,0.00146103980653808,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"6",6,7750.79856889251,3.0382256702489,1.66874175444733,0.0243639215689226,0.00183121957432927,1.52783708013191,8.44615181395044e-05,5.26108410748953,0.0397322005442733,0.00224801761385778,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"7",7,7748.97902052136,3.87475203336406,2.11402626787371,0.0311984474478715,0.0025690733231038,2.05794679685999,0.000139859776786672,7.08063247864552,0.053479877416125,0.00325924894458976,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"8",8,7746.67155926512,4.93026574106036,2.68386151021514,0.0398037623734326,0.00348490394094662,2.73046170462581,0.000216112660389925,9.38809373487608,0.0709186085252067,0.00455136989078943,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"9",9,7743.58953337934,6.40138994632782,3.42676178556949,0.0507338046645456,0.00462776579374405,3.58628799814316,0.000318320163970557,12.4701196206627,0.0931097388853374,0.00619860211314557,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"10",10,7739.64317744285,8.26351043513445,4.39906709209044,0.0647947552986136,0.00606445100782881,4.68258578950412,0.000453034114575474,16.41647555715,0.121537096913805,0.00830006948774668,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"11",11,7734.57452405588,10.6450119273621,5.6572368854609,0.0829557598437546,0.00788457593626796,6.09141101430172,0.000628781214315199,21.485128944119,0.158070134654446,0.0109874656686792,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"12",12,7728.05903946026,13.700698769935,7.27877788670259,0.106406439370293,0.0102041319344845,7.903669629725,0.000856682076356452,28.0006135397438,0.205066596839967,0.0144316596629682,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"13",13,7719.68383724292,17.6242368408797,9.36521300400578,0.136652762425119,0.0131716494950292,10.2353903085478,0.00115119172931214,36.3758157570828,0.265535514751638,0.0188525141830903,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"14",14,7708.92221604578,22.6607387045224,12.0473882101377,0.175619017905591,0.0169770019427124,13.2351829898934,0.00153102982301373,47.1374369542248,0.343330745735373,0.024532279692253,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"15",15,7695.1027022671,29.1210280833507,15.4927850388994,0.225768400135009,0.0218629822034254,17.0934858594128,0.00202036889641507,60.9569507328978,0.443390788634131,0.0318330350002426,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"16",16,7677.37123800052,37.3983803034605,19.9148575297811,0.290250696995749,0.0281400920060442,22.0541360247897,0.00265035244579359,78.6884149994789,0.572038789767515,0.0412189677804745,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"17",17,7654.64514145902,47.9882225099159,25.5846160939428,0.373085489906334,0.0362053181668953,28.4289210874152,0.00346104163698917,101.414511540984,0.737359778617483,0.053284757428702,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"18",18,7625.5582321589,61.5106977604004,32.8445771849342,0.479387206372767,0.0465656638900818,36.6156891352849,0.00450389021598979,130.501420841098,0.949670082380561,0.0687913194741506,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"19",19,7588.3968923333,78.7354565919018,42.1251844781497,0.615639134501481,0.0598675275020844,47.12076804377,0.00584489087134932,167.662760666696,1.22209832973515,0.0887107108842817,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"20",20,7541.02848392277,100.606868339352,53.9634368459401,0.790020605277377,0.0769329744524521,60.5863417608396,0.00756855137142508,215.031169077232,1.57129474048871,0.114282023382291,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"21",21,7480.82601212703,128.266161331735,69.0228019471686,1.01278732918368,0.0988039334482446,77.823303444579,0.00978288685453545,275.233640872969,2.01828202270677,0.147080215377784,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"22",22,7404.59701122102,163.064187467853,88.1126401083613,1.29669563697382,0.126795039742858,99.8496978911949,0.0126256348531845,351.462641778979,2.58945053917132,0.1890996249614,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"23",23,7304.98941356117,209.658361898677,112.602641277723,1.65837753458872,0.162563880051815,127.972022873593,0.0162719742025421,451.070239438836,3.31867398682575,0.242862305847053,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"24",24,7179.56532535872,267.243663199354,143.966906120581,2.12083822535826,0.208259589456953,163.933715585988,0.0209449205432452,576.494327641283,4.25117348396544,0.31161792367593,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"25",25,7022.54202743467,338.127754281804,183.533352075846,2.71053395750674,0.266635379089096,209.852420387604,0.0269294834801622,733.51762556533,5.44184230305977,0.399526146000345,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"26",26,6827.79226251791,424.339472518699,232.840494511269,3.4574342077295,0.341090171473871,268.25431058629,0.0345884866297155,928.267390482091,6.95612639248156,0.511776345900811,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"27",27,6589.23387856322,527.352923068683,293.484502077577,4.39511088412585,0.435718318299833,342.113140526976,0.04437956112162,1166.82577443678,8.87102675955961,0.654721178751326,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"28",28,6301.53546197152,647.604915923844,366.908029875042,5.559644162749,0.555336098038589,434.839391780255,0.0568731885551818,1454.52419102848,11.2747951500322,0.835992117651954,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"29",29,5961.14238180221,783.853738348566,454.099751518479,6.98711837269941,0.705443779752649,550.198448483989,0.0727706943017032,1794.91727119779,14.2647776075785,1.06455031001868,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"30",30,5554.0253259519,944.291452239821,556.763368225327,8.71310772110203,0.892110806471783,692.281367912228,0.0929201431504418,2202.0343270481,17.9466515238698,1.35065020229279,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"31",31,5095.09362433043,1109.80853561509,674.594874051158,10.7734222915245,1.12196436788616,865.548901874095,0.118330469812579,2660.96602866956,22.4355702209748,1.70589784339994,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"32",32,4593.46526364467,1271.06977906676,803.95792749404,13.1807884628788,1.40173130250454,1073.83398142991,0.15018159923175,3162.59438935533,27.8300530619546,2.14284272829803,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"33",33,4064.69196310294,1415.48497117994,939.33619836182,15.9154899178572,1.73723183872709,1319.7039839706,0.189814628113017,3691.36768989705,34.1954160665294,2.67392308716838,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"34",34,3529.11218912815,1529.47708795711,1073.27282873565,18.9198442594483,2.13227262658048,1603.90673530756,0.238694985490863,4226.94746387184,41.5494380721275,3.31017712308214,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"35",35,3008.88535578008,1601.33206491798,1196.97100568949,22.0957267638483,2.58751955677877,1924.88963324058,0.298347051248254,4747.17429721992,49.8499729582905,4.05979318858819,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"36",36,2524.33808395554,1623.91718714845,1301.45672205612,25.3085285122603,3.09952446653584,2278.56934513609,0.370261725003134,5231.72156904446,58.9891357329384,4.92668036537791,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"37",37,2077.51331713693,1607.74447769236,1380.64579042034,28.4029028164795,3.66017594867926,2658.63720515684,0.455783828378287,5678.54633586307,68.801495900303,5.90936362966671,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"38",38,1693.88651560285,1540.52936498882,1429.2795399441,31.2248904092646,4.2569879761838,3057.32635804149,0.555996037304705,6062.17313739715,79.0842601469568,7.00069970951382,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"39",39,1374.77283404667,1433.93764932665,1443.72915253171,33.6227044642109,4.87365201697226,3465.45204541939,0.671615194389382,6381.28681895333,89.598333826786,8.18791752516147,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
"40",40,1116.20058727992,1301.30145000804,1424.42790655898,35.4686964891435,5.49091272192234,3873.36719478981,0.802905152183451,6639.85906572008,100.093333070282,9.45306377874645,"Malawi","Chiradzulu","TA Chitera",125,7757.059653,"Adults",23022.413217,38
