"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,4424.351765,0,1,0,0,0,0,0,0,0,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"2",2,4407.24119181174,15.2406246673898,2.46444415928439,0.0426286912334256,0.00130599173709293,0.361538899715893,3.07789025811356e-05,17.1105731882631,0.0471851553801787,0.00135765111057306,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"3",3,4337.45351709111,74.3017813322419,11.5205908778096,0.210543912669014,0.00867958700234046,1.85631871253739,0.000333486627127571,86.8982479088874,0.241552315283818,0.00923931164411411,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"4",4,4023.44361715295,338.200559992941,53.767326962087,0.998786673757532,0.0437504430681964,8.8957628232115,0.0019609519869331,400.908147847052,1.15666512900562,0.0470417089215692,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"5",5,2885.1870883245,1269.52511351076,225.898145202648,4.46459358347562,0.204564078782572,40.062488104703,0.00977219514376351,1539.16467667551,5.20618508318591,0.22096575123732,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"6",6,894.243074927421,2683.50924462851,680.274295702387,16.37907716479,0.84724410612373,150.05485773095,0.0439707398273259,3530.10869007258,19.4702300084648,0.921044686405941,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"7",7,65.1950961078782,2706.81573172199,1211.98001237117,41.29883887151,2.71751400641616,397.17799949322,0.166572427818145,4359.15666889212,51.3574841310506,2.99708951231557,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"8",8,1.50957377254919,2085.72801738279,1502.68779739961,72.9116477185297,6.41022645356525,755.60985220078,0.494650072181703,4422.84219122746,97.2115891103888,7.2404481534276,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"9",9,0.150466088943717,1568.50162683694,1577.2678959088,102.541171903196,11.8506559445648,1163.87480665657,1.16514166098903,4424.20129891106,148.876788698732,13.8062321079327,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"10",10,0.0149184924726194,1178.80527117665,1522.07167389555,125.643015142287,18.5086951909386,1578.01804972033,2.29014138177823,4424.33684650753,200.660994316473,22.3524732025722,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"11",11,0.00170091624916085,885.856324760005,1396.90303021429,140.822999089111,25.7208061402954,1972.1111647019,3.93573917815616,4424.35006408376,249.315383758875,32.3265588824144,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"12",12,0.000239954425422527,665.702126007267,1239.94138845457,148.403338044124,32.871808637907,2332.31320596884,6.11965793286308,4424.35152504558,293.197374070617,43.1430551156217,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"13",13,4.30702968634492e-05,500.260146689222,1074.7194050053,149.519348030455,39.4744370877205,2652.56008976759,8.81829534941312,4424.35172192971,331.67400029153,54.2750821631116,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"14",14,9.86112828701406e-06,375.934092089601,915.037185284968,145.588462548972,45.1905471134991,2931.62416868834,11.977299413493,4424.35175513888,364.721674717302,65.2932711158879,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"15",15,2.83293973715361e-06,282.505722017402,768.346150000575,138.016464592237,49.8217642291544,3171.13920512775,15.5224561999424,4424.35176216707,392.662365019067,75.8746866830322,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"16",16,1.00484976181213e-06,212.29644755817,638.051225403198,128.050823556772,53.286362817561,3374.29762296446,19.36928169499,4424.35176399516,415.993364064429,85.7958051047141,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"17",17,4.2965870891398e-07,159.536034973056,525.062468771556,116.721905761362,55.5919869029485,3545.00866604285,23.430702118568,4424.35176457035,435.280210450303,94.9181255933723,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"18",18,2.09882423767919e-07,119.887753834375,428.826094786148,104.834435064878,56.8093944213088,3687.37136228783,27.6227243955785,4424.35176479013,451.091972748142,103.171431934774,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"19",19,1.18006111397308e-07,90.0929465178635,347.993865584789,92.9854690688606,57.0498048166062,3805.36142310219,31.8682557916913,4424.351764882,463.964716930782,110.537550968814,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"20",20,7.43114801549978e-08,67.7028034077399,280.853177714912,81.59387243401,56.4466312091753,3902.65586812026,36.0994120395972,4424.3517649257,474.382671885978,117.03595872177,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"21",21,5.05356039083503e-08,50.8770717254987,225.591215710274,70.9334843957208,55.1415555981044,3982.54981041364,40.2586271062271,4424.35176494947,482.770914654581,122.711718244272,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
"22",22,3.76533069836142e-08,38.2329653901787,180.450354358995,61.1647971607395,53.2745729286317,4047.9302029832,44.2988721406097,4424.35176496236,489.494868667935,127.625891161234,"Malawi","Blantyre","TA Kunthembwe",164,4425.351765,"Elderly",47367.234315,108
