"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,74077.97106,0,1,0,0,0,0,0,0,0,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"2",2,74077.4665770143,0.436658711646754,0.813030580280377,4.18543925740378e-05,2.70828661883176e-07,0.254751556712388,1.18678373565818e-08,0.504482985728592,4.75083225588329e-05,2.82696499239757e-07,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"3",3,74077.0268060266,0.710028121279979,0.757319892775772,6.91863291672768e-05,9.04236330624333e-07,0.476835786212709,8.25937796409144e-08,0.944253973427737,8.89229313725818e-05,9.86830110265248e-07,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"4",4,74076.6149236983,0.891986839192368,0.770173309813176,8.97071261346417e-05,1.73833313548385e-06,0.693884461092871,2.46180832098304e-07,1.35613630173852,0.000129397405486285,1.98451396758216e-06,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"5",5,74076.1850192819,1.04482192510642,0.820671184278614,0.000107293065368802,2.69527691487071e-06,0.920437098122038,5.22243117907763e-07,1.78604071809248,0.000171643466024372,3.21752003277848e-06,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"6",6,74075.7208035086,1.18978535551106,0.895267565463175,0.000123995863196777,3.73966994705257e-06,1.16507491132059,9.23613260215379e-07,2.25025649144123,0.000217261527342136,4.66328320726795e-06,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"7",7,74075.2111456467,1.33844928285055,0.987654397123163,0.000140972933840117,4.85838728925245e-06,1.43366338182048,1.46023954560684e-06,2.75991435335486,0.000267345470537303,6.3186268348593e-06,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"8",8,74074.6472165897,1.49754385298584,1.09527685359307,0.000158928762819749,6.05045607027905e-06,1.73085558326919,2.14125735348182e-06,3.32384341032435,0.000322763031294967,8.19171342376086e-06,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"9",9,74074.0209821699,1.67145875463605,1.21754439740124,0.000178344970464432,7.32179384532316e-06,2.06088603517266,2.97615074779921e-06,3.95007783012501,0.000384303862326879,1.02979445931224e-05,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"10",10,74073.3244085472,1.86350383614718,1.35494541669907,0.000199597740598546,8.68256866947241e-06,2.4279899442615,3.975430590993e-06,4.64665145284761,0.000452757725807854,1.26579992604654e-05,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"11",11,74072.907205252,1.76395345172273,1.46711533415515,0.000222303281943064,1.01436104163561e-05,2.83254836418722,5.1510057324159e-06,5.06385474796319,0.000528195604918504,1.5294616148772e-05,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
"12",12,74072.464386358,1.71114855691192,1.53330254760882,0.000244041840275127,1.16961053181062e-05,3.26196028433414,6.5151771625944e-06,5.50667364197764,0.000608267489889138,1.82112824807006e-05,"Malawi","Mchinji","TA Mavwere",74,74078.97106,"Pediatrics",133090.23964,106
