"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,49378.27794,0,1,0,0,0,0,0,0,0,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"2",2,49377.3423762962,0.810991625587334,0.864578608311696,0.00560997004802534,9.9147370284819e-05,0.254283446533694,9.05925693612086e-07,0.935563703776728,0.00635950371161514,0.000103473205456809,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"3",3,49376.5214164139,1.32463751549849,0.920039850233389,0.00982707910440043,0.000341094730983076,0.501671628317329,6.41820381600179e-06,1.75652358608841,0.0125198834403985,0.000371741937485808,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"4",4,49375.5958348063,1.80367924348971,1.08262615364252,0.01381977370512,0.000685557504595429,0.781274815347234,1.96500232834892e-05,2.68210519371246,0.0194654571995029,0.000779387233070418,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"5",5,49374.4791305858,2.33151644160668,1.32889916560061,0.0182091238961764,0.00112434358746401,1.11901721023851,4.31292468586506e-05,3.79880941417631,0.0278453902865509,0.00133028764481677,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"6",6,49373.0952030844,2.96219622419741,1.65756061475995,0.023412639889329,0.0016664531654572,1.53782156956396,7.94140731250273e-05,5.18273691564924,0.0382308740430218,0.0020456588697413,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"7",7,49371.3629754105,3.74089659392852,2.07962706138585,0.0297901697525724,0.00233215088876957,2.06218716046641,0.00013145304503613,6.91496458946716,0.0512305362929651,0.00295984498078189,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"8",8,49369.1870068127,4.71422512823306,2.61463669323311,0.0377185555216698,0.00315112755403116,2.72099883296118,0.00020284982638314,9.09093318732943,0.0675609395544288,0.004119744428227,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"9",9,49366.450153195,5.93622997301097,3.28972257558689,0.0476365646335645,0.00416273552523238,3.54973684655674,0.00029810972254316,11.8277868050359,0.0881017447600341,0.00558622260809412,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"10",10,49363.0063387945,7.47284901221147,4.14016847738252,0.0600793839462578,0.00541744600018276,4.59266397648282,0.000422909505690611,15.2716012055289,0.113950094386196,0.00743685755588226,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"11",11,49358.6723680118,9.40610449080819,5.21088117217966,0.0757120404577455,0.00697921939567808,5.90531064766394,0.000584417719583566,19.6055719882248,0.146482282730359,0.0097698398012312,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
"12",12,49353.2180488846,11.8387412360139,6.55858410357523,0.0953668767472548,0.008928735062718,7.55747847605513,0.00079168792219248,25.0598911153764,0.187428228541807,0.0127090798340479,"Malawi","Zomba City","Zomba City",4,49379.27794,"Adults",111948.750302,16
