"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,1198.945857,0,1,0,0,0,0,0,0,0,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"2",2,1198.29674489949,0.534617838999314,0.781133336314704,0.0000576878784835939,0.000000187876227083907,0.333303045374816,0.00000000406780668869021,0.649112100511351,0.0000615267591590458,0.000000191944033772597,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"3",3,1197.72879956772,0.834957885992288,0.756912873850731,0.000101524331335953,0.000000663747848796556,0.625084454945294,0.000000029414494340732,1.21705743228199,0.000115387578198699,0.000000693162343137287,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"4",4,1197.18634033445,1.01974875703979,0.814034003724932,0.000141778678016755,0.00000136232173096134,0.925590672139098,0.000000091648275052649,1.75951666555184,0.000170858078137035,0.00000145397000601399,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"5",5,1196.59033679871,1.19066961423941,0.908746072600543,0.00018250309789562,0.00000226259624242338,1.2559195448626,0.000000203895348288058,2.35552020129203,0.000231832929709849,0.00000246649159071144,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"6",6,1195.91982057859,1.36933315311965,1.02872827779103,0.00022565978214923,0.00000336176101554544,1.62774559034546,0.000000378610083062765,3.02603642140939,0.000300467204121395,0.00000374037109860821,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"7",7,1195.15897597805,1.56633039242123,1.17035614579242,0.000272495760792877,0.00000466652461201323,2.04991669305328,0.000000628394592854513,3.78688102194692,0.000378394144890232,0.00000529491920486774,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"8",8,1194.29309720131,1.78801631432867,1.33371520957321,0.000324012778957801,0.00000618984720902838,2.53069710568513,0.000000966475519882985,4.6527597986887,0.000467139233536029,0.00000715632272891136,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"9",9,1193.30682695583,2.03928821088169,1.52059993245872,0.000381165483866495,0.00000794976554635433,3.07875137852775,0.00000140705150664304,5.63903004416908,0.000568301824926443,0.00000935681705299737,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"10",10,1192.18330901258,2.32473996785145,1.73372545834727,0.000444949951455894,0.0000099691043838851,3.70362567656903,0.00000196559793892457,6.76254798742153,0.000683643997912088,0.0000119347023228097,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"11",11,1190.97715933762,2.58774485564508,1.96580820540348,0.000516194259913263,0.000012275181941515,4.4146134727232,0.00000265916323002965,7.96869766237684,0.000814881163344156,0.0000149343451715446,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"12",12,1189.6158596399,2.89586931183135,2.21558975791195,0.00059509868125004,0.0000148964792648192,5.21792478862888,0.0000035065626506201,9.32999736009535,0.000963159519558827,0.0000184030419154393,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"13",13,1188.08556602199,3.24633474013789,2.491191343331,0.000682243647989383,0.0000178618339491956,6.12206026067372,0.00000452838878941507,10.8602909780133,0.0011300481027616,0.0000223902227386107,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"14",14,1186.36831056765,3.64062693111662,2.79806732266367,0.00077857790135971,0.0000212030974463383,7.13804665044641,0.00000574712010252163,12.5775464323456,0.00131758225233691,0.0000269502175488599,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"15",15,1184.44312666769,4.08223030971877,3.14078064720017,0.000885266252190254,0.0000249566458333453,8.27880196512841,0.00000718736188306932,14.5027303323073,0.00152814640651855,0.0000321440077164146,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"16",16,1182.28641034068,4.57570253604306,3.52374664994908,0.00100363354990005,0.0000291642127155871,9.55895579940758,0.00000887615647263709,16.6594466593188,0.00176444093366454,0.0000380403691882242,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
"17",17,1179.87193305272,5.12630390028227,3.95155718769055,0.00113515001525459,0.0000338735409591914,10.9948829923751,0.0000108433753594757,19.0739239472795,0.00202948834162793,0.0000447169163186672,"Malawi","Neno","Neno Boma",31,1199.945857,"Pediatrics",2117.4914522,1
