"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,55105.70803,0,1,0,0,0,0,0,0,0,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"2",2,55103.8815441711,1.51449814528836,0.95489105701151,0.00836944144113863,0.0000763061044154651,0.34865054767136,0.00000033139830429628,1.82648582891509,0.00890703187574002,0.0000779348245237277,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"3",3,55101.665036287,2.8922828657144,1.36024840250488,0.0175853137310382,0.000296466211043461,0.77257812453857,0.00000254024139338624,4.04299371294133,0.0197164399407815,0.000308950711367127,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"4",4,55098.278532498,4.8216278499541,2.15525318796757,0.0311189973576808,0.000698859783663695,1.42078997017671,0.0000086367506765901,7.42949750199041,0.0362324933487164,0.000741306740436402,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"5",5,55092.8387014486,7.86739957990998,3.48559170687225,0.0525280321737042,0.00137845898341688,2.46240929279245,0.0000214806699963445,12.8693285514018,0.0627647940517501,0.00148402982885706,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"6",6,55084.020637243,12.7889798777918,5.65754187094509,0.0869942891575339,0.00249945374310214,4.15133171235985,0.0000455529805978335,21.6873927569779,0.105779697807135,0.00272333254552551,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"7",7,55069.7050982515,20.7736371684224,9.18817009138814,0.142760234887867,0.00433188864829147,6.89394432100765,0.0000880441420590905,36.0029317484964,0.175626190749084,0.00476459835961867,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"8",8,55046.4632869925,33.7336376400737,14.9221139250829,0.233156032815388,0.00731573883538454,11.3483590974886,0.000160573210667839,59.2447430075067,0.28906326324924,0.00810490647345784,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"9",9,55009.6278621192,54.0095003782763,24.1114303401309,0.379429806448524,0.0121645013821668,18.5673608952703,0.000281959317549683,96.0801678808257,0.47289869788476,0.0135502441703816,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"10",10,54950.3162570836,86.7491247458642,38.8056220638895,0.614719834011866,0.0200181983934335,30.2018054650096,0.000482609171586468,155.39177291634,0.769165413540447,0.0223900731194191,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"11",11,54855.0568588675,139.325615496001,62.3849484348047,0.992617570756676,0.0326965780802048,48.9144816506402,0.000811402181651016,250.651171132465,1.24566447030118,0.0366843686995607,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"12",12,54702.3302740453,223.534498294825,100.205096557015,1.59928831958053,0.0531179184600069,78.9844080710888,0.00134679367843287,403.377755954647,2.01135104005812,0.0597369925992138,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"13",13,54458.054104634,357.981211194311,160.757202041181,2.57244244108641,0.0859602478762726,127.254894772271,0.00221466922630352,647.653925365953,3.24047196599807,0.0968446617530739,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"14",14,54068.8168402793,571.592329970625,257.404735426256,4.13103437193738,0.13870479144447,204.62076830382,0.00361685659651057,1036.89118972068,5.21042901369032,0.156480522312942,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"15",15,53452.2896006972,908.35700074845,410.899112318133,6.62060722077229,0.223269389015138,328.312563208227,0.00587641815131889,1653.41842930275,8.35992617056875,0.25215016566225,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"16",16,52496.4610073698,1423.01783746265,651.19280625789,10.5750670753956,0.35849552899862,525.093307504968,0.00950880032863245,2609.24702263023,13.3703114441614,0.405228339939172,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"17",17,51023.8211092832,2207.67811614799,1022.41259746877,16.794314968131,0.573672824255302,835.412888174782,0.0153311328203373,4081.88692071674,21.271225864406,0.649020597563772,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"18",18,48807.7378111312,3365.66344420016,1586.17804328588,26.4643961165184,0.913618684853009,1319.72609124879,0.0246253325724705,6297.97021886877,33.6013214823235,1.03464457368067,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"19",19,45586.4445242145,4995.35220976485,2417.66067891854,41.2553220917928,1.44546106534412,2064.51045665362,0.0393772913461378,9519.26350578548,52.560979347827,1.63898826627702,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"20",20,41136.3631713859,7129.12783632412,3590.4429810772,63.3299919127045,2.26607961624569,3185.1153615209,0.0626081628902815,13969.3448586141,81.0837903464981,2.57377936159386,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"21",21,35415.500132894,9633.66455046616,5139.73465415005,95.1210799816159,3.50745795212615,4819.08136321337,0.0987913426995535,19690.207897106,122.664498956461,3.9929868286806,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"22",22,28733.2279855232,12122.7196874738,7005.16659015845,138.699106373941,5.3343833849705,7101.40598083586,0.154296249775728,26372.4800444768,180.726251187715,6.09270170278108,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
"23",23,21588.0164530251,14177.2281017459,9015.53904314556,194.815368935138,7.92763718933328,10122.9437098454,0.237716113504099,33517.6915769749,257.558686383652,9.09593832154429,"Malawi","Balaka","TA Kalembo",138,55106.70803,"Adults",179251.26187,73
