"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,6570.66319,0,1,0,0,0,0,0,0,0,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"2",2,6568.74968633621,1.5873447688347,0.967382211373527,0.00841703501612061,0.0000778350586370212,0.350281479139582,0.000000334365482168365,1.91350366378805,0.00895639421343496,0.0000794947896708303,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"3",3,6566.3817411443,3.07039318050244,1.40815098378505,0.017891674896314,0.000304374579635931,0.784706068601032,0.00000257333393009612,4.28144885569841,0.020043473450784,0.000317148153500185,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"4",4,6562.98007476168,4.95569868000449,2.23657572650413,0.032010478473263,0.000723675932139545,1.45809787646577,0.00000880093994343138,7.68311523831975,0.0372169062547646,0.000767362239278884,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"5",5,6557.55735701349,7.94242682812139,3.57516394339779,0.0541267999363087,0.00143610689031512,2.53265728964022,0.0000220185303274503,13.1058329865164,0.0646121073590093,0.00154540297514522,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"6",6,6548.89297759864,12.7069144477585,5.71975085869353,0.0891586256089149,0.00260780957942205,4.25173378067847,0.0000468790406730164,21.7702124013595,0.108431015300236,0.00284050883454739,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"7",7,6535.05688024499,20.3072992277734,9.14760576243643,0.144894115620115,0.00450654013239519,7.00191339062459,0.0000907184211035417,35.6063097550081,0.178525537429802,0.00495685030755822,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"8",8,6512.9988925947,32.4070437601444,14.6171471191884,0.23371543812004,0.00756121935814912,11.3986646879507,0.000165180544668007,57.6642974053064,0.290580150562659,0.008381146326654,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"9",9,6477.93152045202,51.6005572471595,23.3235632357575,0.375264179235936,0.0124565354921092,18.4195395536091,0.000288796729423845,92.7316695479835,0.469506050210699,0.0138900713080041,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"10",10,6422.43058647977,81.870777459132,37.1307101424458,0.600534867267889,0.0202815409676671,29.6098084363655,0.000491074053451012,148.232603520232,0.754680568920749,0.0227191455945725,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
"11",11,6340.43574023906,124.745465786709,58.1887765280131,0.955798655902173,0.0327493612443539,47.3038405293386,0.000818899729950703,230.227449760937,1.20557723931149,0.0368142344679981,"Malawi","Rumphi","TA Katumbi",156,6571.66319,"Adults",19534.813182,1
