"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,9528.248777,0,1,0,0,0,0,0,0,0,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"2",2,9526.33508107359,1.58751019410992,0.967406164114099,0.00842406417357192,0.0000793823341831185,0.35027578449419,0.000000337189882661068,1.91369592641585,0.00896387143431695,0.0000810750559901744,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"3",3,9523.96653811017,3.07101959260015,1.40828548475205,0.0179071558162508,0.000310429774962224,0.784713631786007,0.0000025950926891002,4.28223888982211,0.0200607729741121,0.000323457360343803,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"4",4,9520.56321018285,4.95754545126125,2.23704465893894,0.032040083599152,0.000738095968216484,1.45818965185657,0.0000088755318034633,7.68556681715593,0.037251071960616,0.000782651890578018,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"5",5,9515.13595160958,7.9475713458175,3.57654827202649,0.0541821002299853,0.00146479801033387,2.53303666856956,0.0000222057698881129,13.1128253904238,0.0646771103595072,0.00157627285837923,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"6",6,9506.45942204236,12.7208143788749,5.72359983419408,0.0892637238154509,0.00266013109441775,4.25296960982954,0.0000472798300227828,21.7893549576385,0.108555485532057,0.00289747985079758,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"7",7,9492.59137177301,20.34409396162,9.15797717391953,0.14510176705619,0.0045975760075086,7.00554324777938,0.0000915006053120184,35.6574052269879,0.178771314065006,0.00505691680607628,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"8",8,9470.45034784373,32.5030959244317,14.6445458706595,0.234146345318191,0.00771563793141025,11.40875875415,0.0001666237767958,57.7984291562676,0.291087256000909,0.00855210342180512,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"9",9,9435.16928151294,51.8486181228754,23.39495585883,0.376203751046734,0.0127153682167039,18.4467110132917,0.000291372798320051,93.0794954870588,0.470603104774905,0.0141780843747537,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"10",10,9379.12405146158,82.5049455015638,37.3145909765228,0.602670846217191,0.020714480161869,29.681308139192,0.000495594769398024,149.124725538427,0.757155207858206,0.0232024079342042,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"11",11,9295.85245387886,126.266817944215,58.6463406887198,0.960782764100125,0.0334781583893492,47.488076752021,0.000826813697764317,232.396323121143,1.21131996281565,0.0376288332718013,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"12",12,9167.50812956648,193.943012633081,90.9757604834124,1.51648283254838,0.0536800140411487,75.2503515831966,0.00135988724269744,360.740647433522,1.91934398101766,0.0605067633275885,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"13",13,8972.68329029168,295.872278992046,140.086213936506,2.3712358094322,0.0853333881185301,118.148213891189,0.00221069102631418,555.565486708318,3.01328638018555,0.0964312445529309,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"14",14,8682.04646290643,445.680288468146,213.797421766046,3.67584944452998,0.134488275949006,183.91070922244,0.00355691646474389,846.202314093576,4.69017570463736,0.152344298253805,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"15",15,8259.20701407012,658.434831129372,322.110451006484,5.6443085538246,0.210133533912106,283.636369876901,0.00566882938933585,1269.04176292988,7.23287908395441,0.238591538203575,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"16",16,7666.1598397565,945.495866956671,476.214035342327,8.56267444637527,0.325266430664643,432.482141658079,0.00895240938809154,1862.08893724351,11.0275647606835,0.370208285020775,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"17",17,6876.69239312311,1304.32253300264,685.33177819035,12.7788764797133,0.497912297651764,649.611278026096,0.0140058804373246,2651.55638387689,16.5621720964434,0.568223005245291,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"18",18,5988.59220453206,1629.20924213801,937.395848627794,18.6086603667734,0.751346865232593,954.669789084729,0.0216853854114231,3539.65657246795,24.3360353444532,0.86020933907267,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"19",19,4984.2414210976,1944.74132715706,1213.1490675178,26.1492814891241,1.11122933880357,1359.82329407645,0.0331563231702604,4544.00735590241,34.6562045533098,1.27767689301002,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"20",20,3955.37305526649,2177.1940977569,1489.32341348526,35.3210315822391,1.60184090900446,1870.38543980369,0.0498981964290128,5572.87572173352,47.6540898474242,1.85233408679964,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"21",21,3001.82490193463,2270.41742533592,1728.94165553607,45.7711439861682,2.24217895661345,2479.97780631111,0.0736649394987413,6526.42387506538,63.1620354162873,2.61198320020731,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"22",22,2199.50696928274,2206.88141305114,1895.03484096107,56.8430462272356,3.04081815873684,3167.83530191025,0.106387408838758,7328.74180771727,80.6450975501066,3.57489197351544,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
"23",23,1579.22401076004,2012.33069961628,1964.40361288736,67.6782319194011,3.99176612021048,3901.47044014146,0.150015555260911,7949.02476623997,99.2700475614836,4.74485693000503,"Malawi","Chitipa","TA Mwenewenya",206,9529.248777,"Adults",29903.8643,1
