"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,8845.507871,0,1,0,0,0,0,0,0,0,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"2",2,8844.57502646087,0.769666332572687,0.823905771658086,0.00779954823646772,7.3589442159025e-05,0.331398976127267,3.21096083847676e-07,0.932844539132751,0.00831386389255183,7.51769897046895e-05,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"3",3,8843.68095854836,1.26817969174099,0.894257233776512,0.014380906736773,0.000266370753909953,0.649825892262003,2.35636793608756e-06,1.82691245163812,0.0162829588135998,0.000278020992956135,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"4",4,8842.64005338915,1.73294022859992,1.0917476123273,0.0214317969626149,0.000566580988538168,1.02112388654296,7.50543154954603e-06,2.86781761085288,0.0255618731063031,0.000603688975944476,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"5",5,8841.3393220572,2.26765728480227,1.38452697957015,0.0298416199314423,0.000984580114931535,1.48552130284254,1.71755385952816e-05,4.16854894279992,0.0371584846012079,0.00106949857240902,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"6",6,8839.67864275769,2.93319786424161,1.77537253917585,0.0402912547663374,0.0015434756140834,2.07879011828654,3.29902245511113e-05,5.82922824230897,0.0519666758082218,0.00170658426800856,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"7",7,8837.54550119533,3.78173701493996,2.28359415938424,0.0534879311353822,0.00227704872286006,2.84121671774234,5.69327483859074e-05,7.96236980467318,0.0709918707988903,0.00255853283155712,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"8",8,8834.80106985608,4.87094319583701,2.93967705928928,0.0702789622926273,0.00323068552298604,3.82257975615397,9.14848265346946e-05,10.7068011439224,0.0954758308601502,0.0036830003257402,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"9",9,8831.26902685765,6.27149153851096,3.7848333332744,0.0917300588214744,0.00446387702067627,5.08618554686683,0.000139787863718638,14.2388441423581,0.126997525892479,0.00515500933627771,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"10",10,8826.72368246623,8.07282029247244,4.87271805290213,0.119201242294659,0.00605389727310178,6.7131892058013,0.000205843032185759,18.7841885337758,0.167580979255119,0.00707161632038127,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
"11",11,8820.87570228164,10.389070823553,6.27243669024033,0.154435299859192,0.00810070522285622,8.80783043376968,0.0002947657199269,24.632168718365,0.219825864434143,0.00955807147163911,"Malawi","Chitipa","TA Kameme",144,8846.507871,"Adults",27441.10852,119
