"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,9253.98442,0,1,0,0,0,0,0,0,0,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"2",2,9238.69163108556,13.1367121270186,2.59881834902709,0.060978985972443,0.000914414986674213,0.495354460101454,1.05773340693733e-05,15.2927889144403,0.0641500974181177,0.000932162812424273,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"3",3,9171.01775807388,67.9222720855752,13.0100185327016,0.326211685265036,0.00658427092286856,2.70145305677496,0.000122294876186409,82.9666619261158,0.349308689808955,0.00678947084739076,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"4",4,8836.9656807757,337.099062344911,65.3836136587026,1.66260774477862,0.0357072808280129,13.8369790883057,0.000769106770622807,417.018739224297,1.78846994577953,0.0369977735796533,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"5",5,7376.13058583957,1493.79704251421,308.63934360776,8.15794673353556,0.180936870206746,68.0744477242231,0.00411671049208952,1877.85383416043,8.79697174300904,0.187844344244897,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"6",6,3482.60937977423,4305.02222122256,1138.08075760895,34.9209474398382,0.843056699682076,293.487737421423,0.0203198333187356,5771.37504022577,37.9049169293108,0.877151572609972,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"7",7,1198.49960244616,4803.36929119164,2262.53253028767,102.869784183991,3.13544508341147,884.490688487767,0.0870783193603704,8055.48481755384,114.033258755087,3.28155475797406,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"8",8,229.52674263701,4040.44446135221,2969.77213695432,201.970839181213,8.33676900505883,1804.64307899249,0.290391877685131,9024.45767736299,231.989150159645,8.82402074643206,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"9",9,33.873947707501,2903.77284867771,3115.89858790238,306.662056981788,16.930085411999,2877.09623494362,0.750658375001794,9220.1104722925,368.541078733158,18.1896233967102,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"10",10,5.19294748312854,1999.05734080106,2886.67351379518,396.338112752822,28.5052201409504,3937.62841968324,1.58886534362013,9248.79147251687,502.378958288506,31.1711948633079,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"11",11,0.975379158310978,1364.09206685549,2489.15720967877,461.778336001925,42.1500062369655,4893.93146390123,2.89995816730472,9253.00904084169,621.720984630143,47.0158781001615,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"12",12,0.238497349765682,929.136147937714,2051.67067732692,501.817348411324,56.8376053640334,5710.54231394568,4.74182966455342,9253.74592265023,722.239048460309,64.7939737713277,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"13",13,0.0760623840366995,632.603638886267,1639.88595477175,519.340428707076,71.6444965337628,6384.29822864729,7.13561006981197,9253.90835761596,803.797328242132,83.617415542352,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"14",14,0.0308248352810227,430.657346257267,1281.9220651789,518.755703387569,85.8387578793426,6927.70825845462,10.071464007015,9253.95359516471,868.257894925644,102.737778660209,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"15",15,0.0153048327847387,293.166288371519,985.374339745136,504.642222900658,98.8956431972558,7359.37444734907,13.5161736035738,9253.96911516721,918.225062624487,121.574580285796,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"16",16,0.00896635203658544,199.567051737485,747.512182960556,481.111367405637,110.478057729653,7698.88623353412,17.4205602805106,9253.97545364796,956.382739255752,139.708208380008,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"17",17,0.005989343524323,135.850181173529,561.09044741529,451.567200222256,120.403370885826,7964.34135401676,21.7258769428138,9253.97843065647,985.178367674681,156.857459952066,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"18",18,0.00442995529562123,92.4761611297226,417.508778641476,418.675747174551,128.607887589197,8171.34251924311,26.3688962666446,9253.9799900447,1006.70038485576,172.852550099846,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"19",19,0.00354223584576266,62.9503776966103,308.414982181539,384.433401974799,135.114400650344,8332.78199288398,31.2857223768767,9253.98087776415,1022.65800144583,187.609060038791,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"20",20,0.00300437687270059,42.8515324748058,226.423188736099,350.273421554415,140.004962646783,8459.01382250421,36.414487706808,9253.98141562313,1034.41046398109,201.1052340724,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"21",21,0.00266307170778897,29.1698422336378,165.348193383431,317.178482901547,143.399273010911,8558.18882450329,41.6971408954743,9253.98175692829,1043.01629249411,213.363366612847,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"22",22,0.00243906890427345,19.8564523753958,120.191628186856,285.783886459057,145.438245311297,8636.63124056932,47.0805280291632,9253.98198093109,1049.28675347267,224.435183689355,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"23",23,0.00228844733155923,13.5166537996974,87.0146202909818,256.465299979131,146.27197710729,8699.19663393936,52.5169464362048,9253.98213155267,1053.83583962828,234.390742021201,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"24",24,0.00218541510468256,9.20103628406754,62.7707736851238,229.409868928872,146.05127353537,8749.58496298838,57.9643191630725,9253.98223458489,1057.12354043081,243.310245359452,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"25",25,0.00211408981386464,6.26331660665615,45.1377992983705,204.671900914653,144.921934217367,8790.60124739865,63.3861074744872,9253.98230591019,1059.49159179222,251.278184578138,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"26",26,0.00206431145062009,4.26355717872941,32.3656801851487,182.215312680017,143.021124440498,8824.36562992333,68.7510512808189,9253.98235568855,1061.19209657683,258.379273314557,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"27",27,0.00202938427000521,2.9022842623932,23.1479763388081,161.94525158183,140.475276258461,8852.47879775238,74.0328044218496,9253.98239061573,1062.40992404023,264.695737108964,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"28",28,0.0020047946943627,1.97564063319015,16.5169714699843,143.731155473222,137.39908272269,8876.1500515905,79.2095133157125,9253.98241520531,1063.27994310395,270.305600646221,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"29",29,0.00198744898556298,1.34485662718107,11.7605559549662,127.423210848344,133.895250302398,8896.29518565171,84.2633731664083,9253.98243255101,1063.90010506653,275.281695531532,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"30",30,0.00197520122489273,0.915470346845581,8.35765706408831,112.863822713634,130.054758611348,8913.61055101026,89.1801850525968,9253.98244479877,1064.34126887101,279.6911768516,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"31",31,0.00196655058193832,0.623178898415927,5.92884272413333,99.8953843243759,125.957442785446,8928.62867551112,93.9489292059204,9253.98245344942,1064.65451626992,283.595389551195,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"32",32,0.00196044165030309,0.424210463479385,4.19899296342352,88.365343594573,121.672766276221,8941.75978240816,98.5613638524883,9253.98245955835,1064.87655735269,287.049968118337,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"33",33,0.00195612970525,0.28876874967356,2.96937022556259,78.1293288631023,117.260690345496,8953.32265079619,103.01165489026,9253.98246387029,1065.033700409,290.105084710549,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"34",34,0.00195308821699654,0.196570876807144,2.09689041303919,69.0529047124677,112.7725761235,8963.56748606536,107.296038720605,9253.98246691178,1065.14475186797,292.805785474317,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"35",35,0.0019509445746026,0.133809813107097,1.47884349317595,61.0123800003104,108.252076423076,8972.69284073133,111.412518594417,9253.98246905543,1065.22312490456,295.192372855086,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"36",36,0.00194943504611478,0.0910871846381997,1.0416998323466,53.8949754180769,103.73599004585,8980.85812453614,115.360593547896,9253.98247056495,1065.27836599904,297.300805081788,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"37",37,0.0019483730057587,0.0620050133832691,0.732945571725045,47.5985738660495,99.2550621555601,8988.19286682973,119.141018190535,9253.982471627,1065.3172569456,299.163093485768,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"38",38,0.00194762647155595,0.0422081678005153,0.515158656126156,42.0312096281794,94.834722262943,8994.80358250158,122.755591156889,9253.98247237353,1065.34460703716,300.807685526565,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"39",39,0.00194710218107046,0.028732038986458,0.361725402846582,37.1104078255976,90.4957562945184,9000.77888150444,126.206969831416,9253.98247289782,1065.3638212581,302.259825985452,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"40",40,0.00194673429135789,0.0195585446481917,0.253753308209347,32.7624500138,86.2549129067197,9006.19328961831,129.498508874006,9253.98247326571,1065.37730678658,303.541892339775,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"41",41,0.00194647636257248,0.0133139325837076,0.177853530945483,28.9216169714354,82.1254463829022,9011.11012256815,132.634120137607,9253.98247352364,1065.38676305815,304.673702614187,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"42",42,0.00194629567409816,0.00906309610261787,0.124552758485699,25.5294421969609,78.1175997658464,9015.58366419813,135.618151688789,9253.98247370432,1065.39338826587,305.672795520428,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"43",43,0.00194616919318282,0.00616946849021648,0.0871574015716056,22.5339972926487,74.2390326583976,9019.66083323603,138.45528377366,9253.98247383081,1065.39802624032,306.55468369802,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"44",44,0.00194608072247304,0.00419970357012998,0.0609443221303686,19.8892212265405,70.4951984338978,9023.38247047427,141.150439758858,9253.98247391928,1065.40127058399,307.333081491608,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"45",45,0.00194601888286286,0.00285884080979128,0.0425850661042225,17.554299995019,66.8896755632987,9026.78434425157,143.708710264306,9253.98247398112,1065.40353841596,308.02010897958,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"46",46,0.00194597568704631,0.00194608331473166,0.029736648659503,15.4930989476799,63.4244577512822,9029.89794574905,146.135288844312,9253.98247402431,1065.4051225705,308.626474188797,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"47",47,0.00194594553348869,0.00132474615552549,0.0207515879138803,13.6736474722095,60.1002071914197,9032.75112527152,148.435417785237,9253.98247405447,1065.40622843675,309.161635403061,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"48",48,0.00194592449731474,0.000901789261258259,0.0144726981289405,12.0676740438469,56.9164750437118,9035.36860778871,150.61434271183,9253.9824740755,1065.40699993779,309.63394547412,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"49",49,0.00194590983024409,0.000613871347137428,0.010087838512475,10.6501887143814,53.8718928738714,9037.77241594392,152.677274848124,9253.98247409017,1065.4075378571,310.050779938094,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"50",50,0.00194589960963608,0.000417878016322716,0.00702763064121404,9.39910958082256,50.9643384000479,9039.98222068193,154.629359928917,9253.98247410039,1065.40791270343,310.418650598428,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"51",51,0.00194589249131013,0.000284460628864443,0.00489319812077709,8.29492957169222,48.191078638151,9042.01563538716,156.475652851743,9253.98247410751,1065.40817377305,310.743306139478,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"52",52,0.00194588753605927,0.00019363706841325,0.00340530784783095,7.32041984351491,45.5488931845995,9043.88846485986,158.221097279558,9253.98247411246,1065.40835551092,311.029821184378,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"53",53,0.0019458840886472,0.000131820779532436,0.00236879647403047,6.46036644550941,43.0341799511265,9045.61491756574,159.87050953627,9253.98247411591,1065.40848194786,311.282675007987,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
"54",54,0.0019458816910402,8.97364887196059e-05,0.0016470144025514,5.70133598549793,40.6430460551584,9047.20778927816,161.428566048592,9253.98247411831,1065.40856988238,311.5058213558,"Malawi","Nkhotakota","TA Mwadzama",201,9254.98442,"Elderly",109237.04537,110
