"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,514.5280758,0,1,0,0,0,0,0,0,0,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"2",2,513.59785567352,0.767447973266922,0.823546133620877,0.00781291748267379,7.18547540315843e-05,0.331340928867134,3.18488253779427e-07,0.930220126479892,0.00832815278959878,7.34049218897044e-05,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"3",3,512.708558181969,1.26263078266875,0.892783214583281,0.0143990048534163,0.000260034228961109,0.64944224476293,2.33693392142531e-06,1.81951761803126,0.0163040453931739,0.000271408713917949,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"4",4,511.676578949282,1.72160596713797,1.08807814948983,0.021441975191314,0.000552886722282593,1.01981043031201,7.44186424638646e-06,2.85149685071766,0.0255769756048873,0.000589108274011251,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"5",5,510.392282967848,2.24603756858553,1.3768189674006,0.0298217846025597,0.000960220803332467,1.48213726635069,1.70244092703571e-05,4.13579283215198,0.0371432729439501,0.00104308317499364,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"6",6,508.761147254305,2.89350479259198,1.76041936918134,0.0402014757887947,0.00150405692454709,2.07126616630629,3.26849023140887e-05,5.76692854569527,0.051875216929274,0.00166314312132779,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"7",7,506.680046404286,3.71074674810876,2.25587607625358,0.0532566709641684,0.00221643144784873,2.82587709780696,5.63711320587638e-05,7.84802939571338,0.0707398394852512,0.00249080488550731,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"8",8,504.025828233905,4.74642962365607,2.88980525194356,0.0697801927338996,0.00314001721282831,3.79300197150948,9.05090389365051e-05,10.5022475660948,0.0949123667214173,0.00358054901066937,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"9",9,500.648160786779,6.05640466703858,3.6969961373927,0.090745265587393,0.00433008510623433,5.03130070719972,0.000138150896005732,13.8799150132206,0.125858251263229,0.00500250261619655,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
"10",10,496.36410292281,7.7058914046524,4.72052219571934,0.117356716341245,0.0058573051112619,6.61414210134133,0.000203154024688963,18.1639728771903,0.165410139097806,0.00684611030449416,"Malawi","Mangochi","TA Nankumba and Lake Malawi National Park",15,515.5280758,"Adults",1593.9236923,188
