"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,15871.86026,0,1,0,0,0,0,0,0,0,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"2",2,15871.3283535176,0.437761674351396,0.763268215591879,5.79533490284405e-05,1.89471544463419e-07,0.330818445493232,4.10865648064698e-09,0.531906482365737,6.18249530473218e-05,1.93580200944066e-07,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"3",3,15870.8580144113,0.687480998242289,0.705232179539826,0.000100048759686874,6.62652650955139e-07,0.609431669964788,2.9526866812802e-08,1.00224558868611,0.000113892350042233,6.92179517767941e-07,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"4",4,15870.3954510322,0.852395659614351,0.72882438296818,0.000136446639003054,1.34149103588036e-06,0.88345104588499,9.11949066332906e-08,1.46480896779247,0.000165100357853327,1.43268594251365e-06,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"5",5,15869.9033877446,0.989815659328984,0.791924476227015,0.000171666598068942,2.19462844451025e-06,1.17495805779159,2.00830994944848e-07,1.9568722554051,0.000219575786858044,2.39545943945509e-06,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"6",6,15869.3624463414,1.1243244867391,0.877843570119727,0.000207852531801963,3.21166073624465e-06,1.49543416866837,3.68931272960836e-07,2.49781365865101,0.000279464371986073,3.58059200920549e-06,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"7",7,15868.7601553821,1.26710186963734,0.980480551526837,0.00024618523317296,4.39241658417636e-06,1.85227101338104,6.05695632311968e-07,3.1001046178906,0.000346147477502726,4.99811221648833e-06,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"8",8,15868.086352754,1.42391662388597,1.0982028335597,0.000287469753216902,5.7425555039226e-06,2.25149365474738,9.21509428684569e-07,3.77390724601119,0.000420751051869046,6.66406493260717e-06,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"9",9,15867.331221597,1.59844201672661,1.23133117443618,0.000332382233794722,7.27179929490705e-06,2.69892423060061,1.32724418384721e-06,4.52903840304068,0.000504363103369807,8.59904347875426e-06,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"10",10,15866.4844054738,1.79364209749663,1.3811135653596,0.000381576492087223,8.9932743973209e-06,3.20070645905294,1.83448723864673e-06,5.37585452616289,0.000598131724806576,1.08277616359676e-05,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"11",11,15865.5345606001,2.01236319092647,1.54931571817721,0.000435733055231854,1.09233377590094e-05,3.76357137864239,2.45574731658436e-06,6.32569939988638,0.000703314756743729,1.33790850755937e-05,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"12",12,15864.4690790277,2.25759837679058,1.73806876004044,0.000495584821830777,1.30816290075338e-05,4.39500196441592,3.20465746069591e-06,7.39118097235525,0.000821310551195371,1.62862864682297e-05,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"13",13,15863.2738709934,2.53262078341462,1.949823835541,0.000561933676830114,1.54912420076861e-05,5.10336286655841,4.09618498698136e-06,8.58638900661784,0.000953682216723463,1.95874269946675e-05,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"14",14,15861.9331595723,2.84106413580207,2.18735422649371,0.000635663901940057,1.81789764761726e-05,5.89802307564102,5.14685549079632e-06,9.9271004276707,0.00110218054127944,2.3325831966969e-05,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"15",15,15860.4292682018,3.18698529966216,2.45377812804722,0.000717754911267814,2.11756495748079e-05,6.78948306493785,6.37499243595179e-06,11.4309917982005,0.00126876775148301,2.75506420107597e-05,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
"16",16,15858.7423794186,3.57492469719483,2.75259505118425,0.000809295001206059,2.4516485688353e-05,7.7895192205274,7.80098936976407e-06,13.1178805813827,0.0014556445023684,3.23174750581171e-05,"Malawi","Chitipa","TA Kameme",144,15872.86026,"Pediatrics",27441.10852,44
