"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,21705.57459,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"2",2,21705.0495540313,0.43208781906552,0.762217840126925,5.06471228728469e-05,1.65622566457141e-07,0.330679493158345,3.59182301538059e-09,0.525035968688052,5.40314106622973e-05,1.69214389472522e-07,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"3",3,21704.6034530428,0.663463359508533,0.699439111775341,8.72751803297746e-05,5.7880219861929e-07,0.608146606149658,2.58021832468758e-08,0.971136957218242,9.93672679670979e-05,6.04604381866166e-07,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"4",4,21704.1689695849,0.812572641810436,0.714533169848421,0.000118537139649298,1.16967116831029e-06,0.878394817038044,7.96183876470392e-08,1.4056204151261,0.000143522930768444,1.24928955595733e-06,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"5",5,21703.7124261493,0.932988718683577,0.766651680937732,0.000148256671201981,1.90816455602482e-06,1.16237311119577,1.75074694237314e-07,1.86216385072753,0.000189921456207224,2.08323925026214e-06,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"6",6,21703.216837175,1.04770277103849,0.83922134661743,0.000178227776951941,2.78211999728704e-06,1.47064737645282,3.20955450738586e-07,2.35775282496114,0.000240289285912453,3.10307544802563e-06,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"7",7,21702.671864956,1.16701463524244,0.92584706549572,0.000209404955654132,3.7880352587097e-06,1.8096496246991,5.25585678131185e-07,2.90272504401386,0.00029567737439095,4.31362093684089e-06,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"8",8,21702.0696051072,1.29598481490735,1.02445278132438,0.000242400801466078,4.92720074484961e-06,2.18429917133751,7.97233773907141e-07,3.50498489280523,0.000356889491841213,5.72443451875675e-06,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"9",9,21701.4027790921,1.43756830307261,1.13483187383482,0.000277697134616663,6.20407543366914e-06,2.59912568544452,1.14435439174444e-06,4.17181090791639,0.000424665731124935,7.34842982541357e-06,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"10",10,21700.6257590414,1.62582717838283,1.26317347937636,0.000315853373050555,7.6257960333445e-06,3.05950524590798,1.57575912650814e-06,4.94883095859538,0.000499884476247608,9.20155515985264e-06,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"11",11,21699.7583514188,1.82938069395341,1.4130327938939,0.000357766970681906,9.20361390865767e-06,3.57345602187493,2.10082783176478e-06,5.81623858113467,0.000583855805490355,1.13044417404225e-05,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"12",12,21698.7870243383,2.0545657437101,1.58357668464222,0.00040422882528766,1.09533324841551e-05,4.14900532139618,2.7297899330314e-06,6.78756566169622,0.000677891273631391,1.36831224171865e-05,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"13",13,21697.6980833797,2.30586347830217,1.77589439427256,0.000455952814947225,1.28942878100947e-05,4.79427642663495,3.47397658824831e-06,7.87650662028903,0.000783318102914085,1.6368264398343e-05,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
"14",14,21696.4767867865,2.58720949415902,1.99204465355606,0.000513665240135236,1.50489790028452e-05,5.51801600555492,4.34602703438924e-06,9.09780321351618,0.000901565360879925,1.93950060372344e-05,"Malawi","Machinga","TA Ngokwe",98,21706.57459,"Pediatrics",35668.864125,37
