"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,2567.774119,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"2",2,2551.25388209777,14.2139695093478,2.73377958838295,0.0641197100294341,0.000978525218710239,0.507378323272658,0.0000112459740137776,16.5202369022255,0.0674150297589689,0.000997406104446732,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"3",3,2475.13440056352,76.053628448944,14.3269624438054,0.358924340875751,0.0073016614441607,2.89276810153774,0.000133439878119762,92.6397184364851,0.38378840321866,0.00752569389242923,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"4",4,2149.6073065612,333.89874658647,68.5291045548554,1.83223789680279,0.0405928756841207,14.865266143533,0.000864381454600175,418.166812438801,1.97114692250825,0.0420440872427688,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"5",5,1180.52328798206,1050.54227882674,263.677141367755,8.04498353440704,0.195945943585999,65.7858977150278,0.00458363042583247,1387.25083101794,8.71779228234422,0.20364140884516,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"6",6,202.855951865288,1504.88303462896,618.639944266114,25.8972405847726,0.766654797449209,215.710778047261,0.0205148101527124,2364.91816713471,28.5439771822315,0.801097148634146,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"7",7,9.73290609459905,1172.79938856213,853.526376888926,55.0955328698186,2.18970952707266,475.357836028729,0.0723690287214157,2558.0412129054,62.7315157829218,2.31121001786839,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"8",8,0.276935801195721,805.466081735195,890.047155522847,86.3030942407001,4.66315050280644,781.820973326043,0.196727871211799,2567.49718319881,102.800860092787,4.99343727503115,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"9",9,0.00872891721019827,548.492578538428,816.803797997956,112.712393674187,8.05562530238442,1082.2699730365,0.431021533333542,2567.76539008279,141.718126963109,8.77926811988235,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"10",10,0.00041057787406289,373.371998589032,699.612387868827,131.774635745423,12.0782017114807,1351.13216124327,0.804323264092332,2567.77370842213,176.141187395865,13.428581467465,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"11",11,0.0000365780739720693,254.159231658466,573.988353782486,143.337252396937,16.4154822447329,1579.53958918035,1.33417315895423,2567.77408242193,204.972728103389,18.6554279298332,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"12",12,0.0000051785995045921,173.009319289943,457.263155906627,148.346770451359,20.7888681248842,1767.33906555241,2.02693449617269,2567.77411382141,228.274112792714,24.1918920488865,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"13",13,0.00000112468455481009,117.769592528618,356.560654152657,148.133021308753,24.9800052183403,1918.45115680562,2.87968786132333,2567.77411787532,246.637561178501,29.8147182809707,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"14",14,0.000000328414656468955,80.1672641723808,273.548724562993,144.041601533767,28.8335919099216,2038.30036694756,3.88256954495863,2567.77411867159,260.840857351133,35.3520448116039,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"15",15,0.000000129617630301079,54.5708934399646,207.196707212538,137.26514790078,32.250560706183,2132.46979901587,5.02101059504977,2567.77411887039,271.668517405425,40.6803443079158,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"16",16,0.0000000671029818176149,37.1470517961745,155.328791779077,128.783383640997,35.1777189750845,2206.05953078606,6.27764195550529,2567.7741189329,279.828177459233,45.7172631987597,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"17",17,0.0000000409682031748695,25.286451549967,115.459810972801,119.359517442183,37.596976362359,2263.43756296156,7.63379967016026,2567.77411895904,285.919750450751,50.4133761807292,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"18",18,0.0000000290201415281308,17.2127992909463,85.2152368375956,109.562671553251,39.5156440963275,2308.19712012283,9.07064707003201,2567.77411897099,290.432028883935,54.74436956515,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"19",19,0.0000000230626976209026,11.7169582107993,62.5136124308322,99.800003032177,40.9583595894932,2343.21522118293,10.5699645307076,2567.77411897694,293.752506561196,58.7042918047533,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"20",20,0.0000000190581956267371,7.97587543122122,45.621430751908,90.3497283666472,41.9607134876259,2370.75170023785,12.1146707056876,2567.77411898095,296.182238909804,62.3000556423472,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"21",21,0.0000000166533458896512,5.42927521159484,33.1432545737865,81.3910094175338,42.5644247879244,2392.55701900012,13.6891359923883,2567.77411898335,297.951526814604,65.5471395076055,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"22",22,0.0000000151088497650481,3.69577349439233,23.9824737519622,73.0292088137611,42.8138182758242,2409.97350309262,15.2793415563332,2567.7741189849,299.234415945008,68.4663319398738,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"23",23,0.0000000140803617087365,2.51575774551696,17.2927638188582,65.3162344029208,42.7533521234134,2424.0230835034,16.8729273918121,2567.77411898592,300.161139251512,71.0813398757109,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"24",24,0.000000013384062173466,1.71250662056097,12.4300539753086,58.266419871353,42.4259562492189,2435.48001809351,18.4591641766679,2567.77411898662,300.828351590977,73.4170797556266,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"25",25,0.0000000129056334309634,1.16572407834062,8.90964606454734,51.8685975351566,41.8719809522985,2444.92929515302,20.0288752037341,2567.7741189871,301.307295881672,75.4984950887255,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"26",26,0.000000012573659875965,0.79352254316453,6.37010646462397,46.0950700402409,41.1285926297023,2452.81249938046,21.5743279292327,2567.77411898743,301.650176749621,77.3497700905815,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"27",27,0.0000000123418121814492,0.540160375782354,4.54396373646499,40.908140684414,40.2294879920386,2459.46325689456,23.0891093043966,2567.77411898766,301.895055126648,78.9938345928428,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"28",28,0.0000000121792087598724,0.367693682692114,3.23455250476629,36.2647655496337,39.2048287007839,2465.13428371161,24.567994838333,2567.77411898783,302.069558135491,80.452078849951,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"29",29,0.0000000120648734143591,0.250293562263285,2.29806632869607,32.1197895686542,38.0813231148525,2470.01782825574,26.0068181577327,2567.77411898794,302.193661698031,81.7442162892752,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"30",30,0.0000000119843611592247,0.170377725970434,1.62985156733219,28.4281340139107,36.8824013225394,2474.26100886915,27.4023454891115,2567.77411898802,302.281760075174,82.8882478110669,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"31",31,0.0000000119275089641497,0.115978162533261,1.15406658229294,25.146218865863,35.6284449415854,2477.97725266467,28.7521577711253,2567.77411898808,302.344193557313,83.9004936666816,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"32",32,0.0000000118863011208028,0.0789477329155755,0.81595163753041,22.2328376481225,34.3370443388831,2481.25479571987,30.0545419107899,2567.77411898812,302.388369933442,84.7956681081597,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"33",33,0.0000000118574834497846,0.0537406588004473,0.576097562523815,19.6496453776606,33.023264834834,2484.16297873446,31.3083918198642,2567.77411898815,302.41958300928,85.5869794423912,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"34",34,0.0000000118371510868211,0.0365819216079386,0.406226566600179,17.3613794135082,31.6999094046109,2486.7569023494,32.5131193324335,2567.77411898817,302.441607260148,86.2862431717503,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"35",35,0.0000000118228338349607,0.0249017434099107,0.286100891509734,15.3359007539989,30.3777699885177,2489.08087090485,33.6685747058927,2567.77411898818,302.457128456326,86.9039998334156,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"36",36,0.0000000118127659895292,0.0169509213625443,0.201271915810695,13.5441177069229,29.0658627755553,2491.17093947651,34.7749761920233,2567.77411898819,302.468054021513,87.4496320396913,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"37",37,0.000000011805691876725,0.0115386933652387,0.141446176270418,11.959837017626,27.771644957665,2493.05680411881,35.8328480244612,2567.7741189882,302.475736315335,87.9314771193005,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"38",38,0.0000000118007229374231,0.00785452812676448,0.0993050864273368,10.5595731363641,26.5012120466669,2494.76320807381,36.8429661168057,2567.7741189882,302.481132606594,88.3569332667828,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"39",39,0.000000011797185273348,0.00534664035979912,0.069654415526519,9.32233728052986,25.2594758131988,2496.31099409809,37.8063107404992,2567.77411898821,302.484919534757,88.732558032241,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"40",40,0.0000000117947226866904,0.00363953227556111,0.0488143996928955,8.22942041337806,24.0503235517353,2497.71789560599,38.7240254851351,2567.77411898821,302.487574639404,89.064158684748,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"41",41,0.0000000117929859781916,0.00247747933812873,0.0341814134997214,7.26417998127883,22.8767597916517,2498.99913851857,39.5973818038681,2567.77411898821,302.489434631922,89.356874398638,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"42",42,0.0000000117917743882415,0.00168645295859562,0.0239163141788061,6.41183564551977,21.7410317541882,2500.1679002833,40.4277485380675,2567.77411898821,302.490736579383,89.6152505453561,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"43",43,0.0000000117909265141046,0.00114799106759065,0.0167216451138689,5.65927792733714,20.6447399462615,2501.23566565165,41.2165658267809,2567.77411898821,302.491647217565,89.8433054838223,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"44",44,0.0000000117903339369219,0.000781452228827126,0.0116831864036456,4.99489131452891,19.5889352986443,2502.21250485684,41.9653228795632,2567.77411898821,302.492283699369,90.0445903813755,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"45",45,0.0000000117899197701234,0.000531947478357477,0.00815747978305972,4.40839244535914,18.5742042155868,2503.10729376511,42.6755391348929,2567.77411898821,302.492728260781,90.2222426302243,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"46",46,0.0000000117896179422459,0.000362102282021953,0.00569216357263424,3.89068328086977,17.6007428060667,2503.92789025309,43.348748382333,2567.77411898821,302.493038572168,90.3790334213669,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"47",47,0.0000000117894045065603,0.000246485577001988,0.00396948918208232,3.43371866169494,16.6684215122312,2504.68127737714,43.9864854623887,2567.77411898821,302.493255045686,90.5174100433991,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"48",48,0.0000000117892562333244,0.000167790737069182,0.00276666398206872,3.03038748104543,15.7768411590913,2505.37368066639,44.5902752269611,2567.77411898821,302.493405954947,90.6395333978964,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"49",49,0.0000000117891533320822,0.000114224273115397,0.00192729827117009,2.67440614888957,14.9253816622949,2506.01066625887,45.1616233956136,2567.77411898821,302.493511104871,90.7473113557541,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"50",50,0.0000000117890817457319,0.0000777518192459108,0.00134183237403239,2.36022382501965,14.1132439060953,2506.59722252359,45.7020091493091,2567.77411898821,302.4935843431,90.8424282007703,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"51",51,0.0000000117890319186243,0.000052925859866496,0.00093376088310304,2.08293804121202,13.3394858273,2507.1378292661,46.2128791668529,2567.77411898821,302.493635320246,90.926370701367,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"52",52,0.000000011788997252472,0.0000360269388632808,0.000649479518145034,1.83821967188601,12.6030534752691,2507.63651744978,46.6956428848227,2567.77411898821,302.49367078664,91.0004512124767,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"53",53,0.0000000117889731459988,0.0000245233816951263,0.000451544983708698,1.62224639815236,11.9028075439327,2508.09692013369,47.1516688440761,2567.77411898821,302.493695449654,91.065828073705,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"54",54,0.0000000117889563881473,0.000016691944365973,0.000313783228718969,1.43164357595245,11.2375460967218,2508.52231691397,47.5822819263925,2567.77411898821,302.49371259442,91.1235236948543,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"55",55,0.000000011788944745352,0.0000113616526987609,0.000217960114493195,1.26343226808791,10.6060236726026,2508.91567230642,47.9887614193332,2567.77411898821,302.493724506045,91.1744404130485,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"56",56,0.0000000117889366597677,0.00000773347002196842,0.000151340125985067,1.11498289079532,10.0069676373905,2509.2796696972,48.372339689232,2567.77411898821,302.49373277833,91.2193746161286,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"57",57,0.0000000117889310462761,0.00000526372352394232,0.000105039402653827,0.98397439641976,9.43909185082603,2509.61674100111,48.7342014367242,2567.77411898821,302.493738521444,91.259029159835,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"58",58,0.0000000117889271509915,0.00000358286926037378,0.0000728776960491168,0.868358151975081,8.90110811893058,2509.92909284324,49.0754834135032,2567.77411898821,302.493742506677,91.2940243446253,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
"59",59,0.0000000117889244477175,0.00000243872589541758,0.0000505457348145167,0.766326025046412,8.39173570812617,2510.21872974275,49.3972745278264,2567.77411898821,302.493745271177,91.3249076069275,"Malawi","Machinga","TA Mposa",87,2568.774119,"Elderly",30122.432658,1
