"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,3324.844706,0,1,0,0,0,0,0,0,0,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"2",2,3308.30753318411,14.2294245247762,2.73514451445249,0.0650000370643428,0.00101749112885466,0.506574545549725,0.0000117029203465561,16.5371728158919,0.0683402292515534,0.00103712298706413,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"3",3,3231.65623441142,76.5468514387681,14.3770067355518,0.364409602855223,0.00759828961924595,2.89246660364642,0.000138918138197772,93.188471588579,0.389631431438084,0.00783132728087757,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"4",4,2894.87824901992,344.366252228879,69.7146079976609,1.87385174750133,0.0424052420990792,14.9684380637202,0.000901700215752962,429.966456980076,2.01529504382675,0.0439178603395615,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"5",5,1785.19306841342,1181.86054762758,282.073685334626,8.46070041864353,0.207868306761552,68.0440141817949,0.00482171716983123,1539.65163758658,9.15621802246128,0.215956823559169,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"6",6,384.717579820257,1946.76830715776,727.684432531458,28.982075339489,0.846417332917475,236.823775361904,0.0221184562187609,2940.12712617974,31.8275733605534,0.883521438853469,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"7",7,21.72691956511,1605.7862068051,1075.95081450651,65.6412400253394,2.54643893448797,554.111880816214,0.0812053472327233,3303.11778643489,74.2811100865208,2.68266235697694,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"8",8,0.638346031563494,1108.99729360175,1157.2424872183,106.944877789534,5.65187783122505,946.140288320557,0.229535207071533,3324.20635996844,126.387602978198,6.03692724674432,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"9",9,0.0192661684607618,755.373871197143,1078.22944190101,142.949998941022,10.0432940453086,1338.71041057273,0.518423174330705,3324.82543983154,178.096628753413,10.9129581931945,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"10",10,0.000843399059708,514.206292497668,931.734275214099,169.581387775373,15.3510400726964,1693.98155864826,0.989308392839336,3324.84386260094,224.366354850342,17.0106225972735,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"11",11,0.0000694907546020922,350.02716307743,768.868919553232,186.273511217886,21.1486513457237,1997.85802338044,1.66836793452863,3324.84463650924,263.399188523238,23.9473683977058,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"12",12,0.00000916988771483876,238.267815268047,615.020238798185,194.115677929968,27.050005770668,2248.82450738118,2.5664516820607,3324.84469683011,295.099499323254,31.3552743730047,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"13",13,0.00000184660361980955,162.191789983014,481.033531225886,194.813616376287,32.7473953946001,2451.37694485694,3.68142631666611,3324.8447041534,320.17047581036,38.923053889847,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"14",14,0.000000533587946904101,110.406034380481,369.90913989736,190.149708658933,38.018540299529,2612.35998910496,5.00129312514374,3324.84470546641,339.613793043232,46.4082989742277,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"15",15,0.000000204214137856591,75.1547765526057,280.707379973555,181.7291052704,42.7188113789908,2739.02737684884,6.50725577139458,3324.84470579579,354.46725390629,53.6348493296702,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"16",16,0.000000098691380374206,51.1587550421886,210.757588336417,170.883936019446,46.767684172044,2838.10037357704,8.17636875417381,3324.84470590131,365.679681551025,60.4836890064725,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"17",17,0.0000000583501730841496,34.8243998125771,156.859293925009,158.659896313053,50.1341480843698,2915.38331472501,9.98365308163432,3324.84470594165,374.061944427699,66.8819047046972,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"18",18,0.0000000404865390657154,23.7054010384789,115.893525933402,145.841979111684,52.8233487829506,2975.67676483376,11.9036862592391,3324.84470595951,380.278258478656,72.7919954020133,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"19",19,0.0000000310590394525242,16.1365590762451,85.0965304513636,132.995617832053,54.8653421236878,3022.83892355172,13.911732933872,3324.84470596894,384.857219068634,78.2025229570328,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"20",20,0.0000000254716962431263,10.9843460587629,62.1510295783118,120.510266751756,56.306158543052,3059.90840559588,15.9844994467617,3324.84470597453,388.210679676762,83.1204422769876,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"21",21,0.00000002210616012215,7.47717785755991,45.1828091565916,108.639501615101,57.200992999534,3089.24362845179,18.100595897314,3324.84470597789,390.654416183163,87.5650663795244,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"22",22,0.0000000199508588714907,5.08980580837959,32.7141101211593,97.5351643586048,57.609206273252,3112.65563990811,20.2407795105463,3324.84470598005,392.427487450285,91.5634759455358,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"23",23,0.0000000185230193401765,3.46469173576368,23.6014733857243,87.2750837967298,57.590791666923,3131.52462545539,22.388039940948,3324.84470598148,393.70903741882,95.1471291188838,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"24",24,0.0000000175585737117514,2.3584576985983,16.9729118559816,77.884801093126,57.203982398345,3146.89697773063,24.5275752057545,3324.84470598244,394.632184844432,98.3494285265181,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"25",25,0.0000000168971374478196,1.605430838906,12.1711427714191,69.3541464146321,56.5037209285661,3159.56356973867,26.6466952909068,3324.8447059831,395.295149434944,101.204028903919,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"26",26,0.0000000164387812887518,1.09283612749455,8.7053681422893,61.649606732927,55.5407615060855,3170.1214523058,28.7346811689659,3324.84470598356,395.769967596982,103.743703139327,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"27",27,0.0000000161189469019296,0.743906704665103,6.21196870835134,54.7233557107764,54.3612264981539,3179.02162904373,30.7826193182052,3324.84470598388,396.109199389747,105.999621007861,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"28",28,0.0000000158947591020095,0.506386337707702,4.42332724803803,48.519709191963,53.0064782362775,3186.60557900952,32.783225960597,3324.84470598411,396.35102169242,108.000926173104,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"29",29,0.0000000157371719276242,0.344703319793222,3.1435913070239,42.9796350514303,51.5132026803542,3193.13290287297,34.7306707526851,3324.84470598426,396.523054965909,109.774524089519,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"30",30,0.0000000156262220712015,0.23464370184685,2.23012862695589,38.0438163406871,49.9136289068424,3198.80208209248,36.6204063155559,3324.84470598437,396.645212295896,111.345015524098,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"31",31,0.0000000155479619365643,0.159724693698128,1.57950809680141,33.6546581956257,48.2358293571222,3203.76597804742,38.4490075937815,3324.84470598445,396.731805399897,112.734727326478,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"32",32,0.0000000154912467322336,0.108726533168508,1.11700816703431,29.7575346817721,46.5040621861557,3208.14335113254,40.2140232838413,3324.84470598451,396.793091368739,113.963805546119,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"33",33,0.0000000154515850929508,0.0740114473376191,0.788826858374674,26.3014991597497,44.7391289110844,3212.02739923532,41.9138403726808,3324.84470598455,396.836403033467,115.050345841911,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"34",34,0.0000000154235411933339,0.0503804863741173,0.556341126768946,23.2396215764148,42.9587296759873,3215.49207112227,43.5475619967587,3324.84470598458,396.866970546642,116.010543853303,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"35",35,0.0000000154038066121791,0.0342945908390932,0.39189828280798,20.5290742339691,41.1778045246186,3218.59673604597,45.1148983063923,3324.8447059846,396.888516641774,116.85885339602,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"36",36,0.0000000153899278835564,0.0233447450624336,0.275748673411435,18.1310519014421,39.4088538770472,3221.38963711249,46.616069675155,3324.84470598461,396.90368595476,117.608144570742,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"37",37,0.0000000153801749036035,0.015891043698871,0.193817353191182,16.0105887032496,37.6622344373231,3223.91045305145,48.0517213957086,3324.84470598462,396.914354052171,118.269856571502,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"38",38,0.0000000153733248975646,0.010817227509582,0.136094297709055,14.136314369299,35.9464290379817,3226.19220213093,49.422848921191,3324.84470598463,396.921848855352,118.854142121279,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
"39",39,0.0000000153684553317608,0.0073634148829789,0.0954731013273339,12.4801802979206,34.2682903022098,3228.2626662013,50.730732666989,3324.84470598463,396.927109205253,119.370001762975,"Malawi","Nsanje","TA Ndamera",212,3325.844706,"Elderly",33881.162686,1
