"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,8123.644829,0,1,0,0,0,0,0,0,0,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"2",2,8108.35450684148,13.1344650000322,2.5986161565461,0.0598325802052509,0.000870103227203907,0.496528252929051,1.00655813660857e-05,15.2903221585211,0.0629441280882825,0.000886991125846445,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"3",3,8040.75213564714,67.8559219894199,13.0031667418878,0.320005501581642,0.0062644797664967,2.70721826925602,0.000116370948356288,82.8926933528602,0.342666094566715,0.00645972539705697,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"4",4,7708.51365961471,335.413328658357,65.203141612479,1.6290781084656,0.0339527664577634,13.850936611461,0.000731628068964347,415.131169385289,1.75248986507893,0.0351802823083964,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"5",5,6284.76390325572,1459.32839980898,304.640442450905,7.94994843145999,0.171556847160352,67.7866678326164,0.00391037316078682,1838.88092574428,8.57478162882955,0.178117619279921,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"6",6,2743.55909010603,3973.82089825726,1086.18955623635,33.3809883740291,0.790684736306894,286.884425151266,0.0191861387590714,5380.08573889397,36.2676180625882,0.822874984929451,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"7",7,314.689436250262,4636.22369277982,2212.16762994248,97.9549322926727,2.90258788999203,860.625337053309,0.0812127914664471,7808.95539274974,108.61514457456,3.03884563218108,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"8",8,11.3316375779534,3386.93849999623,2781.64207673552,191.0801988224,7.69840489002044,1745.68477883197,0.269232145913949,8112.31319142205,219.670660216558,8.15011900628872,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"9",9,0.290941621233671,2313.82607590296,2782.58176761246,283.643478566621,15.4816350983569,2728.12870989043,0.692220307938408,8123.35388737877,342.026920066593,16.6430331312771,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"10",10,0.0092048255316047,1575.2619995123,2499.98595197981,358.651764398513,25.7130685438684,3663.56965591088,1.45318382910331,8123.63562417447,457.405638601162,28.15120105925,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
"11",11,0.00045612696095025,1072.30700542346,2114.1964609987,410.714030007041,37.5195609486267,4487.27984126052,2.6274742346913,8123.64437287304,557.796308329618,41.9279022999623,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,"Elderly",87018.344239,123
