"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,119808.5588,0,1,0,0,0,0,0,0,0,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"2",2,119807.936849262,0.512166744409183,0.776998132045599,5.98774272514567e-05,1.95181204953479e-07,0.332725784835494,4.22744672774862e-09,0.62195073812618,6.38656002850812e-05,1.99408651681227e-07,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"3",3,119807.409414555,0.785882104268817,0.742300476387375,0.000104848884425931,6.87845900368282e-07,0.621097296633951,3.05240790622904e-08,1.14938544454455,0.000119216284014542,7.18369979430573e-07,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"4",4,119806.873694467,0.98059820963145,0.790355233504538,0.000145412613665738,1.40632466128024e-06,0.914005176435486,9.48824526959019e-08,1.68510553339225,0.00017543675594526,1.50120711397614e-06,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"5",5,119806.28784761,1.15554315820671,0.880895463146082,0.000186185717330558,2.32611973631167e-06,1.23432504586848,2.1049471130281e-07,2.27095238955305,0.000236918006282848,2.53661444761448e-06,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"6",6,119805.628169486,1.3364306148618,0.998949042211825,0.000229471408055854,3.44405063995967e-06,1.59501755194978,3.89768082371027e-07,2.93063051425019,0.000306147782502468,3.83381872233069e-06,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"7",7,119804.877294298,1.53569687598939,1.13994843987219,0.000276684515133347,4.76792138816851e-06,2.00557828817802,6.45286774118847e-07,3.68150570176291,0.000384948678379094,5.41320816228736e-06,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"8",8,119804.019299064,1.76069078264854,1.30375942764496,0.00032893449761175,6.31251891546772e-06,2.47471448818337,9.90352946059621e-07,4.53950093584634,0.000474991934842297,7.30287186152734e-06,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"9",9,119803.037559658,2.01703311639539,1.49229008014336,0.000387271688385122,8.09819697892896e-06,3.01152033644209,1.43937076507677e-06,5.52124034223697,0.000578023043265236,9.53756774400573e-06,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"10",10,119801.926470044,2.29934750685477,1.70671046235066,0.000452751818636053,1.01504853461671e-05,3.62580707655481,2.00817920085197e-06,6.63232995624342,0.000695925109576434,1.21586645470191e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"11",11,119800.656542741,2.6239130045641,1.94988431640528,0.000526403911382647,1.24996121447102e-05,4.32791832053096,2.71436247123113e-06,7.90225725938634,0.000830683403701474,1.52139746159414e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"12",12,119799.206015114,2.99539802412688,2.22686952613505,0.00060944272152558,1.51807127936263e-05,5.12988913476225,3.57754327692001e-06,9.35278488600177,0.000984607842936505,1.87582560705463e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"13",13,119797.549591252,3.41991708832676,2.5428564086602,0.00070329305891369,1.82348025798847e-05,6.04570910329432,4.61971856772101e-06,11.0092087478613,0.0011603834818658,2.28545211476057e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"14",14,119795.658209506,3.90476737497593,2.90353473957117,0.000809588553067968,2.17096786462462e-05,7.09145121510728,5.86565606984046e-06,12.9005904935422,0.0013610952473897,2.75753347160867e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"15",15,119793.498616556,4.45840907184324,3.31530336063931,0.000930189843183882,2.56608226859259e-05,8.28550781733746,7.34334639138739e-06,15.0601834438323,0.00159027322473015,3.30041690773133e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"16",16,119791.032812824,5.09055615657195,3.78542884780961,0.00106721293622219,3.0152398133537e-05,9.64889572148747,9.08451589064153e-06,17.5259871757193,0.00185195121670576,3.92369140241785e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"17",17,119788.12007987,5.89372339721354,4.3362378528605,0.00122341319855201,3.52589078964499e-05,11.2074890828106,1.11251988859901e-05,20.43872013019,0.00215109533420081,4.63841067824401e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"18",18,119784.776747051,6.79976075092714,4.98429785821907,0.00140290841394015,4.10715566148863e-05,12.9965368533535,1.35065771760626e-05,23.7820529490474,0.00249447108975912,5.45781337909489e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"19",19,119780.931099713,7.83548266459916,5.73610480022233,0.00160989429332133,4.77015617279069e-05,15.0544389498439,1.62761597994544e-05,27.6277002866803,0.00288944872386856,6.39777215273614e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"20",20,119776.504444409,9.02504794496925,6.60404994217285,0.00184875234544648,5.52791828660081e-05,17.4233341828176,1.94890026799194e-05,32.0543555904907,0.00334411605636503,7.47681855459275e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"21",21,119771.40775529,10.3935494649958,7.60438227249126,0.00212435148614487,6.39547172249475e-05,20.150901456932,2.32089193024566e-05,37.1510447095417,0.00386762421669295,8.7163636527404e-05,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"22",22,119765.539175924,11.9687839808567,8.75659616423806,0.00244223237563968,7.39008279997537e-05,23.291700287442,2.75098002772494e-05,43.0196240755407,0.00447044494117974,0.000101410628277003,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"23",23,119758.781682263,13.7823087489957,10.0834580794099,0.0028087532547052,8.53157661067409e-05,26.9084243620221,3.24771299324629e-05,49.7771177365785,0.00516461117548927,0.000117792896039204,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"24",24,119750.740122584,16.0882798866809,11.6488428966398,0.00323215860946517,9.84285675705483e-05,31.0781858361275,3.8209667592341e-05,57.8186774162929,0.00596492331272295,0.000136638235162889,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"25",25,119741.432009292,18.7151062427369,13.5027927865435,0.00372457124385334,0.00011351694735897,35.9050087689053,4.48218514428767e-05,67.1267907082284,0.00689134721989027,0.000158338798801847,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"26",26,119730.635897981,21.744627109235,15.6698764449259,0.00429865076833336,0.000130918021318431,41.5039164484455,5.24474285724291e-05,77.9229020188247,0.00796595976615055,0.00018336544989086,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"27",27,119718.105432411,25.2535960713205,18.1916936382621,0.00496792320821995,0.000151027166377783,48.0028976860166,6.12429853105647e-05,90.4533675889591,0.0092133262419869,0.000212270151688348,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"28",28,119703.559010855,29.3237537250256,21.1217279773647,0.00574764861258835,0.000174302728705807,55.5483140995809,7.13917531617109e-05,104.999789145066,0.0106615382499387,0.000245694481867519,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"29",29,119686.671668183,34.0469415651234,24.5241060416016,0.00665538205868161,0.000201274522547774,64.309144446116,8.31077921683176e-05,121.887131817214,0.0123430283530034,0.000284382314716092,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"30",30,119667.06694455,39.5285045229367,28.4740551084439,0.00771146531800907,0.0002325552646396,74.4812551575362,9.66409564214648e-05,141.491855450456,0.0142953897392304,0.000329196221061065,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"31",31,119645.292374805,45.0672848979871,32.9173683979028,0.00893593955205959,0.000268846670088595,86.2724548316636,0.000112281722748307,163.266425195498,0.0165585074087976,0.000381128392836902,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"32",32,119620.193304146,51.6072251980926,37.8809019207023,0.0103421979346331,0.000310906453063624,99.8665852640262,0.000130366929641582,188.365495854138,0.0191676655887372,0.000441273382705206,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"33",33,119591.344057658,59.1849629221605,43.5219043961477,0.0119508082737208,0.000359544935410635,115.495413388943,0.000151282016485238,217.214742342477,0.0221673473116383,0.000510826951895874,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"34",34,119558.219264734,67.9077312966417,49.9722829359846,0.0137897250615945,0.000415671954349421,133.445140170255,0.000175465972597447,250.33953526587,0.0256124836005318,0.000591137926946868,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"35",35,119520.202069248,77.9244576593886,57.3635870316075,0.0158926648165108,0.000480329601868117,154.052109647618,0.000203418641270182,288.356730751674,0.0295676296792768,0.0006837482431383,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"36",36,119476.580212084,89.4159236156662,65.8384417494748,0.0182988568968272,0.000554717904048164,177.705133266067,0.00023570980101767,331.978587915809,0.0341074109981438,0.000790427705065834,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"37",37,119426.53629263,102.592778630883,75.5567330088655,0.0210533991755884,0.000640219553278277,204.851029121458,0.000272989805769017,382.02250736974,0.0393175863565342,0.000913209359047295,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"38",38,119369.134525008,117.69705205867,86.699815977332,0.024207926390618,0.000738426402832601,236.002144600908,0.000316001863819318,439.424274991567,0.0452964917236564,0.00105442826665192,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"39",39,119303.305208169,135.005180611922,99.4741520020531,0.0278214518148568,0.000851168626454271,271.745221000436,0.000365595864543055,505.253591830717,0.0521567416348033,0.00121676449099733,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"40",40,119227.826503291,154.832078355584,114.114982044535,0.0319613827732128,0.000980548387634014,312.751871633614,0.000422744487234502,580.732296709381,0.0600272402705831,0.00140329287486852,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"41",41,119141.304146843,177.53578694112,130.89018212766,0.0367046644687058,0.00112897757587593,359.790361884522,0.000488561321722523,667.254653156668,0.0690554424206748,0.00161753889759845,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"42",42,119042.14946299,203.522465395041,150.104350281709,0.042139028092724,0.0012992192988449,413.738518765289,0.000564320858226997,766.409337010289,0.0794098312341621,0.0018635401570719,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"43",43,118928.552245271,233.252427628514,172.103762280022,0.0483645405768915,0.00149443992998303,475.599854356576,0.000651483681846523,880.0065547293,0.0912830128134825,0.00214592361182955,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"44",44,118798.454802476,267.245784825619,197.280938454285,0.055495103441956,0.00171826028242195,546.519309159235,0.00075172143821979,1010.1039975243,0.104894737854791,0.00246998172064174,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"45",45,118649.520485343,306.088955766707,226.080212077784,0.0636602819923112,0.00197481907147587,627.802644763146,0.000866948014059939,1159.03831465671,0.120495623703027,0.00284176708553581,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"46",46,118479.100497689,350.441055989477,259.003559856746,0.0730072511717848,0.00226884234415706,720.937411017222,0.000999354027094993,1329.45830231099,0.138371178596826,0.00326819637125206,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"47",47,118284.198126591,401.040594735418,296.616415425341,0.0837029345558559,0.00260572076338156,827.616203146839,0.00115144577988755,1524.3606734087,0.158846265421238,0.00375716654326912,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"48",48,118061.430665192,458.711812746363,339.553762009098,0.0959363145442446,0.00299159595437464,949.762306052652,0.00132608949965434,1747.12813480811,0.182290023624824,0.00431768545402898,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"49",49,117806.989940258,524.369971711376,388.526469239164,0.109920864765693,0.00343345622826093,1089.55753790908,0.00152656119520789,2001.5688597418,0.209121213235069,0.00496001742346882,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"50",50,117516.601569338,599.026167952984,444.326885700433,0.125897152451895,0.00393924144654005,1249.47258401164,0.00175660277176613,2291.95723066172,0.239814036818018,0.00569584421830618,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"51",51,117185.484832604,683.790130431064,507.833750713373,0.144135501102862,0.00451795776614377,1432.29941230789,0.00202048522635267,2623.07396739642,0.274904360952791,0.00653844299249644,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"52",52,116808.314747837,779.870043681632,580.016406793916,0.164938621238667,0.00517980114043497,1641.18516018624,0.00232307880038354,3000.24405216297,0.314996220055037,0.00750287994081851,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"53",53,116379.18802951,888.569108047127,661.936711769319,0.188644196933703,0.00593629024497418,1879.66770025486,0.00266993202902876,3429.37077049052,0.360768642413762,0.00860622227400294,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
"54",54,115891.597119613,1011.27691252135,754.748586442183,0.215627160134409,0.00680040341928505,2151.71068650269,0.00306735739646316,3916.96168038717,0.412982376449373,0.00986776081574821,"Malawi","Mzimba","TA Mtwalo",199,119809.5588,"Pediatrics",216647.09763,79
