"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,2409.510478,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"2",2,2394.26791201139,13.090964243052,2.59469874880112,0.0585545042948657,0.000820264908432543,0.497518743795603,9.48375537616724e-06,15.2425659886074,0.0616005997993815,0.000836187633822696,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"3",3,2328.0314318854,66.5885808474438,12.8716323772847,0.311786332030374,0.00589249864718811,2.70104454344101,0.000109515751506287,81.4790461145985,0.333921558680621,0.00607636982141862,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"4",4,2028.26162881428,305.24166020148,61.8917894232215,1.55273944774968,0.0315771869713533,13.530398397851,0.00068452844464538,381.248849185718,1.67195666856282,0.0327264741485856,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"5",5,1115.24337726255,983.970612410462,243.69429467442,6.90302724153692,0.151762534587163,60.5438404374837,0.00356343895495562,1294.26710073744,7.47766792605219,0.157745360764536,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"6",6,186.342844536399,1419.89943470654,579.650552531521,22.5608832928326,0.600344643926569,201.440436680608,0.0159816081700188,2223.1676334636,24.8455867784161,0.627176921657363,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"7",7,8.34726554489269,1103.1242089102,801.884346273144,48.3405301725338,1.73041428180687,447.026892458274,0.0568203591489999,2401.16321245511,54.9916686738702,1.82581266983077,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"8",8,0.218385442865279,757.027093251438,836.380676342781,75.9190215150724,3.70274410479751,737.107173776266,0.155383566778254,2409.29209255713,90.3578622390322,3.96362492318831,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"9",9,0.00634258738110824,515.477036135484,767.578773485886,99.2612335362921,6.41235020678554,1021.43304991891,0.341692129260195,2409.50413541262,124.710216171082,6.98603328130464,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"10",10,0.000277215546874724,350.896195536862,657.459963179123,116.115192290287,9.62775069426121,1275.77202473421,0.639074349713349,2409.51020078445,155.096184624511,10.7007228419769,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"11",11,2.01519646978015e-05,238.859564453865,539.410259491484,126.346148365442,13.0962635584197,1491.73660309923,1.06161887959195,2409.51045784803,180.546706789751,14.8786656995824,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"12",12,2.42395894143177e-06,162.59464915526,429.719739593646,130.789788975017,16.5946802852273,1669.19715746975,1.61446009713685,2409.51047557604,201.115760112992,19.3052736905222,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"13",13,4.63196888044801e-07,110.680233452169,335.084735185727,130.620207373201,19.9480407443893,1811.88196562871,2.29529515260663,2409.5104775368,217.326002026733,23.8017203211683,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"14",14,1.18923159593026e-07,75.3414268206581,257.073759985324,127.025431917829,23.0318802041479,1924.94172218498,3.09625676813797,2409.51047788107,229.863938812631,28.2303321149127,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"15",15,4.71408653112871e-08,51.2858416178947,194.718661820713,121.058483143562,25.7667718577848,2013.67501356182,4.00570595108465,2409.51047795286,239.42206645775,32.4921410098725,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"16",16,2.74080738432347e-08,34.9108939552522,145.974711567247,113.584446264517,28.1100291411284,2082.92063891565,5.00975812879573,2409.51047797259,246.625050091347,36.5211489762477,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"17",17,1.52479858273271e-08,23.7642788807128,108.506899055958,105.277210752524,30.0470837170899,2136.82151691548,6.09348866298249,2409.51047798475,252.002428048358,40.2777299959367,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"18",18,1.02386305834228e-08,16.1766371887783,80.0837808661269,96.6393500951896,31.5837141278025,2178.78516406562,7.24183164623744,2409.51047798976,255.985679029562,43.7423677466559,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"19",19,7.94852292850735e-09,11.0116305007945,58.7492807440642,88.0304449308522,32.7395807790107,2211.53932847395,8.44021256337896,2409.51047799205,258.916863676694,46.9102527913789,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"20",20,6.36457185924484e-09,7.49575094053283,42.8743429105557,79.696230590872,33.5431227027301,2237.22606490271,9.674965946233,2409.51047799363,261.061736283083,49.7868805613606,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"21",21,5.39194833684438e-09,5.1024488604351,31.1475743458144,71.7949910376025,34.0276926842629,2257.50418435667,10.9335867098227,2409.51047799461,262.623596833414,52.3846084633671,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"22",22,4.80342001809353e-09,3.47329854143933,22.5384239628587,64.4198457465469,34.2287370037471,2273.64531508965,12.2048576509557,2409.51047799519,263.756083941363,54.7200496846325,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"23",23,4.41640611221528e-09,2.36431636867523,16.2515358388504,57.6167156538568,34.1818145487837,2286.61720736813,13.4788882172852,2409.51047799558,264.574161863369,56.8121573966959,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"24",24,4.15636439379799e-09,1.60941895377592,11.6816278017737,51.3983411587856,33.9212658812302,2297.15273203128,14.7470921689981,2409.51047799584,265.163153503896,58.6808563173476,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"25",25,3.97921085482062e-09,1.0955510558822,8.37319382397162,45.7549406255786,33.4793708381978,2305.80529639695,16.0021252554397,2409.51047799602,265.585949016832,60.3460956739628,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"26",26,3.85704416602632e-09,0.745754898522984,5.98656490643295,40.6621320239417,32.8858640938977,2312.99236352416,17.2377985491904,2409.51047799614,265.88863265637,61.8272192578322,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"27",27,3.77209701116651e-09,0.507644385034767,4.27037616503215,36.0866982829104,32.1677058451861,2319.02907454392,18.4489787741412,2409.51047799623,266.104803169,63.1425687657989,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"28",28,3.71270688905427e-09,0.345559681485233,3.03980511895278,31.9906949227518,31.3490290273929,2324.15390565024,19.6314835954629,2409.51047799629,266.25884872091,64.3092552134641,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"29",29,3.67103948582549e-09,0.23522660189402,2.15970437588107,28.3343077104169,30.4512043459659,2328.54805766894,20.781977293228,2409.51047799633,266.368403379254,65.3430488083427,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"30",30,3.64174477695286e-09,0.160121539817009,1.53172215677674,25.0777841236453,29.4929800946555,2332.34999972223,21.8978703592302,2409.51047799636,266.446173832073,66.2583501963987,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"31",31,3.62112590076344e-09,0.108996629265208,1.08458359063036,22.1826899315832,28.4906657844373,2335.66631686308,22.9772251973768,2409.51047799638,266.50128815037,67.0682157668984,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"32",32,3.60660707713955e-09,0.0741953432247446,0.766825860932911,19.6126818326267,27.4583378517584,2338.57976798316,24.0186691246873,2409.51047799639,266.540285690268,67.7844172939185,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"33",33,3.5963838274182e-09,0.0505056405035953,0.541412873890244,17.3339387448423,26.408052532807,2341.15525300296,25.0213152014035,2409.5104779964,266.567839636271,68.4175218885435,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"34",34,3.5891876442778e-09,0.0343797995248941,0.381769272673096,15.3153572397988,25.3500559921794,2343.44422473394,25.9846909582901,2409.51047799641,266.587281986428,68.9769824644274,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"35",35,3.58412491524855e-09,0.0234027365088163,0.268875978561655,13.5285883275467,24.2929853495245,2345.48795081176,26.9086747925127,2409.51047799641,266.600983633467,69.4712319764698,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"36",36,3.58056548084446e-09,0.0159305270596698,0.189154258877354,11.9479705014392,23.2440568940003,2347.31992619775,27.7934396172898,2409.51047799642,266.610628398112,69.9077770260083,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"37",37,3.57806478578198e-09,0.0108440996550041,0.132930379546237,10.5503985781576,22.2092394929208,2348.96766220152,28.6394032446202,2409.51047799642,266.617410102809,70.2932879646801,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"38",38,3.57630925867584e-09,0.00738169836203589,0.0933263803653361,9.31515560845149,21.1934124505585,2350.45401692218,29.447184936505,2409.51047799642,266.622173797952,70.6336838050164,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"39",39,3.57507780809908e-09,0.00502479487804895,0.0654608779857193,8.22372688176294,20.2005078681026,2351.79819003219,30.2175675415088,2409.51047799642,266.625516782887,70.9342110096828,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"40",40,3.57421466080569e-09,0.00342044796152491,0.0458755435241602,7.25960863193298,19.2336380650347,2353.01647065326,30.9514646547078,2409.51047799642,266.627860632876,71.1995157761382,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"41",41,3.57361012027844e-09,0.00232834156177789,0.0321235369000195,6.40811988480522,18.2952089636289,2354.12280502046,31.6498922490727,2409.51047799642,266.629502581781,71.4337097917229,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"42",42,3.57318701917897e-09,0.00158493760402545,0.0224764646649835,5.65622232165325,17.3870204723026,2355.12922951339,32.3139442868078,2409.51047799642,266.630651901446,71.640429669733,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"43",43,3.57289111260111e-09,0.00107888382163528,0.0157149412396427,4.99235153632545,16.5103549623495,2356.04620582874,32.9447718439552,2409.51047799642,266.63145578851,71.8228903774637,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"44",44,3.57268430631723e-09,0.000734413578753474,0.010979813042191,4.4062609636431,15.6660549984185,2356.88288248558,33.5435653221617,2409.51047799642,266.632017657117,71.9839331011834,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"45",45,3.57253986602473e-09,0.000499923516373805,0.00766637028974953,3.88887917947116,14.8545913848267,2357.64730176727,34.111539371056,2409.51047799642,266.6324101039,72.1260679779115,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
"46",46,3.57243904710852e-09,0.000340303796582962,0.00534945808952224,3.43218036727104,14.0761225668763,2358.34656512015,34.649920180242,2409.51047799642,266.63268404003,72.2515121606632,"Malawi","Kasungu","TA Mwase",204,2410.510478,"Elderly",27002.80998,169
