"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,2784.956059,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"2",2,2574.65235550263,190.629468698744,18.6856253300094,0.226488705999177,0.00220892705572452,1.75989251237372,0.0000193231895400027,210.303703497372,0.233891835869425,0.00224135611957178,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"3",3,354.151392454956,2027.25978069532,352.314217739426,5.90002447728518,0.0722499219574971,46.2575843280953,0.00080938295892994,2430.80466654505,6.14315029963769,0.0736082655993524,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"4",4,0.0227607613759041,1635.7794589395,853.456533012978,32.4587937554799,0.717043378698857,263.509000421248,0.0124687307211545,2784.93329823862,34.8962824324684,0.737968975056207,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"5",5,0.00000000232933380332605,1113.51135116777,1009.23143931331,69.2348723881542,2.53904248824674,591.370243885708,0.0691097544842697,2784.95605899767,78.0043399140092,2.65502565117124,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"6",6,-0.000000000269939099770998,757.981287286829,978.526793514703,103.787897065264,5.58332385440219,939.859880488914,0.216876790160993,2784.95605900027,123.431633080236,5.94729644084092,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"7",7,-0.000000281634182407365,515.967116185764,864.544696903465,130.901135912186,9.58143054664962,1264.46483547643,0.496844257141668,2784.95605928163,165.302408613434,10.4152573899685,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"8",8,-0.000000154403932429143,351.225628694397,723.592204542616,149.255265144074,14.169951962368,1546.77516256438,0.937846246567242,2784.9560591544,201.256841728846,15.743888591509,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"9",9,-0.000000248512757067323,239.084039418148,584.512810518229,159.431052894894,18.9988112056022,1782.37413122607,1.5552139855706,2784.95605924851,230.804391382198,21.6088427187651,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"10",10,0.000000611490962226674,162.747571799553,460.480204637684,162.795616479475,23.7774691709171,1973.80292562966,2.35227067122092,2784.95605838851,254.370954345204,27.7251578081967,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"11",11,0.00000000415775791161441,110.784323728477,356.063910595751,160.909998493089,28.2879991166072,2126.5869648096,3.32286225232068,2784.95605899584,272.763654830885,33.8645791068357,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"12",12,0.0000000279977766510449,75.4121991804563,271.38190184519,155.238505310183,32.3817245290759,2247.08769418567,4.45403392143152,2784.956058972,286.88391427773,39.8566887484645,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"13",13,-0.000000676264024298517,51.3340792654183,204.47674056249,147.027177767639,35.968856949049,2341.42077801747,5.72842711420156,2784.95605967626,297.584983126745,45.5825663341516,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
"14",14,-0.0000000490827256573031,34.9437403272799,152.629755953963,137.27253989306,39.0061381441792,2414.97763948742,7.12624524318031,2784.95605904908,305.610768472896,50.9657300895949,"Malawi","Machinga","TA Chamba",42,2785.956059,1,"Elderly",29964.686724
