"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,2094.458749,0,1,0,0,0,0,0,0,0,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"2",2,1055.75465002222,953.007950040914,80.1712889226743,0.149381923384954,0.000541992658010194,6.37493484220133,0.00000125594956610752,1038.70409897778,0.15307392714273,0.000548277540180948,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"3",3,0.00237397535647946,1419.32091066701,545.73853915564,2.90698129137023,0.022142200167654,127.467711400675,0.0000903097874981838,2094.45637502464,3.05912607850378,0.0225941182928786,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"4",4,-0.000000124889646492148,966.151115025069,743.087118770883,8.22424973672899,0.119825242893615,377.875560626403,0.000879722913910501,2094.45874912489,9.06077538765309,0.124227453783321,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"5",5,0.0000000316503484584143,657.671349171908,758.778319636047,13.7159928924397,0.311328143522741,664.978280866425,0.00347825800834148,2094.45874896835,15.9296270325526,0.328733652734116,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"6",6,0.0000000282572441029067,447.685393591486,688.695707134721,18.274420352191,0.582539551928152,940.211698491689,0.00898984972990449,2094.45874897174,22.500066167304,0.627525551215003,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"7",7,0.00000131915528848976,304.745417383943,586.012652654551,21.5347501983978,0.907736772025864,1182.23993601858,0.0182546533453772,2094.45874768084,28.2624092098635,0.999084664042916,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"8",8,0.0000000379740880584505,207.444044928917,478.692134270341,23.5073959725795,1.26001097116146,1384.52338592456,0.0317768944686262,2094.45874896203,33.0628611027947,1.41902534791446,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"9",9,-0.000000016955081253032,141.209866842581,380.162970696241,24.3700343773502,1.61601931593854,1548.050113804,0.049743980851404,2094.45874901696,36.9282270586414,1.86494257431764,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
"10",10,-0.0000000255735872582839,96.1235110025259,295.75204976011,24.3548367475435,1.95764446775327,1677.19862331382,0.0720837338265462,2094.45874902557,39.9662472872161,2.31835781624535,"Malawi","Nkhata Bay","TA Malenga",181,2095.458749,1,"Adults",6511.7651043
