"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,20875.37645,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"2",2,19333.1330645851,1436.55122714825,99.4091454639801,0.176749946545027,0.000585805545932935,7.1056756959049,0.00000135469027437272,1542.24338541492,0.18088794135788,0.000592414463220069,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"3",3,75.2285272342978,16622.2744741592,3645.0269938014,12.799786046198,0.0647758894378733,520.98169088774,0.000201981704892653,20800.1479227657,13.2591262472143,0.0657612662479106,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"4",4,0.0000000100326393044809,11367.4642475346,6852.01885263859,61.1595354022909,0.671794444275156,2595.05799452031,0.00402544990077467,20875.3764499899,65.9891697950254,0.691432782234024,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"5",5,0.0000000450026780746606,7737.97654664288,7640.39133119879,120.377216874434,2.21123210186331,5375.39866392118,0.0214592158331772,20875.376449955,136.553851973287,2.31592184915916,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"6",6,-0.000000643810118904242,5267.34061382481,7226.79984815188,173.531757985271,4.64689931168819,8203.99279654124,0.0645348288957057,20875.3764506438,208.189310254501,4.96173537006955,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"7",7,0.0000000262053754840673,3585.54288069369,6298.42795635767,213.994410148216,7.75059373812372,10770.5172267673,0.143382268749653,20875.3764499737,273.018004466363,8.45009056963886,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"8",8,0.00000036543818025733,2440.72856589758,5226.1519391544,240.512015408398,11.24539145737,12957.4737476507,0.264790066065002,20875.3764496345,328.083801652735,12.5371816755353,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"9",9,-0.00000020913516544172,1661.4355703398,4196.51802271092,254.388381745047,14.8747757246441,14748.7276163348,0.432083353872573,20875.3764502091,373.012057876866,16.9827137536623,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"10",10,0.0000000035275501170489,1130.96133344191,3291.60549159072,257.924804028641,18.430766616805,16176.8084583816,0.645595936808445,20875.3764499964,408.662710225699,21.5803353617733,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"11",11,-0.00000111549055460233,769.859156645622,2536.73688688951,253.602263712634,21.7602811413344,17293.5145134634,0.90334926299914,20875.3764511154,436.380038610539,26.1673110532597,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"12",12,-0.00000000539437962494265,524.053239853938,1928.34678822599,243.689586913196,24.7610587674767,18154.3240397077,1.20173653704968,20875.3764500053,457.595675976164,30.6237843841981,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"13",13,-0.00000000877322373600272,356.7292728607,1449.85347849402,230.088750899642,27.373279435604,18810.795545453,1.53612286577919,20875.3764500087,473.635817720484,34.8673237606147,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"14",14,-0.00000026632962254658,242.829951789534,1080.32931067807,214.304773224849,29.5702580064242,19307.4408277317,1.90132883571738,20875.3764502663,485.642590483972,38.8459760422074,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"15",15,0.0000000110519908500434,165.297603379258,798.969372455531,197.476215579134,31.3497530328227,19680.9915070941,2.29199844812425,20875.3764499889,494.556385997844,42.5313703016902,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"16",16,0.00000000207132029875807,112.520075122468,587.145343201156,180.430126475909,32.7265899925874,19960.8514517231,2.70286348274796,20875.3764499979,501.128285885519,45.9126307679726,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"17",17,-0.00000000176308171035592,76.5936787979833,429.136170197345,163.742169033308,33.7267577572501,20170.0487516048,3.12892261106005,20875.3764500017,505.945057027212,48.9913471069556,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"18",18,-0.00000000119305848669135,52.1384067776574,312.171538198082,147.792819527045,34.3828715387438,20326.3252598926,3.56555406711369,20875.3764500011,509.457498375055,51.7775870380267,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"19",19,-0.000000000530629897070671,35.4912680768112,226.149521152865,132.815732329581,34.730816997635,20443.1805334774,4.00857796628801,20875.3764500005,512.007488705553,54.286844467082,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"20",20,-0.000000000192678203124131,24.1593573605496,163.234849314772,118.937063600937,34.807368820251,20530.7835289972,4.45428190650766,20875.3764500001,513.851548552063,56.5377829603526,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"21",21,-0.000000000103320917261205,16.4455821081032,117.441218660177,106.206574195269,34.6485526053256,20596.7351011922,4.8994212390409,20875.37645,515.180510173322,58.5505989521502,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"22",22,-0.0000000000748767843922613,11.1947171823135,84.2493628827675,94.6214120594565,34.2885837179572,20646.6811720264,5.3412021312178,20875.37645,516.135310720374,60.3458779695366,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"23",23,-0.0000000000470419987465134,7.62037615421466,60.2804945307504,84.1439285954795,33.7592280086464,20684.7951688108,5.77725390018524,20875.37645,516.819400475278,61.943820380343,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"24",24,-0.000000000038851422568104,5.18728423262429,43.0287877158778,74.7147352032756,33.0894673157407,20714.1505803197,6.20559521281643,20875.37645,517.308311152212,63.3637420003578,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"25",25,-0.0000000000336369763688737,3.53104804073888,30.6483234085067,66.262087509591,32.3053775183766,20737.0050160643,6.62459745852998,20875.37645,517.656940205264,64.6237734589218,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"26",26,-0.0000000000301843688201554,2.40362607396093,21.7871604698659,58.7084676777287,31.4301516119628,20755.0140966268,7.03294753972206,20875.37645,517.905026348948,65.740701745866,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"27",27,-0.0000000000280073343311591,1.63617719131401,15.4600857156918,51.9750892083619,30.4842162733846,20769.3912700042,7.42961160710323,20875.37645,518.081232791302,66.7299098579294,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"28",28,-0.0000000000265617914816303,1.11376580015032,10.9522406945271,45.9848780428912,29.4854053807309,20781.0263593938,7.81380068795003,20875.37645,518.206169098786,67.6053826343692,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"29",29,-0.0000000000255833689881173,0.758153739011445,7.74692170273852,40.6643518612801,28.4491646475992,20790.5729192925,8.18493875687363,20875.37645,518.294611822276,68.3797556230778,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"30",30,-0.0000000000249136596526219,0.51608436486919,5.47191806121119,35.9447194188146,27.3887691972901,20798.5123254299,8.54263352789481,20875.37645,518.357128279186,69.0643901626045,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"31",31,-0.0000000000244515097095512,0.351304912523869,3.85991876908194,31.7624363164056,26.3155419643138,20805.2005979879,8.88665004976055,20875.37645,518.401258072452,69.6694629672298,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"32",32,-0.0000000000241308597600702,0.239137490877612,2.71946980674349,28.0593906018897,25.2390650520939,20810.902499988,9.21688706044299,20875.37645,518.432369262992,70.2040621290308,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"33",33,-0.0000000000239075986249526,0.162783758411011,1.91378530570043,24.7828434267559,24.1673792087142,20815.8163023231,9.53335597730138,20875.37645,518.454276416608,70.6762840961906,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"34",34,-0.0000000000237518010819939,0.110808881733774,1.3453558358014,21.8852143560383,23.1071687153817,20820.0917398598,9.83616235128694,20875.37645,518.46968537827,71.0933280849679,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"35",35,-0.000000000023642938411739,0.0754289598756198,0.94481131867113,19.3237742122538,22.063930463156,20823.843015457,10.1254895890684,20875.37645,518.48051241874,71.4615857440846,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"36",36,-0.0000000000235668202166785,0.0513455899117843,0.662893745188295,17.0602889060905,21.04212697614,20827.158210044,10.4015847387289,20875.37645,518.488112553768,71.7867248328025,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"37",37,-0.0000000000235135830256081,0.0349515455225073,0.46468296354665,15.0606440926178,20.0453237830524,20830.1061014815,10.6647461337469,20875.37645,518.493442686536,72.0737663131005,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"38",38,-0.0000000000234763505847377,0.0237919404249562,0.325466205546049,13.2944696727184,19.076311933129,20832.7410975458,10.9153127023543,20875.37645,518.497177579153,72.3271547108012,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"39",39,-0.0000000000234503176951915,0.0161954712803987,0.227777940351148,11.7347773190251,18.1372166670971,20835.1068278466,11.1536547556337,20875.37645,518.49979253252,72.5508218458644,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"40",40,-0.0000000000234321221637907,0.0110244560960881,0.159291437387482,10.3576179593577,17.2295933907422,20837.2387566711,11.3801660852899,20875.37645,518.501621961794,72.7482442545754,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"41",41,-0.0000000000234194101906996,0.00750448595364219,0.111317998240397,9.14176352896593,16.3545120979342,20839.166094673,11.5952572159215,20875.37645,518.50290090185,72.9224946934791,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"42",42,-0.0000000000234105335778198,0.00510839651368234,0.077740307185244,8.06841476017844,15.5126313840538,20840.9132054811,11.7993496709541,20875.37645,518.503794381413,73.0762881789007,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"43",43,-0.0000000000234043383578392,0.00347734981930775,0.0542562306057984,7.12093521835874,14.704263136991,20842.5006469383,11.9928711259358,20875.37645,518.504418164876,73.2120230330817,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"44",44,-0.0000000000234000168462224,0.00236708077938004,0.0378433612200909,6.28461087901621,13.9294289176513,20843.9459484248,12.1762513365534,20875.37645,518.504853386469,73.3318173993279,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"45",45,-0.0000000000233970039197199,0.00161130482377531,0.0263802175230566,5.54643386321808,13.1879089805733,20845.2641968942,12.3499187396398,20875.37645,518.505156867361,73.437541680491,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"46",46,-0.0000000000233949044294341,0.0010968414823317,0.0183792701226023,4.89490880264874,12.4792847493064,20846.4684826948,12.5142976416901,20875.37645,518.505368364328,73.5308472983942,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"47",47,-0.0000000000233934421717034,0.000746635465829168,0.0127981923456564,4.319879843624,11.8029755717982,20847.5702438454,12.6698059114194,20875.37645,518.505515679422,73.6131921922618,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"48",48,-0.0000000000233924242458333,0.000508246543333633,0.00890739997993864,3.81237665602975,11.1582703871826,20848.5795341976,12.816853112651,20875.37645,518.505618235758,73.6858633767165,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"49",49,-0.0000000000233917159661641,0.000345970618760802,0.00619645789331236,3.36447744353109,10.5443549813333,20849.5052361351,12.9558390115252,20875.37645,518.505689597776,73.7499969146843,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"50",50,-0.0000000000233912234109136,0.000235520109152055,0.00430874954997778,2.9691875598241,9.96033529753282,20850.3552304611,13.0871524118907,20875.37645,518.505739225979,73.8065955464686,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
"51",51,-0.0000000000233908809731536,0.000160324583726786,0.00299474604382059,2.62033131508673,9.40525749531135,20851.1365358635,13.2111702554396,20875.37645,518.505773729468,73.8565443585578,"Malawi","Kasungu","TA Kaomba",147,20876.37645,1,"Adults",57557.308794
