"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start"
"1",1,27001.80999,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"2",2,27001.632224933,0.145951156985476,0.708591663421591,0.00871863258462604,9.4695911998152e-05,0.3144077039724,1.21410870640835e-06,0.177765066984798,0.00930826447573157,9.67592743552534e-05,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"3",3,27001.5016197125,0.206838523478915,0.540834547984024,0.0141048150995681,0.000320607233022073,0.546263236923378,8.55682860537984e-06,0.308370287547513,0.0161471496265542,0.000335149454774802,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"4",4,27001.3988994513,0.225497336945886,0.438122479280382,0.0174925465436404,0.000618262625541224,0.729334257882958,2.56654646623127e-05,0.411090548743071,0.0215259170425387,0.000661880757412129,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"5",5,27001.3138438544,0.223728865079403,0.370291682817552,0.0196164800338782,0.000951654652288388,0.881502999301973,5.44637615042782e-05,0.496146145646598,0.0259797205888231,0.00104421512460929,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"6",6,27001.2409024492,0.212575876494811,0.321757812239756,0.0208966374531631,0.00129807875671489,1.01246332804007,9.58178071473191e-05,0.569087550791666,0.0297991945705873,0.00146091990542277,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"7",7,27001.1769435573,0.19758925741789,0.284407533370737,0.0215854374509631,0.00164270296678117,1.12767159598296,0.000149915491480041,0.633046442680806,0.0331483203831223,0.00189748244429711,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"8",8,27001.1201009557,0.181518696974732,0.253964151214235,0.0218437668082214,0.00197560432734644,1.23037032874189,0.000216496211546053,0.689889044277968,0.0361248173874839,0.00234353689467039,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"9",9,27001.0691813747,0.165687989856818,0.228127501390098,0.0217806932705154,0.00229009359325295,1.32262734945217,0.000294997723063868,0.740808625285916,0.0387911675987138,0.00279143848435522,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"10",10,27001.0233582392,0.150699646710305,0.205618746024607,0.0214745305108481,0.0025817214669398,1.40587246078097,0.000384655331264821,0.786631760824932,0.0411906521111149,0.00323543832672424,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"11",11,27000.9820131657,0.13679389368126,0.185691680004151,0.0209841995969981,0.0028476569936808,1.48117483200711,0.000484571999266474,0.827976834282461,0.0433556506951937,0.00367118096423993,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"12",12,27000.9446527722,0.124032060697086,0.167881272577957,0.0203555757687283,0.00308627349361556,1.54938827545102,0.000593769768199768,0.865337227756606,0.0453119978508281,0.00409537768834009,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"13",13,27000.9108643704,0.112389764909996,0.151874229761694,0.019625190152181,0.00329685608677913,1.61122836028948,0.000711228440242435,0.899125629640371,0.0470813028516456,0.00450557980579231,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"14",14,27000.8802917981,0.101803899879887,0.137442230813884,0.0188225053132627,0.00347938623485906,1.6673142648894,0.000835914821944796,0.929698201953237,0.0486822151922864,0.0049000128791127,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"15",15,27000.8526214726,0.0921964628438501,0.12440668932295,0.0179714314398336,0.00363437458565857,1.71819276405753,0.000966805195534887,0.957368527445353,0.0501311548782648,0.00527744776072713,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"16",16,27000.8275742277,0.0834862921025796,0.112620337186254,0.0170913617816374,0.00376273147423064,1.76435214699549,0.00110290280654372,0.98241577234673,0.0514427398331991,0.00563710081410292,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"17",17,27000.804899369,0.0755942183451087,0.101957209629968,0.0161980391023436,0.00386565587022201,1.80623225841485,0.00124324959966685,1.00509063096216,0.0526300971584903,0.00597854280604074,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"18",18,27000.7843710713,0.0684457817317771,0.0923069803161556,0.0153041351265378,0.00394455542233454,1.84423054059643,0.00138693553095787,1.02561892872419,0.0537050517873058,0.00630163477709078,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"19",19,27000.7657858101,0.0619720783261077,0.083572014173848,0.0144197158549325,0.00400098009178434,1.87870629581686,0.00153310567012338,1.04420418993365,0.0546782609289888,0.00660647374527221,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"20",20,27000.748959176,0.0561100308961344,0.0756644896952584,0.0135527504208638,0.00403656169024353,1.90998602859174,0.0016809627517681,1.061030824046,0.0555593809032854,0.0068933365798236,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"21",21,27000.733724599,0.0508021403507228,0.0685056041643369,0.0127093773905575,0.00405297513565114,1.93836553325792,0.0018297707068556,1.07626540100604,0.0563571339141882,0.0071626472586866,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"22",22,27000.7199313898,0.0459961654021305,0.0620242912294711,0.0118942318000553,0.00405190029471255,1.96411316604966,0.00197885544091408,1.09005861021694,0.057079410621961,0.00741494003355626,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"23",23,27000.7074424935,0.0416445288228825,0.0561559770286342,0.0111107578847457,0.00403499560413082,1.98747364562697,0.00212760151406037,1.10254750648142,0.0577333877428672,0.00765082740885524,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"24",24,27000.6961353456,0.0377045937920601,0.0508430040603698,0.0103612242779381,0.00400387472563696,2.00866649743024,0.002275460083495,1.11385465436974,0.0583254832432919,0.00787099029493367,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"25",25,27000.68589809,0.0341374172375552,0.0460327834192359,0.00964714592997344,0.0039600900972241,2.02789253640048,0.00242193696308808,1.12409191004756,0.0588615543643382,0.008076141266721,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"26",26,27000.6766293684,0.0309077202339477,0.0416776523444212,0.00896935037557202,0.00390512205317982,2.04533419290776,0.00256659368987597,1.13336063160475,0.0593469086338051,0.00826701549625584,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"27",27,27000.6682375415,0.0279835735333344,0.0377345509343882,0.00832807905217023,0.00384037341820975,2.06115683671172,0.00270904486263316,1.14175245851246,0.0597863446795281,0.00844436082374623,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"28",28,27000.6606396997,0.025336079284269,0.0341645314807426,0.00772311344945886,0.00376716188628334,2.07551045872188,0.00284895544399844,1.14935030026663,0.0601842039970117,0.008608925551413,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
"29",29,27000.6537606851,0.022939064453117,0.0309322643894528,0.00715388633075862,0.00368671656277712,2.0885313461625,0.00298603700309476,1.1562293149017,0.060544422186604,0.00876144860001314,"Malawi","Kasungu","TA Mwase","204",27002.80999,93
