"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start"
"1",1,92018.9381,0,1,0,0,0,0,0,0,0,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"2",2,92018.5781972116,0.295863757564416,0.736850482273062,0.0101892277031381,0.000136158873039608,0.316861413147584,1.74880030370418e-06,0.359902788361543,0.0108739216408392,0.000139118279949021,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"3",3,92018.2940571992,0.436013232162539,0.622527701618861,0.0170478491783124,0.000468798644538513,0.56797276894502,1.24502951118397e-05,0.644042800844383,0.0194588149607553,0.000489867653561533,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"4",4,92018.0420877018,0.505458284672924,0.575984560863374,0.0221952733719937,0.000926669307654195,0.791409603472764,3.79065074088073e-05,0.896012298196119,0.0270717433088666,0.000990816586048249,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"5",5,92017.8024225545,0.542858071215483,0.560367741919455,0.0263922388900313,0.00147066457621881,1.00450677485506,8.19540584451221e-05,1.13567744551469,0.0343129311801943,0.00160935131266503,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"6",6,92017.5659834232,0.565795312948047,0.558919701774877,0.030006193935307,0.00207726404544983,1.21517079762728,0.000147306491237261,1.3721165768222,0.0414566674234634,0.00232654342117128,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"7",7,92017.3285972222,0.58226764129949,0.564022095521653,0.0332232240258962,0.00273088039122447,1.42702296582795,0.000235970702735322,1.60950277776895,0.0486290367523365,0.00313020175834379,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"8",8,92017.088320392,0.595914471882008,0.57221213343134,0.0361447426830246,0.0034202694089291,1.64173852513725,0.0003494655075218,1.84977960805008,0.0558887621872136,0.00401165233319481,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"9",9,92016.8442227467,0.608392661101285,0.581917472408922,0.038831698161943,0.00413680267143252,1.86010967258766,0.000488946360204297,2.09387725329145,0.0632639491570001,0.0049642220363856,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"10",10,92016.5958338032,0.620458030366471,0.592425019079454,0.0413249278034197,0.00487359740152803,2.08252933804449,0.00065528417819696,2.34226619687356,0.0707688138625321,0.00598250190050208,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"11",11,92016.3428912474,0.632456670577958,0.603412488339697,0.0436546075203819,0.00562504748657306,2.3092108183062,0.000849120381140981,2.59520875261195,0.0784112829794656,0.0070619712551411,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"12",12,92016.0852268563,0.64454773454117,0.614735979857469,0.0458447144040907,0.00638654687026095,2.54028725968052,0.00107090837536369,2.85287314372888,0.0861964404019214,0.00819879132074857,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"13",13,92015.8227136954,0.6568065162062,0.626331697945887,0.0479152426614605,0.00715430728858488,2.77585759382256,0.00132094674609365,3.11538630467078,0.0941281225844963,0.00938967911410162,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"14",14,92015.5552431312,0.669269285967227,0.638173205524919,0.049883312070953,0.00792522758482695,3.01600643092111,0.001599406786561,3.3828568688556,0.102209613091335,0.0106318233494114,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"15",15,92015.2827135219,0.681955409783341,0.650250332843186,0.0517638744192034,0.00869677601866649,3.26081372679663,0.00190635825255883,3.65538647811358,0.110443984299086,0.011922810330582,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"16",16,92015.0050259888,0.694875425819019,0.662561485024399,0.0535700128361375,0.00946692871544758,3.51035837377707,0.00224178513498493,3.93307401130705,0.118834225164391,0.0132605890915581,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"17",17,92014.7220813677,0.708037028999811,0.675107934493193,0.0553133001159589,0.0102340820466727,3.76472068127763,0.00260560547193278,4.2160186324052,0.127383333319569,0.0146434173038245,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"18",18,92014.4337795308,0.721446243105224,0.687892710451624,0.057003957751475,0.0109970025973264,4.02398287111526,0.00299768428275628,4.50432046930367,0.136094335586567,0.016069833131399,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"19",19,92014.1400189184,0.73510836739982,0.700919694737919,0.0586510628486047,0.0117547644903059,4.28822934470696,0.0034178474585286,4.79808108164214,0.144970302112477,0.0175386160613874,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"20",20,92013.8406962077,0.749028470389606,0.714193158067712,0.0602626649286828,0.012506711278298,4.55754689622875,0.00386589146045719,5.09740379235351,0.154014356391435,0.019048765208002,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"21",21,92013.5357062375,0.763211536606371,0.727717620012473,0.0618459270251706,0.013252411462064,4.83202467453884,0.00434159293635129,5.40239376258127,0.16322967752969,0.0205994711043111,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"22",22,92013.224941934,0.777662576221758,0.741497746077756,0.0634072393239785,0.0139916227061811,5.11175416525823,0.00484471649233028,5.71315806608023,0.172619502495861,0.0221900930696515,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"23",23,92012.9082941553,0.792386657422187,0.755538329254304,0.0649522653235165,0.0147242740934763,5.39682929848112,0.00537502020207524,6.02980584477668,0.182187130828062,0.0238201507870931,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"24",24,92012.5856517285,0.807388928926386,0.76984426412152,0.0664860705014389,0.0154504282787974,5.68734631733737,0.00593226238764134,6.35244827155315,0.191935923509376,0.0254892979320378,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"25",25,92012.256901422,0.822674639624548,0.784420529657925,0.06801320024295,0.0161702579672687,5.98340374428079,0.00651620626364897,6.68119857803714,0.201869303809984,0.0271973065096056,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
