"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,48614.54387,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"2",2,48613.8064185085,0.607724529810181,0.794512300645928,0.00779172039764976,0.0000740760834704992,0.327348540601033,0.000000323956348852437,0.737451491494612,0.0083087331641866,0.0000756781123319334,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"3",3,48613.141677334,0.965678931595092,0.799131129071728,0.0139172169708901,0.000263715449548256,0.623199319513821,0.00000235344302718935,1.40219266604411,0.0157983602959587,0.000275353695462108,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"4",4,48612.4271043861,1.25287665638336,0.901682029308435,0.0198598625203359,0.000547478992381198,0.94179220277549,0.00000738395680813074,2.11676561393681,0.023849555358801,0.000583994133881318,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"5",5,48611.5996647836,1.54336737862256,1.06249468407408,0.0263051759347293,0.000923237890576516,1.31109816140121,0.0000165784417393262,2.9442052163649,0.0331725829398264,0.00100522159683227,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"6",6,48610.6159755622,1.87187343321056,1.27050558317933,0.0336526536390181,0.00139813935841861,1.75043349082411,0.000031137582125641,3.92789443779357,0.0442563316026304,0.00155212092234615,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"7",7,48609.4363125381,2.25925509154152,1.52651561808253,0.0422172376027077,0.00198504557130091,2.27753207858482,0.0000523904756681142,5.10755746185855,0.0575485169076305,0.00224412693946022,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"8",8,48608.017661625,2.72256682677678,1.83692303921872,0.0523122893548193,0.00270153336637511,2.91162282733913,0.0000818588979876945,6.52620837495381,0.0735339927789044,0.003106341969775,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"9",9,48606.3100862327,3.27923966264548,2.2115211475943,0.0642880755763658,0.00356996316100547,3.6750436017285,0.000121316633466592,8.23378376733912,0.0927757123796892,0.0041698981487715,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"10",10,48604.2541820574,3.9490614642755,2.66290432464711,0.0785543862932765,0.00461805802935848,4.59437685625021,0.000172853122629558,10.2896879426181,0.115943452684475,0.00547285125141603,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"11",11,48601.7787096209,4.75539143685032,3.20654201432935,0.0955986838122443,0.00587979977283031,5.70150949765809,0.00023894667050602,12.7651603790933,0.143840558422708,0.00706143879256324,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"12",12,48598.7980222882,5.72616393316248,3.86117367567009,0.11600435257533,0.0073965883619703,7.03478661143134,0.000322550551213316,15.7458477117524,0.177433021915063,0.00899166527324459,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"13",13,48595.2090724762,6.89492525591001,4.64939894710886,0.140471322106505,0.00921867496440766,8.64035612811355,0.000427195586020742,19.3347975237894,0.217883361613454,0.0113312424776138,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"14",14,48590.8878660185,8.30200650495154,5.5984300922553,0.169840231296923,0.0114068993349671,10.5737631412719,0.000557112348531387,23.6560039814592,0.266590784389698,0.0141619311920992,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"15",15,48585.6851931117,9.99591402190791,6.74101748963436,0.205121428613056,0.0140348027977674,12.9018717669539,0.000717378425043015,28.858676888332,0.325239596163197,0.0175823824194052,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"16",16,48579.4215090047,12.0349806902831,8.1165699842078,0.247529744593706,0.0171911814154842,15.7051752995386,0.000914095263224147,35.1223609953019,0.395857391679579,0.0217115650998071,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"17",17,48573.053681318,13.5068962087896,9.60447130108833,0.297988565139398,0.0209805939446618,19.0586974238169,0.00115458925599501,41.4901886820348,0.48032939149236,0.0266902684664239,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"18",18,48565.6002186117,15.4114812618121,11.1637472531881,0.356076072176588,0.025504135502974,22.9853951489599,0.00144751672075804,48.9436513883603,0.579216880076506,0.0326623948557463,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"19",19,48556.9698080324,17.688318111217,12.8969714660518,0.42205068015114,0.0308535727545022,27.534065400806,0.00180273666769667,57.5740619676481,0.693738277032294,0.0397684657067353,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"20",20,48547.0141737643,20.3428299599109,14.8672566227663,0.496849397857312,0.0371264472057897,32.7834025161799,0.00223129185724878,67.5296962357774,0.825870040662297,0.0481606311822979,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"21",21,48535.545466303,23.4113244274372,17.1250879744456,0.581794654960963,0.0444347086538688,38.8330163891182,0.00274554246261695,78.9984036970783,0.978116991612055,0.0580119646051296,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"22",22,48522.3408168611,26.9475577966882,19.7195930391483,0.678494371367583,0.0529096116433407,45.8011389385058,0.0033593815822979,92.2030531389354,1.15345311447072,0.0695224246673051,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"23",23,48507.1413942564,31.0180502197038,22.7036012899143,0.788822180022354,0.0627053513424819,53.8252082003528,0.00408850228386612,107.40247574362,1.35533564179618,0.0829238118912414,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"24",24,48489.6488677629,35.7009875122411,26.1363024463458,0.91493247647454,0.0740024922291155,63.0638266005151,0.00495070930637078,124.895002237112,1.58775405819548,0.0984847387461903,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"25",25,48469.5203790653,41.0867060042163,30.084987491438,1.05929288526641,0.0870116212097718,73.6995266574538,0.00596627520581399,145.02349093479,1.85529955597644,0.116516043977936,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"26",26,48446.3624617074,47.2788852649289,34.6265349967671,1.22472684945793,0.101977453348276,85.9421253831538,0.00715834503638796,168.181408292692,2.16324934578861,0.137376899566944,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"27",27,48419.7239586832,54.3961758013002,39.8488793717232,1.41446465691478,0.119183539753934,100.032654548404,0.00855339870536534,194.819911316801,2.51766546628566,0.16148180505384,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"28",28,48389.0881800338,62.5740576582945,45.8525458067935,1.63220047863892,0.138957524802299,116.247746734212,0.0101817635345896,225.455689966275,2.9255050549189,0.189308379479145,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"29",29,48353.8634976444,71.9670724647392,52.7524385876567,1.88216119189436,0.161677540827959,134.904944335818,0.0120782346783697,260.680372355614,3.39475381828514,0.221406824166492,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"30",30,48313.3735756864,82.7511224830759,60.6796470192485,2.16917833371901,0.187778986401988,156.368284760671,0.0142827305534916,301.170294313669,3.93456643626859,0.258409942232411,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"31",31,48266.8459238883,95.126070693995,69.7835721856994,2.49877273216968,0.217762636631879,181.054926785392,0.0168410778913427,347.697946111779,4.55543312313125,0.301045131125857,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"32",32,48213.3993879161,109.318504818666,80.2342053655106,2.87724771049662,0.252203729342446,209.442514565956,0.0198058939623376,401.144482083935,5.2693647113896,0.350147831585131,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"33",33,48152.0303776172,125.584703760097,92.2245516871239,3.31179286720989,0.291762223318035,242.077444255467,0.023237589666838,462.513492382883,6.09010040218381,0.406676746365079,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"34",34,48081.5978719353,144.213619555771,105.97329631469,3.81059790228544,0.337194397995193,279.584084381822,0.0272055121976631,532.945998064761,7.03333944154708,0.471731090624141,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
"35",35,48000.8071994794,165.529930588515,121.727565190204,4.38297772202993,0.389365870870455,322.675041905213,0.0317892437808447,613.736670520613,8.11699903378006,0.546570031864621,"Malawi","Lilongwe","TA Mazengera",186,48615.54387,1,"Adults",139324.57992
