"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,7680.419108,0,1,0,0,0,0,0,0,0,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"2",2,7679.68177181592,0.607627526363632,0.794496118871202,0.0377709645888363,0.000771346376770792,0.296660278891894,0.00000994899063082441,0.737336184082966,0.040277232314283,0.000788028154381455,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"3",3,7679.01721229482,0.965459754337874,0.79906949182376,0.067463399672689,0.00274601361528539,0.567084769791813,0.0000722759352254595,1.40189570517665,0.0765823290121915,0.00286720089174118,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"4",4,7678.30293828167,1.25247533059578,0.901541264629893,0.0962669449934216,0.00570068682660851,0.859958726863183,0.000226764421685026,2.11616971833057,0.115606847507473,0.00608090968467816,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"5",5,7677.47598783107,1.5426818514688,1.0622258245447,0.12750325696717,0.00961308305079616,1.20058702913086,0.000509123765956213,2.94312016892828,0.160792002734193,0.0104667464780861,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"6",6,7676.49308354062,1.87074552952557,1.27003368131029,0.163106743031749,0.0145574483180054,1.60662484025928,0.00095621693699386,3.92602445938189,0.214504916375562,0.0161607665723276,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"7",7,7675.31465709645,2.25744611676898,1.52572628276382,0.204600769648912,0.0206674445548399,2.09440144744694,0.00160884236843977,5.10445090355193,0.278911623932087,0.0233650398785074,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"8",8,7673.89792542978,2.71972011079416,1.83564335679901,0.253499324571634,0.0281256849856984,2.68168038982231,0.00251370324981809,6.52118257022263,0.356355956758719,0.032340488290744,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"9",9,7672.19329372376,3.27482515588119,2.20949184673502,0.311492771778448,0.0371643804231634,3.38911489830868,0.0037252231137153,8.22581427624023,0.449557034503666,0.0434105762272447,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"10",10,7670.14186182906,3.94229465666601,2.65973904819215,0.380556312822429,0.048071264366722,4.24127739823744,0.00530749065395462,10.2772461709387,0.561746941990944,0.056970496665286,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"11",11,7667.67313190892,4.74511515406363,3.20166770358549,0.463036238282352,0.0611987699633819,5.26762173178415,0.00733649340100364,12.74597609108,0.696798078917138,0.0735000933738651,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"12",12,7664.70254511995,5.7106763764166,3.85374374655084,0.561735886814499,0.0769758811246099,6.50352824820338,0.00990274094358108,15.7165628800535,0.859360799455603,0.0935801104667312,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"13",13,7661.12864610862,6.87173001259045,4.63816677511637,0.68001195079482,0.0959227276327609,7.9915160416134,0.0131143836322862,19.2904618913801,1.05502276778364,0.117912016734804,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"14",14,7656.82976620254,8.26745004293965,5.58156503989439,0.821886301759403,0.118668201230676,9.78267129221916,0.0171009194181496,23.5893417974614,1.2904965777916,0.147341837105615,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"15",15,7651.6600907339,9.94465816357666,6.71583719967583,0.992178700857262,0.145971243204376,11.938354314421,0.02201764436835,28.7590172661035,1.57384390055251,0.18288890254215,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"16",16,7645.44503927464,11.9592304080087,8.0791486220509,1.1966636907245,0.178746348622891,14.5322286857603,0.0280509701925748,34.9740687253599,1.91474184751998,0.225780270342153,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"17",17,7639.13691958938,13.4052165650036,9.55069092677977,1.43967691329605,0.218068010365652,17.6331114606665,0.0354245345161221,41.2821884106278,2.32213600664875,0.277465413447761,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"18",18,7631.76670940681,15.272441388121,11.088659587306,1.71904643961352,0.264970249567186,21.262878789032,0.0444021395586129,48.6523985931984,2.79854986414185,0.339420678262887,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"19",19,7623.25066355092,17.4977802469068,12.7931434542686,2.03582889940068,0.320385197803629,25.4660228825403,0.0552837681632627,57.1684444490833,3.34960435360811,0.413081186793878,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"20",20,7613.45111687029,20.0822730749257,14.724414838293,2.39427911660785,0.38529734448716,30.3133220076416,0.0684047477595222,66.9679911297148,3.98447360616278,0.499993682234468,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"21",21,7602.19456000229,23.0561244595128,16.9293383129191,2.80041484480515,0.460830191401242,35.8937006801163,0.0841395089607146,78.2245479977154,4.71474532799238,0.601909485656915,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"22",22,7589.27729820774,26.4648907793138,19.4522840019781,3.26150273910596,0.548293348992933,42.3119312044724,0.102907718400622,91.1418097922638,5.55408926341909,0.720841875419442,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"23",23,7574.46601275707,30.3642012090924,22.3397890806201,3.7859202724231,0.649215402224836,49.6887874431366,0.125181835444852,105.953095242942,6.51826393652018,0.859111623587804,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"24",24,7557.49620691225,34.8178592098238,25.6427112028049,4.38317262184666,0.765373047356156,58.1622891667312,0.151495839190822,122.922901087754,7.62527274364846,1.01939076554478,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"25",25,7538.06979501883,39.8972514180421,29.4173368479075,5.0639747361107,0.898820434419145,67.8894745381604,0.182455006536976,142.349312981177,8.89559148630225,1.20474833765506,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"26",26,7515.85239026979,45.6811759869446,33.7260346534012,5.84036103909507,1.05192058375316,79.0484786054403,0.21874686158191,164.566717730216,10.352436382802,1.41870015299249,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"27",27,7490.47064485228,52.2556886570884,38.6376565554157,6.72580367229428,1.22737908857101,91.840781911431,0.261153262930607,189.948463147731,12.0220539576412,1.66526277106337,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"28",28,7461.50985831656,59.7137571196457,44.2277365133097,7.73533038540555,1.42828042189103,106.493581402704,0.310563840487796,218.909249683444,13.934026058398,1.94901233462191,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"29",29,7428.51212965695,68.1545575214361,50.5784493973032,8.88563294439402,1.65812669584567,123.262220819924,0.367990964158442,251.906978343061,16.121581358971,2.27514842745784,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
"30",30,7390.97540413315,77.6823089621035,57.7782926347047,10.1951520551653,1.92087644700022,142.432488170477,0.43458559740978,289.443703866861,18.6218881798669,2.64955944186864,"Malawi","Nsanje","TA Mlolo",191,7681.419108,1,"Elderly",77059.496938
