"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,6838.046989,0,1,0,0,0,0,0,0,0,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"2",2,6837.30966968274,0.607613337028559,0.794493751814941,0.0356679126627448,0.000663627911739349,0.298872136942176,0.00000855089659804852,0.737319317256758,0.038034634927264,0.000677980083034785,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"3",3,6836.64513673079,0.965427696018063,0.799060475998441,0.0637069099867951,0.00236252957854095,0.571232538405971,0.0000621192191343227,1.40185226920694,0.0723180979021375,0.00246679299273755,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"4",4,6835.93090643571,1.25241663530957,0.901520675943288,0.0909061640612924,0.00490456698888458,0.866139624348219,0.000194897631406739,2.11608256428266,0.10916917804345,0.00523169106984501,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"5",5,6835.10402751206,1.54258160215633,1.06218650358309,0.120402184492699,0.00827055442956183,1.20908306663858,0.000437576632518872,2.94296148793279,0.151837231579324,0.00900500077829026,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"6",6,6834.12123798042,1.87058061176759,1.26996467260594,0.154021371486985,0.0125243471907597,1.61783817894141,0.000821837579347586,3.92575101957204,0.202557194078924,0.0139037526812337,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"7",7,6832.94299229078,2.25718166147032,1.52561086963235,0.193201811094822,0.0177809072911381,2.10883871650179,0.00138274322372081,5.10399670921414,0.263373904717069,0.0201017595405939,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"8",8,6831.52654109663,2.71930403648238,1.83545627858009,0.2393724960735,0.0241972941556023,2.69995736835332,0.0021604297227409,6.52044790336764,0.336499790784612,0.0278234469335,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"9",9,6829.82233944056,3.27418010389731,2.20919524221342,0.29412862712929,0.0319732116953934,3.41197070822641,0.00320166627093428,8.22464955943275,0.424501216856151,0.0373470180821712,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
"10",10,6827.77156067002,3.94130620164331,2.65927652605073,0.359333872643395,0.0413560928168681,4.26959411143662,0.00456152538286188,10.2754283299738,0.530428280214265,0.049012341832703,"Malawi","Thyolo","TA Nchilamwela",211,6839.046989,1,"Elderly",66040.562589
