"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,39595.64243,0,1,0,0,0,0,0,0,0,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"2",2,39594.9346619213,0.583154029339721,0.790021335440543,0.0000637152319951181,0.000000207111562756502,0.334528787050852,0.00000000448087636308388,0.70776807865555,0.0000679470807775098,0.000000211592439119585,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"3",3,39594.3028533098,0.921397076265075,0.784898472973716,0.000113244050503306,0.000000735442610252683,0.633167128923977,0.0000000325015851279496,1.33957669015747,0.000128602934410919,0.000000767944195380633,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"4",4,39593.6325322707,1.18561969264441,0.874096452526629,0.000160500867770473,0.00000152107733447807,0.950019460454636,0.000000101738027857944,2.00989772930881,0.000192957175017193,0.00000162281536233602,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"5",5,39592.8661716125,1.44636262239311,1.01740355027488,0.000210914438397184,0.00000255317547444215,1.31227851944032,0.00000022775480720476,2.77625838747699,0.000266533044030122,0.00000278093028164691,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"6",6,39591.9659174943,1.73590255030533,1.20249763745036,0.000267521502722976,0.00000384589110375367,1.73784052419762,0.000000426304802320688,3.67651250565194,0.000352965420844463,0.00000427219590607436,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"7",7,39590.8986191397,2.07254993658965,1.42854116866239,0.000332586571499013,0.00000542806121676911,2.24238102590392,0.000000714513785135685,4.74381086030246,0.000455438071537109,0.00000614257500190479,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"8",8,39589.6294429934,2.47027657495331,1.69991983619544,0.000408264377213046,0.00000733994998563167,2.84237387940255,0.00000111167402226725,6.01298700655252,0.000577296857371024,0.00000845162400789892,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"9",9,39588.1187178362,2.9426715851245,2.02394886196055,0.0004968959693431,0.0000096329051939219,3.55658354793366,0.00000163993850325408,7.52371216383175,0.000722352843286619,0.000011272843697176,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"10",10,39586.3199142725,3.50472577262859,2.41015232123851,0.000601168957989654,0.0000123703433154121,4.40702176923608,0.00000232503902515004,9.32251572744351,0.000895076604800895,0.0000146953823405621,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"11",11,39584.1779119248,4.17382197374528,2.87018409124329,0.000724233598341958,0.0000156294817758864,5.41976895002362,0.00000319709110493103,11.4645180751834,0.00110076505595831,0.0000188265728808174,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"12",12,39581.6271997706,4.97046837249659,3.41804008949485,0.000869811557483924,0.0000195036402701903,6.62582816071055,0.00000429152666561791,14.0152302294264,0.00134571489620009,0.0000237951669358083,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"13",13,39578.589840077,5.9189993339147,4.07042624676457,0.00104231373011126,0.000024105079455861,8.0620922732961,0.00000565018582090112,17.0525899229708,0.0016374190356465,0.0000297552652767622,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"14",14,39574.9730864159,7.04834035515124,4.84724275592958,0.00124697579232476,0.0000295684363878005,9.77247660614543,0.00000732260571045728,20.6693435840607,0.00198479663428991,0.0000368910420982578,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"15",15,39570.6665918849,8.39288329437078,5.77217138224461,0.00149001620177781,0.000036054808945186,11.8092479998967,0.00000936753276481366,24.9758381150556,0.0023984630359778,0.0000454223417099997,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"16",16,39565.5390112922,9.99353960852929,6.87340005402068,0.001778828062996,0.0000437567706661885,14.2346446056936,0.0000118547634661794,30.1034187078407,0.00289105874564336,0.0000556115341323679,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"17",17,39560.3824171285,11.1049415424237,8.04831367497861,0.00211862726603458,0.0000528983758356742,17.1045712612849,0.0000148671460547553,35.260012871475,0.00347393770384319,0.0000677655218904292,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"18",18,39554.4081802421,12.540966462814,9.26065887834834,0.00250549815438766,0.0000636903672547045,20.4300367267646,0.0000185014635662642,41.234249757912,0.00414933477080705,0.0000821918308209684,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"19",19,39547.5601338651,14.2460388956133,10.5906970146293,0.00293997979426951,0.0000763165081697469,24.2425210617568,0.0000228666469703767,48.0822961349487,0.004923642897072,0.0000991831551401232,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"20",20,39539.7401843639,16.2165355634203,12.0852588492054,0.00342699080119013,0.0000909676652721381,28.5969051818195,0.0000280831962562267,55.9022456361078,0.00580800803175744,0.000119050861528364,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"21",21,39530.8228409329,18.4725226563262,13.7795397742791,0.00397379198057121,0.000107860710196358,33.5634106995011,0.0000342842859838867,64.819589067083,0.0068166919041761,0.000142144996180244,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"22",22,39520.6597184757,21.0466194753903,15.706208605159,0.00458924548864212,0.000127248464255425,39.2251253320443,0.0000416177288350286,74.9827115242752,0.00796656935045121,0.000168866193090454,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"23",23,39509.0797933691,23.979846731305,17.8994066879318,0.00528360981299601,0.000149426433146943,45.6778999270038,0.0000502484443198356,86.5626366309309,0.00927710736233159,0.000199674877466778,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"24",24,39495.8877385962,27.3203687152366,20.3966935560804,0.00606856419649946,0.000174738663049991,53.03132546837,0.000060361302048022,99.7546914038486,0.0107705634984597,0.000235099965098013,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"25",25,39480.8612471633,31.1234454763134,23.2402158401224,0.00695733896336987,0.000203583789384997,61.410288433174,0.0000721643507069506,114.781182836713,0.0124723017652088,0.000275748140091947,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"26",26,39463.7477052568,35.4519502747146,26.4775799900535,0.00796490397329211,0.000236421667987553,70.9569072604091,0.0000858924285239723,131.894724743247,0.0144111859035226,0.000322314096511525,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"27",27,39444.260334033,40.3771520775827,30.1626701692663,0.00910819566554699,0.000273780889377057,81.8327899324202,0.000101811222018359,151.382095967046,0.0166200378934553,0.000375592111395416,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"28",28,39422.0737922673,45.9796819033923,34.3564876522339,0.0104063797567976,0.000316267370433183,94.2216253080642,0.000120221853856203,173.568637732671,0.0191361642425853,0.000436489224289386,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"29",29,39396.8194592835,52.3505781823684,39.1280188317005,0.0118811345071544,0.000364573711714573,108.331986528419,0.000141465830190453,198.822970716537,0.0220019253452549,0.000506039541905026,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"30",30,39368.0796346902,59.5925629277098,44.5552795183307,0.013557000336818,0.000419490900237374,124.400810441367,0.000165931189814827,227.562795309834,0.025265442137862,0.000585422090052201,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"31",31,39335.3818754994,67.8212706580514,50.7263021892071,0.0154617230452116,0.000481920022185171,142.69684395162,0.000194058627367511,260.260554500573,0.0289812960362652,0.000675978649552681,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"32",32,39298.1922158627,77.1666601384574,57.7403287707432,0.0176266657973529,0.000552886568592728,163.524819326679,0.000226348987537497,297.450214137233,0.0332113769199574,0.000779235556130224,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"33",33,39255.9079272487,87.7744628055082,65.7090645336541,0.0200872513669446,0.000633556146098502,187.22999123311,0.00026337151459649,339.7345027513,0.0380258045808444,0.000896927660694992,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"34",34,39207.8496396551,99.8077360175076,74.7579672897813,0.0228834494998893,0.00072525198199421,214.203172562995,0.000305773116664945,387.792790344883,0.0435039514730724,0.00103102509865915,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"35",35,39153.2528358635,113.448381186926,85.027660399147,0.0260603054443911,0.000829474601793983,244.886308481456,0.000354288864517125,442.38959413644,0.0497355747706133,0.00118376346631111,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"36",36,39091.2588336387,128.898640433328,96.6753752775913,0.0296685073069413,0.000947923485946147,279.778554465866,0.000409753687756212,504.383596361266,0.0568220507809885,0.00135767717370236,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
"37",37,39020.9051992811,146.382573170478,109.876362954402,0.0337650012402957,0.00108252110434703,319.442973956076,0.000473115593457426,574.737230718894,0.0648777351963849,0.00155563669780446,"Malawi","Thyolo","TA Kapichi",151,39596.64243,1,"Pediatrics",70462.168502
