"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,3324.844706,0,1,0,0,0,0,0,0,0,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"2",2,3112.74474928114,192.335312118005,18.7716110581391,0.230347812925165,0.00230137270474929,1.76036422728651,0.0000201297981412656,212.099956718859,0.237868443706138,0.0023351408011895,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"3",3,542.054704675107,2345.41384247834,383.535694165994,6.29136516421799,0.0773803299231595,48.4708626357496,0.000856550671536026,2782.79000132489,6.54520644339955,0.0788172089956357,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"4",4,0.0507291859708306,1989.59329950837,1000.88164746737,37.3001459749552,0.82120211402776,297.183730972783,0.0139507765224285,3324.79397681403,40.020307768653,0.844604791179274,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"5",5,0.0000000263855729335038,1354.3764342345,1202.22538094431,81.688569647454,3.00766093643864,684.466337696547,0.0803225143672717,3324.84470597362,91.8090967080013,3.14240339100474,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"6",6,0.00000000134452627175615,921.941164431365,1172.96158251322,123.874599290357,6.72187989151341,1100.0882829614,0.257196910797531,3324.84470599866,146.912855111296,7.15333230981318,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"7",7,-0.000000161552136784425,627.576634638988,1039.8256366677,157.220649668374,11.6415603718075,1488.98400580558,0.596219009100671,3324.84470616155,197.935013385594,12.6417284240407,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"8",8,0.000000175238520718896,427.199720951785,872.128681134455,179.966009676402,17.3170145477355,1828.099236916,1.13404259838038,3324.84470582476,241.864609392796,19.2193912909435,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"9",9,0.0000000522263057303097,290.800547517951,705.514384667454,192.740115461498,23.310736560458,2111.58840891426,1.89051282615344,3324.84470594778,278.029250374401,26.4821056416082,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"10",10,0.000000715578173399747,197.951339220222,556.387975992708,197.173231280918,29.2575678709902,2342.20417325855,2.87041766103379,3324.84470528442,306.909026872236,34.0727448400415,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"11",11,0.00000000544162096665439,134.747946431484,430.566343829197,195.155322991723,34.8823791546318,2526.42611238473,4.06660120279239,3324.84470599456,329.469153288665,41.7041754109125,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"12",12,0.0000000329969290441465,91.7245119800925,328.3706380103,188.470501044898,39.99653382275,2671.81922046363,5.46330064533355,3324.84470596701,346.801049689583,49.1613183764162,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"13",13,0.000000276838163436845,62.4380417910832,247.540513040534,178.642545120759,44.48527753223,2785.69918223068,7.03914600787545,3324.84470572316,359.943459236267,56.2935708684352,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"14",14,-0.000000120325781222153,42.502353502103,184.850950392655,166.893246687338,48.292410751998,2874.5361133305,8.76963145573209,3324.84470612033,369.804778438594,63.0036243798784,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"15",15,0.000000121591401005234,28.9318843645538,136.957977307156,154.156987054716,51.4055497266199,2943.76329108842,10.6290163369405,3324.84470587841,377.140436858553,69.2359147512249,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"16",16,0.000000027568073963308,19.6942822431939,100.803719779595,141.119446782419,53.843349140446,2997.79219512111,12.5917129056639,3324.84470597243,382.557952822321,74.9661727655006,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"17",17,0.0000000106689039086663,13.4061511605553,73.7745452721571,128.263283165937,55.6451311324116,3040.1223535488,14.633241709469,3324.84470598933,386.534371414062,80.1926558423239,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"18",18,0.00000000549208807233378,9.1257360108473,53.7291469340982,115.912119603128,56.8628391783959,3073.48401897025,16.7308452977869,3324.84470599451,389.437655916525,84.9291314271861,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"19",19,0.00000000344495937292916,6.21200468919149,38.9633337745815,104.268966414853,57.5550442392228,3099.98151624908,18.8638406296203,3324.84470599656,391.547708578222,89.1994743096843,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"20",20,0.0000000024271501854075,4.22858438447228,28.1492048279641,93.4479730995021,57.7826278959115,3121.22253465824,21.0137811314799,3324.84470599757,393.075095377626,93.0336216138585,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"21",21,0.0000000018728778388987,2.87844947771774,20.2686078961232,83.4996270853341,57.6057995927677,3138.42773853907,23.1644834071103,3324.84470599813,394.176782714938,96.4646348473264,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
"22",22,0.00000000155472882306314,1.95939585117879,14.5507070590427,74.4302114298997,57.0821265081718,3152.5203021742,25.3019629759526,3324.84470599845,394.968902865176,99.5266219721931,"Malawi","Nsanje","TA Ndamera",212,3325.844706,1,"Elderly",33881.162686
