"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,29694.50283,0,1,0,0,0,0,0,0,0,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"2",2,29693.7950703193,0.583146969974383,0.790020152361374,0.0000565628740008999,0.000000183862284786191,0.334535807607494,0.00000000397787662438636,0.707759680657413,0.0000603196772291115,0.000000187840161410577,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"3",3,29693.1632746283,0.92138138577978,0.784894018834022,0.000100531680922454,0.000000652885133773071,0.633178753628863,0.0000000288531150785169,1.33955537166184,0.000114166445899486,0.000000681738248851588,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"4",4,29692.4929743991,1.18559147153426,0.874086419652086,0.000142483262808657,0.00000135032637011895,0.950033785756792,0.0000000903173465823773,2.00985560084967,0.000171296137142683,0.00000144064371670133,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"5",5,29691.726647127,1.44631528552601,1.01738467926286,0.000187236824194491,0.00000226656066791554,1.3122932026466,0.000000202187808757634,2.77618287300814,0.000236611793727954,0.00000246874847667317,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"6",6,29690.826445577,1.73582606807813,1.20246504981518,0.000237488003300254,0.00000341415034618624,1.73785202451194,0.000000378448731770983,3.67638442300763,0.000313339984859398,0.00000379259907795723,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"7",7,29689.7592285045,2.07242947498443,1.42848757011422,0.000295246789393134,0.0000048186909955594,2.24238375065619,0.000000634302902600312,4.74360149553813,0.000404306667356328,0.00000545299389815971,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"8",8,29688.4901761814,2.47009042121813,1.69983442299255,0.000362425562360191,0.0000065159205119947,2.84235904601487,0.000000986876072103848,6.01265381858449,0.000512481494042162,0.00000750279658409855,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"9",9,29686.9796374227,2.9423881315568,2.02381576167476,0.000441101882233354,0.00000855141309628755,3.55653757493973,0.00000145583309136663,7.52319257729971,0.000641246805986438,0.0000100072461876542,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"10",10,29685.1811117805,3.50429919061725,2.40994835874067,0.000533660648035738,0.0000109814523205241,4.40692396398041,0.00000206401515086666,9.32171821945385,0.000794569997463552,0.0000130454674713907,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"11",11,29683.0395205969,4.17318603377491,2.86987558708627,0.000642897012487421,0.0000138745668711863,5.41958817249658,0.00000283815398868503,11.4633094030911,0.000977151429684846,0.0000167127208598713,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"12",12,29680.4894128186,4.96952763293916,3.41757828662995,0.000772112741761782,0.0000173135706090837,6.62551802576977,0.00000380969938539964,14.0134171813506,0.00119457814165145,0.0000211232699944833,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"13",13,29677.4529367353,5.91761658911709,4.06974078553123,0.000925220523563934,0.000021398078408851,8.06158425568824,0.00000501578767252536,17.0498932647262,0.00145349784519146,0.0000264138660813764,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"14",14,29673.8374690413,7.04631879188146,4.8462323764137,0.00110686390508323,0.0000262475500282188,9.77167017856065,0.00000650038488731216,20.6653609586958,0.00176182260339385,0.0000327479349155309,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"15",15,29669.5328391239,8.38994102175989,5.77069064250464,0.00132255696790384,0.0000320049069980669,11.8079963343362,0.00000831562760633352,24.9699908761032,0.00212896765999185,0.0000403205346044004,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"16",16,29664.4079765949,9.98926280172806,6.87123660063842,0.00157885296003836,0.000038840949026704,14.2327257853366,0.0000105234465162452,30.0948534050586,0.00256614087089734,0.0000493643955429492,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"17",17,29659.2546183479,11.099311753859,8.04526446821264,0.00188037294988402,0.0000469544381765727,17.1016949052571,0.0000131973737318732,35.2482116520905,0.00308340918805294,0.000060151811908446,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"18",18,29653.284836874,12.5333980724454,9.25647499629953,0.00222363110959577,0.0000565322009180376,20.4258234706512,0.0000164232749860999,41.2179931259816,0.00368274062767852,0.0000729554759041375,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"19",19,29646.4428069445,14.2358444310316,10.585008236728,0.00260909166773217,0.0000677370832436849,24.2364732612367,0.0000202977913281079,48.0600230555386,0.00436978915916803,0.0000880348745717929,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"20",20,29638.6309321574,16.2028296908196,12.0775626824302,0.00304110016631586,0.0000807381486609779,28.5883587032342,0.0000249278141735231,55.8718978426132,0.00515441942300588,0.000105665962834501,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"21",21,29629.7243825188,18.4541480968816,13.7691680926595,0.00352607429724259,0.0000957274227727059,33.5514790584578,0.0000304314603148617,64.7784474811793,0.00604925195899394,0.000126158883087568,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"22",22,29619.5756454522,21.022059616155,15.6922769424369,0.00407184429128951,0.000112928673622659,39.208626276418,0.0000369398023025813,74.9271845477771,0.00706921380979432,0.00014986847592524,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"23",23,29608.0148418783,23.9471102739317,17.8807520226068,0.00468746815551378,0.000132603347789301,45.655261154655,0.0000445990526108789,86.4879881217494,0.00823151616351737,0.00017720240040018,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"24",24,29594.8481454907,27.2768435413835,20.3717892449225,0.00538324976453255,0.000155055693484462,53.0004598445001,0.0000535730679150943,99.654684509332,0.00955582499252368,0.000208628761399557,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"25",25,29579.8552022241,31.0657176741446,23.2070572381114,0.00617085071061096,0.000180638049280681,61.3684373287096,0.000064046201416614,114.647627775927,0.0110645357245569,0.000244684250697295,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"26",26,29562.785949577,35.3755590241157,26.4335421008377,0.00706345083856557,0.000209756613340657,70.900429864175,0.0000762264765462392,131.716880423057,0.0127831126363035,0.000285983089886896,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"27",27,29543.3569346482,40.2762759748462,30.1043203622495,0.00807594222497397,0.000242877962572759,81.7568898453857,0.000090349154967401,151.145895351824,0.0147404845757772,0.00033322711754016,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"28",28,29521.2471805544,45.8467260518035,34.2793370923538,0.00922515049687293,0.000280536422484427,94.1199739337751,0.000106680730634343,173.255649445582,0.0169694935592483,0.000387217153118769,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"29",29,29496.0935675869,52.1756900955573,39.0262358008883,0.010530083898662,0.000323342470520957,108.196357566802,0.000125523445173067,198.409262413062,0.0195074022125425,0.000448865915694024,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"30",30,29467.4859021557,59.3628871115218,44.4212256862841,0.0120122006638905,0.000371991930224504,124.220283633753,0.000147220208129117,227.016927844361,0.0223964434309629,0.000519212138353621,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"31",31,29434.9610639435,67.5201488243471,50.5500841078461,0.0136957281679924,0.000427277162910343,142.457237958374,0.000172160581119041,259.541766056479,0.0256844830485801,0.000599437744029385,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"32",32,29397.99735785,76.7725027718977,57.5090832232397,0.015607974228716,0.000490098282191965,163.207587295582,0.000200786793783769,296.505472150024,0.0294256757482306,0.000690885075975734,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"33",33,29356.0078719945,87.259345346974,65.4060933941578,0.0177796950362882,0.000561476756720347,186.810944491496,0.00023360109516247,338.494958005516,0.0336812520739446,0.000795077851882817,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"34",34,29308.3336823432,99.1355430676765,74.3616646908508,0.0202454762836348,0.000642569977697072,213.65078067827,0.000271173707169921,386.169147656766,0.0385203499809746,0.000913743684866993,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"35",35,29254.2364849408,112.572552403567,84.5100887297896,0.0230441553322272,0.000734687745769883,244.159610930787,0.000314151976435901,440.266345059198,0.0440209497763428,0.00104883972220578,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"36",36,29192.8913726648,127.759245181475,96.0004470590044,0.0262192404456501,0.000839309690501743,278.824343274343,0.000363270212602793,501.611457335172,0.0502708385077408,0.00120257990310454,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"37",37,29123.3792537622,144.902567009035,108.997596608589,0.029819363145862,0.000958104851404168,318.192215791205,0.00041936101032007,571.123576237837,0.0573686803803467,0.00137746586172424,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"38",38,29044.679467006,164.227871103228,123.682947309333,0.0338987365287082,0.00109295274617318,362.877069524362,0.000483367812994144,649.823362994011,0.0654251477120546,0.00157632055916732,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"39",39,28955.6631114255,185.978669204873,140.255027160137,0.0385175889684762,0.00124596538550836,413.565702296694,0.000556358489662379,738.839718574548,0.074564066471891,0.00180232387517074,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"40",40,28855.0869390616,210.415674274779,158.929735349612,0.04374259357867,0.00141951153775463,471.024679667945,0.000639540994828643,839.415890938447,0.0849236442303354,0.00205905253258327,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"41",41,28741.5888783,237.815035389396,179.939957458671,0.0496472344217525,0.00161624135875638,536.106961096044,0.000734280159351896,952.913951700051,0.096657664783918,0.00235052151810828,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"42",42,28613.685879445,268.465369925495,203.534502712525,0.0563120771133102,0.00183911073150776,609.758084613549,0.00084211557146246,1080.81695055498,0.109936603172715,0.00268122630297022,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"43",43,28469.7744549288,302.662967157959,229.976435523148,0.0638249196863712,0.00209140682354374,693.022091281675,0.000964781880364511,1224.72837507117,0.124948693764536,0.00305618870390825,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"44",44,28308.1351721637,340.705537359046,259.539943830439,0.0722807722895819,0.00237677180915854,787.046414872594,0.00110423016443948,1386.36765783634,0.141900811761542,0.00348100197359801,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"45",45,28126.9420509054,382.883970711667,292.505621959185,0.0817816146825896,0.00269922422382788,893.085442934088,0.00126265079934808,1567.56077909465,0.161019115146109,0.00396187502317596,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"46",46,27924.278796086,429.470619432783,329.154676539942,0.0924357849361929,0.00306317696054112,1012.50179648183,0.00144249755657813,1770.224033914,0.182549275278578,0.00450567451711925,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"47",47,27752.5701516105,435.288671698967,361.835299886255,0.104170896210029,0.003473151459438,1145.69941624783,0.00164650883232413,1941.93267838955,0.206564102045271,0.00511966029176213,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"48",48,27567.8039330972,449.993025659829,387.633470241328,0.116395716890985,0.00393115342759597,1289.95019648702,0.00187764434324382,2126.69889690284,0.232571672307781,0.00580879777083979,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"49",49,27372.4707043812,468.732881536487,410.657295449996,0.128759252158263,0.00443600177592133,1443.50661449862,0.00213887977694251,2322.03212561881,0.26025688321554,0.00657488155286383,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"50",50,27167.6692951057,489.330370004642,432.666497445346,0.141131027728413,0.00498523041357095,1605.68811811681,0.00243306933668447,2526.83353489427,0.289497022733521,0.00741829975025541,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"51",51,26953.9199579486,510.769696549736,454.386153458007,0.153471663383487,0.00557605231875913,1776.26521142791,0.0027629000460659,2740.5828720514,0.320250710679987,0.00833895236482503,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"52",52,26731.5214450089,532.537215621525,476.081934492358,0.16577639011672,0.00620573480383295,1955.18712186702,0.00313088533929138,2962.98138499116,0.352508792979206,0.00933662014312432,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"53",53,26500.7084538849,554.333801313231,497.811918362617,0.178050541799905,0.00687172055750782,2142.46019480381,0.00353937307677466,3193.79437611509,0.386272414485555,0.0104110936342825,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"54",54,26261.7218552099,575.949509240235,519.537381111492,0.190299006171086,0.00757164145881566,2338.09222323346,0.00399055728034907,3432.7809747901,0.421542980954381,0.0115621987391647,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"55",55,26014.8403384839,597.209482967019,541.171800420017,0.202521810131287,0.00830328890717307,2542.06589654083,0.00448648916821693,3679.66249151607,0.458317371639087,0.01278977807539,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"56",56,25760.3946678242,617.951243842988,562.6028615875,0.214712406170448,0.00906456878486352,2754.32525068464,0.00502908571871061,3934.1081621758,0.496585496241931,0.0140936545035741,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"57",57,25498.7744933672,638.015614146759,583.702942217565,0.226857081788763,0.00985345230625181,2974.76744960012,0.00562013426267202,4195.7283366328,0.53632881316724,0.0154735865689238,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"58",58,25230.4291020288,657.244184190483,604.334597417059,0.238935143540168,0.0106679284560214,3203.23908199422,0.00626129746399779,4464.07372797122,0.577519661940552,0.0169292259200192,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"59",59,24955.8669830497,675.479544733784,624.353784472292,0.250919204591627,0.0115059627532201,3439.53313846399,0.00695411293189364,4738.63584695034,0.620120718293901,0.0184600756851137,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"60",60,24675.6543851697,692.566641866375,643.612577719988,0.262775560462364,0.0123654586064362,3683.38638423546,0.00769998939987182,5018.84844483029,0.664084520588525,0.0200654480063081,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"61",61,24390.4134312319,708.35507726914,661.961252171453,0.274464575215223,0.0132442239577323,3934.47686033011,0.00850019825111807,5304.08939876813,0.709353019392229,0.0217444222088503,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"62",62,24100.8153320585,722.70153581227,679.251054649852,0.285941592005078,0.0141399425774241,4192.42547007385,0.0093558710048509,5593.68749794156,0.755857863650578,0.023495813582275,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"63",63,23807.5742619884,735.471981609834,695.336907861092,0.297157674390769,0.0150501549391742,4456.79720271893,0.0102679924116851,5886.92856801159,0.803520621407955,0.0253181473508593,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"64",64,23511.4414861606,746.545076026858,710.079036843869,0.308060319055521,0.0159722432340188,4727.10196101909,0.0112373872694334,6183.06134383937,0.852252929124565,0.0272096305034522,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"65",65,23213.1975199349,755.814277691033,723.345766408766,0.318594369031862,0.0169034210237779,5002.79750346362,0.0122647116375138,6481.30531006512,0.901957022257695,0.0291681326612917,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
"66",66,22913.644202007,763.189394342787,735.016549152657,0.328702880323652,0.0178407308171882,5283.29279044432,0.0133504420994218,6780.85862799301,0.952526338655852,0.03119117291661,"Malawi","Nsanje","TA Tengani",233,29695.50283,1,"Pediatrics",50418.687412
