"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,697.4177628,0,0.333,0,0,0,0,0,0,0,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"2",2,697.282475970372,0.117056447474505,0.266785177679636,1.37124884671112e-05,8.89569521575051e-08,0.0844313991257358,3.90207548475199e-09,0.135286829627372,1.55696690199564e-05,9.28590276422571e-08,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"3",3,697.167704208698,0.18754154229183,0.239418233210513,2.23423809969717e-05,2.94881866032525e-07,0.156076151493604,2.70428472096091e-08,0.250058591301657,2.87808752618144e-05,3.21924713242134e-07,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"4",4,697.062876294187,0.232054750427264,0.232642247975934,2.83387665080353e-05,5.60526606995645e-07,0.223160528042299,8.00744985130954e-08,0.35488650581311,4.11507886182101e-05,6.4060110550874e-07,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"5",5,696.958372991341,0.265324856174514,0.236981804390835,3.29872972051072e-05,8.56436975932712e-07,0.290049135943057,1.68416689460228e-07,0.459389808659276,5.34843705129659e-05,1.02485366539294e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"6",6,696.8503929421,0.293409198775547,0.247747831503767,3.69785024356054e-05,1.16777014791667e-06,0.359174386531446,2.9481594556609e-07,0.567369857899289,6.62302243052605e-05,1.46258609348276e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"7",7,696.736670132888,0.319546034823714,0.262515982631282,4.06924024731203e-05,1.48748162638746e-06,0.431988009070487,4.60702403014385e-07,0.681092667111986,7.96560830611571e-05,1.94818402940184e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"8",8,696.6157277986,0.345492389719263,0.280058365371988,4.43437237840689e-05,1.81273305585739e-06,0.509437422937342,6.6691412480618e-07,0.802035001399557,9.39366673973403e-05,2.47964718066357e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"9",9,696.486482176535,0.372232904193669,0.299777439961483,4.80593938081005e-05,2.14296025659189e-06,0.592219162864245,9.14091303902555e-07,0.931280623464766,0.000109200425017989,3.05705156049444e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"10",10,696.348033515129,0.40035000764312,0.321411400548535,5.19193453569164e-05,2.47884766477622e-06,0.680912275594298,1.20289172890677e-06,1.0697292848707,0.000125554133230576,3.68173939368299e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"11",11,696.1882081252,0.440118885747673,0.3461963516726,5.60009239998154e-05,2.82184393699115e-06,0.776179080505964,1.5341059883358e-06,1.22955467480016,0.000143119922506354,4.35594992532695e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"12",12,696.015587738442,0.481172939520746,0.374841441670786,6.04314645115956e-05,3.17447470819693e-06,0.87909516566839,1.90875854638281e-06,1.40217506155769,0.00016209612960319,5.08323325457974e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"13",13,695.828467809678,0.524669491859989,0.406869695747516,6.53002616243312e-05,3.54029275828878e-06,0.990684633885924,2.32827375455505e-06,1.58929499032157,0.000182671591881208,5.86856651284382e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"14",14,695.625280847515,0.571363694745929,0.442151237507821,7.06639642336617e-05,3.92325746147275e-06,1.11188963846309,2.79454589294676e-06,1.79248195248443,0.000205020031322052,6.71780335441951e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"15",15,695.404474697552,0.621811348431703,0.480747636195336,7.65656399861646e-05,4.32743611411859e-06,1.2436449147724,3.30997187793571e-06,2.01328810244742,0.000229313799827251,7.6374079920543e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"16",16,695.164442198687,0.67647933425828,0.522829604632463,8.30446397280943e-05,4.75689324220015e-06,1.38691998343081,3.87745788492802e-06,2.25332060131241,0.000255731662270658,8.63435112712817e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"17",17,694.903476398332,0.735804841575419,0.568636815370633,9.01413969603777e-05,5.21568459839773e-06,1.54274488721644,4.50042268621445e-06,2.51428640166674,0.000284463542652622,9.71610728461218e-06,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"18",18,694.59955844897,0.817844946602578,0.620796928273106,9.79395851595979e-05,5.70800523892206e-06,1.71245364577656,5.18278645826118e-06,2.8182043510291,0.000315755419103263,1.08907916971832e-05,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"19",19,694.26702652102,0.90447122884879,0.680922469957474,0.000106641092400025,6.23933170265895e-06,1.89822377069423,5.9290542554349e-06,3.15073627897886,0.000350008811561902,1.21683859580938e-05,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
"20",20,693.902021377498,0.9978924442331,0.748481575862709,0.000116401380824489,6.81669857588457e-06,2.10223743978878,6.74453699218379e-06,3.51574142250098,0.000387626092185856,1.35612355680683e-05,"Malawi","Lilongwe City","Area 12",68,698.4177628,"Pediatrics",1412.60583502,85
