"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,1379.52009,0,0.333,0,0,0,0,0,0,0,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"2",2,1375.62109039816,3.45283570615325,0.658078153605987,0.0111570166655274,0.00029440888472533,0.109627210773827,7.10575639926815e-06,3.89899960183971,0.0124126569532204,0.000306342173465553,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"3",3,1363.37916668285,13.5644509071985,2.4059638079287,0.0442971628339814,0.00166946904701858,0.457472919042104,6.90510995068853e-05,16.1409233171498,0.051615321858029,0.00178543231144042,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"4",4,1313.81978933634,54.6366579532828,9.42785430581475,0.171100073000753,0.0069145876538865,1.79042779069481,0.000345953214446141,65.7003006636614,0.201823060745559,0.00749557571013611,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"5",5,1137.51379666273,198.676028186832,35.99228494041,0.66451364390396,0.0272882924697628,6.97772569230863,0.00145258134283568,242.006293337268,0.786362161274936,0.0297277333411814,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"6",6,683.783357083499,550.221870035214,118.03605897655,2.38842384499321,0.103243709145214,25.3144091109471,0.00572723965284992,695.736732916502,2.85102420143162,0.112861939861504,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"7",7,171.695848579085,853.452578042931,272.206696150317,6.90451981532496,0.34375609353112,75.2288499731328,0.0208413456796185,1207.82424142092,8.45697395036367,0.378756701735941,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"8",8,13.9770381653378,772.425706838033,411.691988313089,14.4559342267495,0.909666285904528,166.327702424233,0.0650537466542919,1365.54305183466,18.6322856112518,1.01891646263996,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"9",9,0.540682456828764,591.418255591294,477.43211843607,22.9669995468752,1.881770123438,285.446801998814,0.166461846680219,1378.97940754317,31.8258669668111,2.16132337140331,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"10",10,0.0162618537622923,444.862250972504,485.850053065953,30.4678620174318,3.20484461760268,415.097867629343,0.353949843405351,1379.50382814624,46.0403392772946,3.79926207910582,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"11",11,0.000406629108697913,334.316672762626,460.62339796083,36.0307994335409,4.74815664372413,543.484634661516,0.649021908655488,1379.51968337089,59.9601528937978,5.83811320844877,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"12",12,1.34146386119993e-05,251.231731850348,417.928430948368,39.4461556649967,6.36608345454348,663.818059661891,1.06261500521627,1379.52007658536,72.8540552037501,8.15062136499663,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"13",13,6.32425255743728e-07,188.794999323896,368.005060104452,40.884955225374,7.93051369424675,772.642211404023,1.59534961558405,1379.52008936758,84.3722368910621,10.6097172208873,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"14",14,1.25240121562844e-07,141.875130363904,317.083271084638,40.6881462111882,9.34392362066948,868.623208890527,2.23940970383473,1379.52008987476,94.4021125945613,13.1047509136328,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"15",15,-1.70144351655758e-07,106.615973086462,268.74247670236,39.2445371950053,10.5416299961862,951.727524651113,2.98094853901918,1379.52009017014,102.972052433017,15.547785236679,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"16",16,-1.33049405972905e-07,80.1194878937918,224.845133607216,36.9248442843517,11.4885252062902,1022.67266157244,3.80243756896093,1379.52009013305,110.188215349368,17.8742754174507,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"17",17,-2.00668942847848e-08,60.2079685459524,186.168304960267,34.0503117448212,12.1735271715568,1082.56831187393,4.68466572354342,1379.52009002007,116.194183114173,20.0408766258986,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"18",18,-6.43067408527415e-09,45.2449107731726,152.828391083292,30.8816047917095,12.6035214435392,1132.6863592367,5.60830267802192,1379.52009000643,121.145783578757,22.0220113887185,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"19",19,-1.67150914411271e-09,34.0005205041502,124.561493899653,27.6191294983754,12.7977474341177,1174.31917592065,6.55502274472488,1379.52009000167,125.196137059227,23.8061432636717,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"20",20,-1.39983129528466e-09,25.5506359794056,100.90528826275,24.4091286549285,12.7830527450902,1208.69674242222,7.5082419370054,1379.5200900014,128.487374131693,25.3922689820784,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"21",21,-7.40733861220329e-10,19.2007280098636,81.313945185481,21.3522097675702,12.590133172372,1236.94253555289,8.45353831256124,1379.52009000074,131.146645526002,26.7868643705762,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"22",22,-2.8170756573015e-10,14.428917639186,65.2281239096586,18.5122743843891,12.2507331551095,1260.05421288302,9.37882802891714,1379.52009000028,133.284788481816,28.0013804648723,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
"23",23,-2.47793537861009e-10,10.8429960404706,52.1154713093357,15.9249022256694,11.7956619557443,1278.89969291026,10.2743655587697,1379.52009000025,134.996581047801,29.0502600514554,"Malawi","Lilongwe City","Area 53",113,1380.52009,"Elderly",31443.7023,64
