"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,7439.557922,0,0.333,0,0,0,0,0,0,0,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"2",2,7439.4459599445,0.0968503533008586,0.263954262101171,1.304505677654e-05,8.47835461212107e-08,0.0841443065394249,3.7216106959509e-09,0.111962055503388,1.48151599128832e-05,8.85051568171616e-08,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"3",3,7439.35281692779,0.153538460541245,0.230397752735698,2.10337298879018e-05,2.79599533730538e-07,0.15414751989298,2.57159766929249e-08,0.205105072215321,2.71400400963711e-05,3.05315510423463e-07,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"4",4,7439.26080646771,0.195302365572294,0.217089640801614,2.62682915890689e-05,5.27212570692566e-07,0.217696654628899,7.57862111716937e-08,0.297115532293177,3.83282672263541e-05,6.0299878186426e-07,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"5",5,7439.17160959238,0.224340051677929,0.215636849757172,3.00532527296583e-05,7.97613462496902e-07,0.279304496876939,1.58448993298566e-07,0.386312407627225,4.91745018455677e-05,9.56062455795468e-07,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"6",6,7439.08151130979,0.247001527744109,0.220838286617961,3.31041759501536e-05,1.07581131989166e-06,0.341536420359062,2.755038103774e-07,0.476410690212212,6.01304785555349e-05,1.35131513026906e-06,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"7",7,7438.98838831026,0.26669532688293,0.229942002637163,3.58093923886002e-05,1.35482060344095e-06,0.40585876857863,4.27429834616314e-07,0.569533689741549,7.14544011497455e-05,1.78225043805726e-06,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"8",8,7438.89095773192,0.285262464197888,0.241503601508184,3.83820732990642e-05,1.63188565297892e-06,0.473157574293407,6.14124919302797e-07,0.66696426808335,8.33022847446985e-05,2.24601057228171e-06,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"9",9,7438.78837472901,0.303711618032233,0.254775530196127,4.094178392434e-05,1.90645934560283e-06,0.544016439222728,8.35295861736205e-07,0.769547270990219,9.57768880711206e-05,2.74175520733903e-06,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
"10",10,7438.68001535969,0.322612000223854,0.269383723464801,4.35578284834444e-05,2.17913340792356e-06,0.618864089006103,1.09066000160968e-06,0.877906640316651,0.000108953696674109,3.26979340953324e-06,"Malawi","Lilongwe","STA Mbang'ombe",48,7440.557922,"Pediatrics",13580.800281,57
