"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,4566.775564,0,0.333,0,0,0,0,0,0,0,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"2",2,4566.47712611347,0.2586657259813,0.286350480769755,0.00189003199393651,3.54947564524125e-05,0.0844958399690538,3.13064717441906e-07,0.298437886535215,0.00214280273492479,3.70440192121611e-05,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"3",3,4566.18962382281,0.444838741976596,0.304419464924515,0.00330097262172987,0.000121852258899061,0.166256930700104,2.21470753922361e-06,0.585940177189383,0.00420721965725755,0.000132812177801102,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"4",4,4565.86371541695,0.618947635802325,0.361829985936723,0.0046490581686671,0.000244713207524542,0.259170417010484,6.77292812221847e-06,0.911848583053846,0.00654756977106662,0.000278230383781091,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"5",5,4565.46560346952,0.813222626250193,0.45035735322899,0.00616194996499079,0.000401953384664383,0.37280178272293,1.48649248764691e-05,1.30996053047664,0.00940664060551659,0.00047551540955736,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"6",6,4564.96502271752,1.04898271208314,0.570174979371031,0.00799568872431559,0.000598058309034665,0.515762439018489,2.74049713396195e-05,1.81054128247735,0.0130019527021517,0.000733677237527713,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"7",7,4564.32902666948,1.34467704738355,0.726225303617273,0.0102895715078606,0.000841958584193448,0.697457970230508,4.54791967063093e-05,2.4465373305201,0.0175704172375457,0.00106702139668825,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"8",8,4563.45914982892,1.7716610965789,0.933504952515976,0.013209531829484,0.00114661443996586,0.929821526427811,7.0449284949532e-05,3.31641417107708,0.0234123829030447,0.00149524667969911,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"9",9,4562.33571671537,2.31457747511337,1.20966603564391,0.0170006673890381,0.00153057893869428,1.22996845748471,0.000104070064873586,4.43984728463459,0.0309588009418917,0.0020455902668015,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
"10",10,4560.87796211414,3.0152370280064,1.57172076443609,0.0219538793967516,0.00201951186424896,1.61952204897222,0.000148653183279834,5.89760188585899,0.0407537213742214,0.00275515158390617,"Malawi","Chitipa","STA Nthengatenga",183,4567.775564,"Adults",13468.62908,95
