"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,8227.593241,0,0.333,0,0,0,0,0,0,0,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"2",2,8227.30200075753,0.252409058200216,0.285495470036144,0.00186718535264336,3.4346041120928e-05,0.0844338761090549,3.06736918082777e-07,0.291240242476097,0.0021170356314726,3.58454860732854e-05,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"3",3,8227.0228868246,0.432790310773637,0.301484310114414,0.0032515107182263,0.000117731688497215,0.165708144089205,2.16801406283677e-06,0.570354175398043,0.00414599502191197,0.000128329753325796,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"4",4,8226.70876570499,0.599550338629069,0.355720259286817,0.0045597605325656,0.000235884064940421,0.257402431590741,6.62090797795873e-06,0.884475295012111,0.00642951403576503,0.000268249543180292,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"5",5,8226.32778621166,0.783611478220379,0.439687695923798,0.00601258432814024,0.000386270199256255,0.368742255061257,1.45046010538227e-05,1.26545478833388,0.00919918031118862,0.000457174122305528,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"6",6,8225.85194268339,1.00502874578145,0.553030872107714,0.00775818406550901,0.000572636258519729,0.507881197404678,2.66809887073079e-05,1.74129831660658,0.0126586746765661,0.000703062925420913,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"7",7,8225.251212377,1.28071726731974,0.699950173592472,0.00992559687397341,0.000802853292442906,0.683588568906441,4.4163016041229e-05,2.34202862300111,0.0170264111038888,0.00101873865732758,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"8",8,8224.48994297367,1.62834819880712,0.887846040822318,0.0126520343731682,0.00108830221416285,0.906295240051235,6.82100604792349e-05,3.10329802632848,0.0225618391907413,0.00142173853974393,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"9",9,8223.52397534061,2.06865822854211,1.12703088224939,0.0160996085414237,0.00144404164344358,1.18893247980514,0.000100418614661039,4.06926565939617,0.0295864297641917,0.0019349254464672,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"10",10,8222.29775572889,2.62720483966158,1.43100086425429,0.0204685334755794,0.00188944643657445,1.54777876363326,0.000142823656464941,5.29548527111775,0.0385047812995293,0.00258762196791298,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"11",11,8220.7410156456,3.33606848076759,1.81706207321652,0.0260102965477819,0.00244920868050032,2.00343727411142,0.000198021077297845,6.85222535440112,0.0498289397023709,0.00341720988058574,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"12",12,8218.76472187223,4.23577219067798,2.30724806832534,0.0330427486107801,0.00315469381183212,2.58203210615179,0.000269320193234494,8.82851912777095,0.0642081374430829,0.00447123179766533,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"13",13,8216.25602363926,5.37760101840833,2.92953568263552,0.0419684996065269,0.00404570031168253,3.31670552374139,0.000360936041100427,11.3372173607446,0.0824660066902625,0.00581009087912592,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
"14",14,8213.07191754458,6.82647078593263,3.71940164966868,0.0532978244545441,0.00517270407511366,4.24950225897109,0.000478232325178731,14.5213234554272,0.105647406820523,0.00751048281568863,"Malawi","Mangochi","STA Ntonda",348,8228.593241,"Adults",23406.555685,108
