"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,10458.45298,0,0.333,0,0,0,0,0,0,0,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"2",2,10458.1617307669,0.252416917609711,0.285496500064519,0.0018700092170904,3.49805149643166e-05,0.0844305163889109,3.0926372426596e-07,0.29124923305892,0.00212023719894841,3.65076587529647e-05,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"3",3,10457.8826042724,0.432807252706875,0.301488164472069,0.00325644052548275,0.000119906770431054,0.165701777224943,2.18587585444517e-06,0.570375727575655,0.0041522786588105,0.000130700621995103,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"4",4,10457.5684632191,0.599580607587907,0.355728981089243,0.00456670204692804,0.000240242763568896,0.257393571962278,6.67546841047098e-06,0.884516780918335,0.00643929104444602,0.000273206216180623,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"5",5,10457.1874513262,0.78366273178754,0.439704302989118,0.00602178761422041,0.000393409531151137,0.368731817670286,1.46241657245079e-05,1.26552867375804,0.00921322928430738,0.00046562363871694,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"6",6,10456.7115552958,1.00511344954209,0.553060121207099,0.00777014005523318,0.000583223611440666,0.507870868733048,2.69010168330646e-05,1.74142470416575,0.0126781087569732,0.000716060790655397,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"7",7,10456.1107404527,1.2808552795465,0.699999631494807,0.00994101869425873,0.000817703230449551,0.68358138692376,4.45274014080288e-05,2.34223954729119,0.017052715951025,0.00103757946923672,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"8",8,10455.3493355917,1.62857105079129,0.887927736886752,0.0126718860912678,0.00110844230175298,0.906296518985361,6.87732179662843e-05,3.10364440827439,0.0225969600743913,0.0014480443449342,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"9",9,10454.3831515591,2.06901601667045,1.12716393054256,0.0161251686975469,0.00147078197062837,1.18895129472901,0.000101248345777924,4.06982844095597,0.0296329050822005,0.00197074614435306,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"10",10,10453.1565867813,2.62777726916433,1.43121564739353,0.0205014937889943,0.00192446188703444,1.5478303415343,0.000144004901276429,5.29639321866946,0.0385659314496647,0.00263555786520373,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"11",11,10451.5992964715,3.33698254833224,1.81740692948865,0.0260529048827192,0.00249464119472163,2.00354684383095,0.000199660756516337,6.85368352848581,0.0499091301358742,0.00348056569936378,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"12",12,10449.622125547,4.23723051159052,2.30779999446958,0.0330980137818872,0.00321328210372433,2.58224109761407,0.000271553437057008,8.83085445299684,0.064313146578295,0.00455421255288047,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"13",13,10447.1120283395,5.37992725546285,2.93041748526224,0.0420404866836251,0.00412094593763451,3.3170815529342,0.000363934210720767,11.3409516604913,0.0826035461893979,0.00591805250322967,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"14",14,10443.9256896023,6.83018242827013,3.72080940544287,0.0533920849022466,0.00526908510123869,4.25015518066447,0.000482213367853566,14.5272903977488,0.105827866177354,0.00765025396049797,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"15",15,10439.8814771811,8.67043878801691,4.72404499655708,0.067801702695114,0.0067229607318348,5.43486109928572,0.000633271617125711,18.5715028189038,0.135315190705566,0.00985005499067837,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"16",16,10434.7493258719,11.0050135670948,5.99722382549772,0.0860919411575878,0.00856533652596531,6.93893360342762,0.000825854415565053,23.7036541281193,0.172751389085901,0.012643404343493,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"17",17,10428.2380253068,13.9657771219209,7.61263634480007,0.109305231611717,0.0109011563208446,8.84826376641954,0.00107107208488107,30.2149546931579,0.220274226646911,0.0161901086074498,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"18",18,10419.9793302009,17.7192097874129,9.66171902323707,0.138761781267926,0.0138634439851418,11.2717127309873,0.00138303221568384,38.473649799106,0.280593153103248,0.0206928549116733,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"19",19,10409.5080561747,22.4751756559206,12.2600140761477,0.176132648447785,0.017620780261354,14.3472010207371,0.00177964381807154,48.9449238253326,0.357140841973471,0.0264086586626266,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"20",20,10396.2375313325,28.4976401866572,15.5532925843813,0.223530678151346,0.0223866601952893,18.2493149299175,0.00228362818129134,62.2154486674839,0.45426247632032,0.0336632125970243,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"21",21,10379.4292057573,36.117760885668,19.7251542607091,0.28362434310371,0.0284313037501379,23.198879647619,0.00292380181114914,79.0237742426611,0.577453963046879,0.0428690325388354,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"22",22,10358.1555975979,45.7495795492879,25.0063037652242,0.359778711864063,0.0360964151672467,29.4748872691173,0.00373669146337264,100.297382402124,0.733658725330551,0.0545481917922882,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
"23",23,10331.2555497412,57.9085075432014,31.6857935591722,0.45622906473827,0.0458136061035379,37.429317917141,0.00476856847245352,127.197430258829,0.931636446163585,0.0693607897919421,"Malawi","Ntcheu","STA Tsikulamowa",148,10459.45298,"Adults",29717.386731,139
