"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,48800.16672,0,0.333,0,0,0,0,0,0,0,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"2",2,48800.0244758871,0.123086076694128,0.267627366853121,1.29531896648481e-05,8.39853834523967e-08,0.0845176285130719,3.68319963283913e-09,0.142244112918569,1.47065613265529e-05,8.76685830852358e-08,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"3",3,48799.9030746785,0.197845925769312,0.242124066510898,2.11706973037416e-05,2.78826768017741e-07,0.156653854164501,2.55492220682877e-08,0.263645321518004,2.72582171054622e-05,3.04375990086029e-07,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"4",4,48799.7882679312,0.248500140100326,0.238050641259886,2.69866100284985e-05,5.31317403202043e-07,0.224873693734642,7.57571495684877e-08,0.378452068779436,3.91281010839091e-05,6.07074552770531e-07,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"5",5,48799.6722866998,0.287705293047875,0.245902640427421,3.16343808160251e-05,8.1461025497684e-07,0.293792758102401,1.5964287819308e-07,0.494433300211646,5.11194434794234e-05,9.7425313316992e-07,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"6",6,48799.5506964083,0.322115379132171,0.260824983833094,3.57736471880562e-05,1.11571381631425e-06,0.366046059291446,2.80143527417708e-07,0.616023591761243,6.36907940626954e-05,1.39585734373196e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"7",7,48799.426907556,0.349916134572001,0.279661521764213,3.9754210000024e-05,1.42889531362538e-06,0.443193165506649,4.39071442691986e-07,0.73981244401962,7.71135451263713e-05,1.86796675631737e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"8",8,48799.2939324486,0.378820852987701,0.300853484044442,4.37380132367407e-05,1.75195493995409e-06,0.526067086616567,6.37776944280488e-07,0.872787551393832,9.15326509214322e-05,2.38973188423458e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"9",9,48799.1507503877,0.409440457370086,0.32417564779083,4.78218572511457e-05,2.08438690378987e-06,0.615302723443979,8.77449624568847e-07,1.01596961229867,0.00010705858781832,2.96183652835872e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"10",10,48798.9964005618,0.442184192312815,0.349580681450755,5.20757814499618e-05,2.42670353431437e-06,0.711498902671081,1.1592849715319e-06,1.17031943820461,0.000123795551566887,3.58598850584627e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"11",11,48798.8299193242,0.477362726490668,0.377120885434169,5.65546604468937e-05,2.78008313762133e-06,0.815256244600549,1.48458621331087e-06,1.33680067585518,0.000141848047465538,4.2646693509322e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"12",12,48798.6503044249,0.515244049194991,0.406905768887565,6.13050333939828e-05,3.14615281257096e-06,0.927199451005397,1.85483397480755e-06,1.51641557510813,0.000161324769141553,5.00098678737851e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"13",13,48798.4564952402,0.556079941866406,0.439082374649723,6.63688121984812e-05,3.52686723690491e-06,1.04799027593089,2.27173494470937e-06,1.7102247598614,0.000182340855830767,5.79860218161427e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"14",14,48798.252547398,0.595596879158858,0.473220880323869,7.17760311275296e-05,3.92439591935956e-06,1.17827640481103,2.73725238134634e-06,1.91417260197319,0.000205008997141648,6.6616483007059e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"15",15,48798.0329449403,0.638926786191071,0.509198155249183,7.7528652525073e-05,4.34081757403213e-06,1.31856499514004,3.25362124570309e-06,2.13377505967163,0.000229417428919777,7.59443881973522e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
"16",16,48797.7967520051,0.685940747357561,0.547482152635708,8.36426090982368e-05,4.77804527843736e-06,1.46945285094315,3.82332357011467e-06,2.36996799491436,0.000255669986069277,8.60136884855203e-06,"Malawi","Mulanje","TA Chikumbu",363,48801.16672,"Pediatrics",89969.425873,75
