"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,9003.546253,0,0.333,0,0,0,0,0,0,0,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"2",2,9003.4073988072,0.120148265014607,0.267216918036153,1.23695356493599e-05,8.02224036569172e-08,0.0844765564755211,3.51854507836371e-09,0.138854192802879,1.40443546240655e-05,8.37409487352809e-08,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"3",3,9003.28922671751,0.192826377117563,0.240805358297416,2.01863654128502e-05,2.6613512393582e-07,0.156374070173219,2.43964242134071e-08,0.257026282485158,2.59969963758347e-05,2.90531548149227e-07,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"4",4,9003.17798769455,0.241614321895238,0.235568679871495,2.56720370587318e-05,5.06535211651987e-07,0.224056052823379,7.2289390144077e-08,0.368265305451772,3.72485290946531e-05,5.78824601796063e-07,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"5",5,9003.06619255385,0.278874628932455,0.242076522721993,3.00044012947739e-05,7.7540443305364e-07,0.292078362487835,1.52198086980839e-07,0.480060446146097,4.85564516954634e-05,9.27602520034479e-07,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"6",6,9002.9495924161,0.311120870775211,0.255478702294089,3.38145954365264e-05,1.06001060432692e-06,0.363025869435687,2.66786756196084e-07,0.596660583897783,6.03505426469864e-05,1.326797360523e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"7",7,9002.82559448956,0.341830804745766,0.273312382039187,3.74480622024892e-05,1.35463798304558e-06,0.438476103344045,4.17613242110492e-07,0.720658510442425,7.28930867056106e-05,1.77225122515607e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"8",8,9002.69243773356,0.372906361031762,0.294364847669403,4.11004824432942e-05,1.65730965180357e-06,0.519500694168529,6.05778730323707e-07,0.85381526644052,8.63622500858398e-05,2.26308838212728e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"9",9,9002.54876001963,0.405436144536353,0.318080471808168,4.48891311234517e-05,1.96806065174342e-06,0.606928674555999,8.32275795211295e-07,0.99749298036809,0.000100895860062546,2.80033644695471e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"10",10,9002.39336978293,0.440093276876246,0.34425226901156,4.88903947341783e-05,2.28802830918628e-06,0.701485394580412,1.09817707747113e-06,1.15288321706834,0.000116614502467326,3.38620538665741e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"11",11,9002.22512417392,0.47734294470598,0.372862043434316,5.31595701438458e-05,2.61897406074856e-06,0.803866654659208,1.40473982254865e-06,1.32112882608353,0.00013363384780979,4.02371388329721e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"12",12,9002.04286190113,0.517551807937281,0.403997261038129,5.7741479242823e-05,2.9630317321909e-06,0.914779571921918,1.75346661087319e-06,1.50339109887491,0.000152071446104105,4.7164983430641e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"13",13,9001.84536466557,0.561045677731489,0.437808455220743,6.26762079483429e-05,3.32257812388127e-06,1.03496605654459,2.14614298911965e-06,1.70088833442589,0.000172050630208361,5.46872111300092e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
"14",14,9001.63133355721,0.608139730709401,0.474488235548821,6.80022266863779e-05,3.70017092662693e-06,1.16521718927142,2.58486305252912e-06,1.91491944279031,0.000193702906269499,6.28503397915605e-06,"Malawi","Machinga","TA Kapoloma",332,9004.546253,"Pediatrics",15867.544769,143
