"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,79689.26633,0,0.333,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"2",2,79689.1308338497,0.117238360095811,0.266810085739916,1.30965031036274e-05,8.49595089383781e-08,0.0844345192670922,3.72670499626599e-09,0.135496150292137,1.48702273823203e-05,8.86862139346441e-08,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"3",3,79689.015844629,0.187867780110915,0.239501420118159,2.13407452651864e-05,2.81643797556496e-07,0.156094522542259,2.58281530189017e-08,0.250485370988549,2.74901842766943e-05,3.07471950575398e-07,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"4",4,79688.9107691741,0.232516230291472,0.232803242614861,2.70724343014675e-05,5.35403397057671e-07,0.223213668714038,7.64810565108793e-08,0.355560825939126,3.93101233728385e-05,6.11884453568551e-07,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"5",5,79688.8059643859,0.265935159380286,0.237236457068934,3.15196176392756e-05,8.18135008211392e-07,0.290161499086655,1.60868143240264e-07,0.460365614156666,5.10996806683087e-05,9.79003151451656e-07,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"6",6,79688.6976140237,0.294191515591139,0.248112699945593,3.53418857183402e-05,1.11568818958269e-06,0.359375021610532,2.8162243134832e-07,0.568715976343603,6.32880981369603e-05,1.39731062093101e-06,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"7",7,79688.5834371061,0.320530818630723,0.263010254970577,3.89023360299638e-05,1.42135880066593e-06,0.432311056510219,4.4012276473009e-07,0.682892893929115,7.61319673378842e-05,1.86148156539602e-06,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"8",8,79688.461940917,0.346716432492625,0.28070485882492,4.24063099431051e-05,1.73245946727156e-06,0.509923015776819,6.37185461095686e-07,0.804389083049236,8.979920851045e-05,2.36964492836724e-06,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"9",9,79688.3320238287,0.37373944075047,0.300603274624163,4.59754148549081e-05,2.04847586879842e-06,0.592914558598347,8.73440839845474e-07,0.934306171304544,0.000104413749027786,2.9219167086439e-06,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
"10",10,79688.192765923,0.402189086512769,0.3224486111015,4.96864966264276e-05,2.37008855832557e-06,0.681873173263423,1.14953922503529e-06,1.0735640770021,0.000120079052293645,3.51962778336085e-06,"Malawi","Lilongwe","TA Malili",58,79690.26633,"Pediatrics",145542.93269,85
