"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,23458.79963,0,0.333,0,0,0,0,0,0,0,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"2",2,23458.6641382863,0.117234504435146,0.26680955783466,1.32291788328777e-05,8.5820230868415e-08,0.0844343327090825,3.7644606244773e-09,0.135491713742413,1.50208726627355e-05,8.95846914928923e-08,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"3",3,23458.5491507285,0.187864187461754,0.239498983103356,2.15569837863733e-05,2.84494749890467e-07,0.156094233372162,2.60902161189812e-08,0.250479271506024,2.77686831065622e-05,3.10584966009448e-07,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"4",4,23458.4414046802,0.234837364172723,0.233116511689367,2.73517173438545e-05,5.40845310594359e-07,0.223243474175615,7.72557365180022e-08,0.358225319856095,3.97137382861018e-05,6.18101047112361e-07,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"5",5,23458.3336801792,0.270227146181952,0.238309009204352,3.1873378463836e-05,8.26645187015342e-07,0.290380802899358,1.62508864677766e-07,0.465949820818177,5.16564594976982e-05,9.89154051693108e-07,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"6",6,23458.2219032374,0.300410038503385,0.25023471744884,3.57986680141447e-05,1.12793950029914e-06,0.360044795449424,2.84552432974729e-07,0.577726762561596,6.40485066796221e-05,1.41249193327387e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"7",7,23458.103619419,0.328791375427929,0.266412843797177,3.9497938660136e-05,1.43833374778604e-06,0.433764980671848,4.44869578634683e-07,0.69601058103894,7.71620051885504e-05,1.88320332642072e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"8",8,23457.9803356535,0.354489028686723,0.28523833213193,4.31740409210656e-05,1.75544832812316e-06,0.512521411765732,6.44415369581385e-07,0.819294346489003,9.11713148751566e-05,2.39986369770455e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"9",9,23457.848211667,0.381507463618539,0.305933570573965,4.69279189801793e-05,2.07888723610696e-06,0.596927407988617,8.83994119393502e-07,0.951418332981457,0.000106185546090189,2.96288135550047e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"10",10,23457.7064331594,0.410225255656466,0.328415441155731,5.08238930586259e-05,2.40923030192132e-06,0.687501746219399,1.16442436535469e-06,1.09319684057932,0.000122296986404146,3.57365466727601e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"11",11,23457.5542002984,0.440916254378156,0.352698816481403,5.4911019322732e-05,2.74763911905002e-06,0.784755485431717,1.48663731465124e-06,1.24542970158703,0.000139596547996757,4.23427643370126e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"12",12,23457.390693171,0.473803809145519,0.378856299016757,5.92295332262545e-05,3.09566030880489e-06,0.889212543924655,1.85173447445765e-06,1.40893682901494,0.000158177428891505,4.94739478326254e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"13",13,23457.2150509887,0.509091815195657,0.406994681327524,6.38149313486653e-05,3.45509927988504e-06,1.001422983685,2.26102798180546e-06,1.58457901126679,0.000178137476582475,5.71612726169049e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"14",14,23457.0263594024,0.546980271400339,0.437244196699481,6.87002289326321e-05,3.82794994601924e-06,1.1219708852348,2.71606806450801e-06,1.77327059758156,0.000199580589143177,6.54401801052724e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"15",15,23456.8081402294,0.60119828975392,0.471552289706989,7.39471118120945e-05,4.21644626120892e-06,1.25165780897247,3.21866581901034e-06,1.99148977065727,0.00022264935341648,7.43511208021926e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"16",16,23456.5721511156,0.657449819234087,0.511034338292331,7.97005297940788e-05,4.62385203728142e-06,1.39190663156711,3.77096577630337e-06,2.22747888444113,0.000247596886065775,8.39481781358478e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"17",17,23456.316065393,0.717248096965786,0.555120622762755,8.60656261492584e-05,5.05457929637747e-06,1.54410039145975,4.37559993914084e-06,2.48356460699368,0.000274669210859625,9.4301792355183e-06,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"18",18,23456.0377135849,0.781597242527299,0.603686687002994,9.31099503151948e-05,5.51350444071768e-06,1.70952882636906,5.03578551753771e-06,2.76191641513962,0.000304095749480303,1.05492899582554e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"19",19,23455.7349212648,0.851258976698933,0.656852384808703,0.000100886850774426,6.00562156017436e-06,1.88948472582287,5.75535910343628e-06,3.06470873516194,0.000336106464046638,1.17609806636106e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"20",20,23455.4054193677,0.926889255561081,0.714881614101149,0.000109446859558285,6.53594138944706e-06,2.08531724102752,6.53878270539745e-06,3.3942106322734,0.000370941341455175,1.30747240948445e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"21",21,23455.0467859357,1.00911314232489,0.778131086474559,0.000118843565144815,7.10949697560814e-06,2.29846649127553,7.39115226406421e-06,3.75284406428937,0.000408856549938263,1.45006492396723e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"22",22,23454.6286184932,1.12282851404834,0.8502407274765,0.000129189223472964,7.73154595545264e-06,2.53079702629672,8.31818100110122e-06,4.17101150677199,0.000450183762604042,1.60497269565539e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"23",23,23454.1704582828,1.24318716878946,0.933477426745821,0.000140754184163243,8.40912718855036e-06,2.78534863198189,9.32634974033148e-06,4.62917171717826,0.00049546372274088,1.77354769288818e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"24",24,23453.6668129185,1.37330921365851,1.02715750400884,0.000153749071238534,9.15138982773425e-06,3.06517704024971,1.042315660643e-05,5.13281708153473,0.000545239999921819,1.95745464341642e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"25",25,23453.1123066412,1.51544545846243,1.13141721520811,0.000168328068508528,9.96849172676754e-06,3.37327077124668,1.16173147970045e-05,5.68732335879225,0.000600044198983969,2.1585806523772e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"26",26,23452.5013627593,1.67146758102275,1.24686077449055,0.000184629361618984,1.08710841070918e-05,3.71273046590475,1.29188410812987e-05,6.29826724070486,0.000660427865386793,2.37899251883904e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"27",27,23451.8280145546,1.84312392026532,1.37438849412509,0.000202794998824544,1.18702023022494e-05,4.0868740267387,1.43391072734439e-05,6.9716154454375,0.00072698119033841,2.62093095756933e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"28",28,23451.0857760529,2.03218160688391,1.51511139418269,0.000222981363840974,1.29773321938436e-05,4.49930909647483,1.58908948440377e-05,7.7138539471323,0.000800345904598599,2.88682270378813e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"29",29,23450.3400458662,2.17721998531497,1.66192858524321,0.000245226381736855,1.42041188253741e-05,4.95315854426601,1.7588436612687e-05,8.45958413376136,0.000881077490498076,3.1792555438061e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"30",30,23449.5250044997,2.34652969015544,1.81157993401638,0.000269195874785066,1.55587616679216e-05,5.44921167422353,1.94472589886767e-05,9.27462550029079,0.000969316287917033,3.50060206565984e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"31",31,23448.6381051522,2.53634076280542,1.96883147094688,0.000294756925376122,1.7045431371415e-05,5.98901932802038,2.14836287677017e-05,10.1615248477582,0.00106533812815846,3.85290601391167e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"32",32,23447.6750371218,2.74533676591743,2.13668138160478,0.000321974031587201,1.86675697468709e-05,6.57521037476975,2.37142600981106e-05,11.1245928781534,0.00116961062848683,4.23818298449814e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"33",33,23446.630316829,2.97353869681998,2.31724844638731,0.000351008996337909,2.04296293007092e-05,7.21112843277158,2.6156348762757e-05,12.1693131709533,0.00128272855760723,4.65859780634662e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"34",34,23445.4975758539,3.22173031122764,2.51223376961867,0.000382072577963905,2.23377553253419e-05,7.90065682711886,2.8827750380348e-05,13.3020541460488,0.0014053826920777,5.11655057056899e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"35",35,23444.2696963343,3.49114948733595,2.72317618528169,0.000415400669018072,2.44000187474752e-05,8.64813644519086,3.17472078489351e-05,14.5299336657041,0.00153834520094628,5.61472265964103e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"36",36,23442.9388518809,3.78334302378663,2.95158117563913,0.000451245134504564,2.66264131619067e-05,9.45834111348008,3.49345933324071e-05,15.8607781190468,0.00168246526439084,6.15610064943138e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"37",37,23441.496505504,4.10009171202429,3.19899629464177,0.000489870535214886,2.90287967410963e-05,10.3364791788743,3.84111442198468e-05,17.3031244960165,0.00183866935443375,6.74399409609431e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"38",38,23439.9333789154,4.44337914960006,3.46705399494202,0.000531554374287047,3.16208182446346e-05,11.2882125651162,4.21996942722235e-05,18.8662510845451,0.00200796462462421,7.38205125168581e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"39",39,23438.2394067655,4.81538197624606,3.75749887002021,0.000576588735394987,3.44178686182801e-05,12.3196850567035,4.63248916756593e-05,20.5602232344655,0.00219144394127377,8.07427602939393e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"40",40,23436.403678949,5.21847125238767,4.07220833255818,0.000625282609887409,3.7437061474472e-05,13.4375579329639,5.08134191416588e-05,22.3959510510002,0.00239029222221003,8.82504806161308e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"41",41,23434.4143770646,5.65522099341533,4.41320836112421,0.000677964456736334,4.06972446804926e-05,14.649049224929,5.5694203481195e-05,24.3852529353734,0.00260579341997009,9.63914481616876e-05,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"42",42,23432.2587018532,6.12842038763403,4.78268896682636,0.000734984942764645,4.42190408832491e-05,15.9619785896959,6.0998637189867e-05,26.5409281467771,0.00283933850422697,0.000105217678073116,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
"43",43,23429.9227932047,6.64108949346102,5.18301896239793,0.000796719785906471,4.80249175014015e-05,17.3848168338746,6.67608067624277e-05,28.8768367952438,0.00309243427118305,0.000114785724263829,"Malawi","Neno","TA Mlauli",377,23459.79963,"Pediatrics",41649.144381,81
