"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,45954.01841,0,0.333,0,0,0,0,0,0,0,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"2",2,45953.7199017478,0.25872725387776,0.286358528993529,0.00185013304000119,3.38836055368726e-05,0.0845381496030665,3.03072696324565e-07,0.29850825219259,0.0020975664938499,3.53625424330093e-05,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"3",3,45953.4322999566,0.444972419293112,0.304449733116357,0.00323138398799559,0.000116322948514793,0.166338040039631,2.14403917505529e-06,0.586110043424785,0.00411850803848824,0.000126785450354141,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"4",4,45953.1062317799,0.619188693027492,0.361898936446517,0.00455126956708412,0.000233614615918698,0.25929914953164,6.5569068754393e-06,0.912178220095527,0.00640976332404093,0.000265611069641586,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"5",5,45952.7078572771,0.813634845957278,0.450489673929073,0.00603273128014952,0.000383736990319948,0.372997343582935,1.43911014011443e-05,1.31055272284116,0.00920913150931593,0.000453962817642264,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"6",6,45952.2068481859,1.04966917602698,0.5704100106856,0.00782865505845089,0.000570981144233484,0.516056458974668,2.65321414703048e-05,1.81156181403141,0.0127297587573001,0.000700452929154458,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"7",7,45951.600866099,1.31887634339491,0.723178379972145,0.010068003237545,0.000803818603599878,0.697573323873192,4.40318289590151e-05,2.41754390091035,0.0171957960903092,0.00101868552246654,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"8",8,45950.8339544184,1.66190414967755,0.914185926911769,0.0128663648222992,0.00109374143827637,0.927337199070749,6.81996811735316e-05,3.18445558160181,0.0228479555986677,0.0014265428618803,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"9",9,45949.8651074716,2.09628934145368,1.15444720724236,0.0163689543042332,0.00145519417251058,1.21764115550347,0.000100675723023604,4.15330252839927,0.0299885182675236,0.00194647248009326,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"10",10,45948.6419353593,2.64515728079578,1.45731355788359,0.0207634361446343,0.00190651402801075,1.58419033410024,0.00014351768282145,5.37647464063508,0.0390037146235635,0.00260685292012061,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"11",11,45947.098039283,3.33813490862721,1.83938656833677,0.0262878005479369,0.00247102113971871,2.04689110400736,0.000199314335447808,6.92037071699444,0.0503830988210201,0.00344363704407937,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"12",12,45945.1495152286,4.21279871341895,2.32150276042021,0.0332422238067021,0.00317831357592582,2.63090143127522,0.000271328855560934,8.86889477135257,0.0647453649962251,0.00450234658959555,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"13",13,45942.6904241735,5.31664862745186,2.92990921074614,0.0420050158501383,0.00406588866880233,3.36799340307586,0.000363680654352436,11.3279858264472,0.0828718480281782,0.00584058082898615,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"14",14,45939.665516046,6.64089641784935,3.68887308252447,0.0530333451473329,0.00518098755861589,4.29742855050173,0.000481570353827993,14.3528939539353,0.105727836390099,0.00753095894501597,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"15",15,45935.8632011921,8.31575289709067,4.63252937241443,0.0668450155661304,0.00658153929639362,5.46586843913048,0.000631544375482578,18.1552088078736,0.134459989127011,0.00966335527578022,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"16",16,45931.0913206966,10.422197600139,5.81216254497992,0.08411712436088,0.0083385734685622,6.93245166837594,0.000821792071028638,22.9270893033954,0.170522020407401,0.0123487618805705,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"17",17,45925.1062792384,13.0660301378396,7.28961320849577,0.105723275120536,0.010540812369843,8.77216078958588,0.00106253812512693,28.9121307615367,0.215757442434371,0.0157257955631799,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
"18",18,45917.6016039631,16.3817264816474,9.14127252211574,0.132767708858941,0.0132997244777453,11.0793730401793,0.00136655957471357,36.4168060368538,0.272486709191092,0.0199682743020041,"Malawi","Mulanje","TA Nkanda",367,45955.01841,"Adults",126466.35971,75
