"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,20504.26055,0,0.333,0,0,0,0,0,0,0,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"2",2,20503.9402675748,0.277660474635556,0.288940180132816,0.00185631854289624,3.39433495860481e-05,0.0847912050774881,3.03409262382638e-07,0.320282425147605,0.00210417596510548,3.54239364537471e-05,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"3",3,20503.6268301991,0.48183867435562,0.313368830417423,0.00327090048098734,0.000117056173648856,0.168122187320359,2.152191523146e-06,0.633719800939561,0.00416341348053619,0.000127558511253581,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"4",4,20503.2637683983,0.679366680449808,0.38063968548746,0.00466651104029108,0.0002367528827916,0.264865362270627,6.6095408502422e-06,0.996781601671827,0.00654871911971614,0.00026900634568044,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"5",5,20502.8516281524,0.870982085977018,0.478992909963284,0.00627087593516642,0.000392385793862604,0.385269003166738,1.4586736784249e-05,1.40892184757285,0.00951440125410226,0.000463566649568009,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"6",6,20502.3311329894,1.10980469019559,0.606370463288626,0.00821401078259455,0.000589099925168557,0.537411684610749,2.70618564777881e-05,1.92941701065921,0.0132598697739284,0.000721157295474012,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"7",7,20501.6714045412,1.41109063999649,0.769238167385146,0.01061847177042,0.000835507440432711,0.730317481754197,4.51904433996904e-05,2.58914545879008,0.0180073937297277,0.00105602930755586,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"8",8,20500.834134824,1.79281739149296,0.976565626314675,0.0136273775983947,0.00114364234500355,0.975190746350501,7.0391910291682e-05,3.42641517601182,0.0240327564014989,0.00148714318987451,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"9",9,20499.7710888424,2.27718229233306,1.24008335929042,0.0174158084193554,0.00152945047527257,1.28614580452581,0.000104442579160776,4.48946115762308,0.031683259368985,0.00203911293554066,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"10",10,20498.4212027731,2.89209235485998,1.5748324151464,0.0222023515252786,0.00201359506100958,1.68105692466276,0.000149585602349676,5.83934722685778,0.0413986577380471,0.00274354798563874,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"11",11,20496.7070356281,3.6728456410644,1.99997584651406,0.0282622376158341,0.00262258433018003,2.18259939683891,0.00020866555373709,7.55351437191712,0.0537367815743921,0.00364083761677436,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"12",12,20494.5303199275,4.6641847586483,2.53986971630022,0.0359433959923243,0.00339025352540039,2.81955665166726,0.000285296396474614,9.73023007252999,0.0694056956396495,0.00478245261222149,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"13",13,20491.7663635454,5.92285209668306,3.22543704542665,0.045686436229943,0.00435967122507518,3.6284671328597,0.000384072175682145,12.4941864546001,0.0893042132061489,0.00623387972846107,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"14",14,20488.256944302,7.52081432183541,4.0959269917021,0.0580498858761299,0.00558558963168066,4.65571807478509,0.000510834194659045,16.0036056980251,0.114573400531001,0.00807837575905326,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"15",15,20483.801349347,9.54932192555163,5.20113483833032,0.0737420127845413,0.00713755284592019,5.96019131528763,0.000673008175477617,20.4592006529755,0.146661659344689,0.0104217210965572,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"16",16,20478.1450486007,12.1240254564977,6.60421464036204,0.0936610508236316,0.00910385023237879,7.61661636975754,0.000880031593726439,26.115501399267,0.187407204603556,0.0133982584208421,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
"17",17,20470.9653855731,15.3914242606335,8.3852331657632,0.118946111834944,0.0115965353810916,9.71982045750286,0.0011438957993907,33.295164426915,0.239142603570142,0.0171785571206194,"Malawi","Mulanje","TA Nthiramanja",368,20505.26055,"Adults",56429.362549,105
