"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,5908.533651,0,1,0,0,0,0,0,0,0,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"2",2,5908.02926859287,0.436570691434813,0.813019137215025,4.58805126434615e-05,2.96881332125267e-07,0.254746388076843,1.30094896257848e-08,0.504382407130146,5.20783290784826e-05,3.09890821751051e-07,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"3",3,5907.58962864575,0.709847728421517,0.757276866630002,7.58405125790847e-05,9.91211483954278e-07,0.476820836933151,9.05387616345563e-08,0.944022354247493,9.74755174908614e-05,1.08175024558883e-06,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"4",4,5907.1596084837,0.90766052326432,0.772220562591412,9.83731667887865e-05,1.90563836473722e-06,0.694060881776977,2.69859574580069e-07,1.37404251629744,0.000141883125575132,2.17549793931729e-06,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"5",5,5906.7278750437,1.05822409551734,0.825763326050891,0.00011783695581148,2.95604681349164e-06,0.921667169182233,5.72553773829503e-07,1.80577595630687,0.000188408967557903,3.52860058732115e-06,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"6",6,5906.26055334762,1.20258099584744,0.902318542650735,0.000136416734122229,4.10491243642436e-06,1.16805657929112,1.01294353180172e-06,2.27309765237939,0.000238773853486751,5.11785596822608e-06,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"7",7,5905.74694821354,1.35151267602032,0.996155576892756,0.000155322682719766,5.33815838975875e-06,1.43887227042173,1.60228064843407e-06,2.78670278645657,0.000294131463483622,6.94043903819282e-06,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"8",8,5905.17843351336,1.51136128133556,1.10500264188253,0.000175304237906052,6.65450170274407e-06,1.73866925374666,2.35093510672889e-06,3.35521748663946,0.000355412974095511,9.00543680947296e-06,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"9",9,5904.54707416735,1.68631061732397,1.22841725364266,0.000196881415600518,8.06008932329982e-06,2.07164075055907,3.26961832282711e-06,3.98657683264894,0.000423475568523056,1.13297076461269e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"10",10,5903.84488183521,1.87956267803186,1.36696113594737,0.00022046590241901,9.56572030306175e-06,2.4420109490674,4.37012149994484e-06,4.68876916479086,0.000499182738479142,1.39358418030066e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"11",11,5903.06339588738,2.09394096406139,1.52179436220542,0.000246424596439621,1.11854497209682e-05,2.85425651050884,5.66579904364252e-06,5.47025511262086,0.000583449571731836,1.68512487646107e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"12",12,5902.19342037392,2.33221133330183,1.69447802208897,0.000275114551303303,1.29359077868682e-05,3.31324604830647,7.17192804913766e-06,6.3402306260844,0.000677271268023419,2.01078358360058e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"13",13,5901.22483608877,2.59725872879844,1.88688529183246,0.000306903164189605,1.48360125619874e-05,3.82434024540789,8.90600956268252e-06,7.30881491122511,0.000781743606683003,2.37420221246699e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"14",14,5900.14644597315,2.89219180783408,2.10116859063429,0.000342180836667922,1.69069052665511e-05,4.39347465258988,1.08880465409225e-05,8.38720502684673,0.000898079872817393,2.77949518074736e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"15",15,5898.94582730361,3.22041600177046,2.33975476313457,0.000381370290097517,1.9172014197898e-05,5.0272392483532,1.31408273437684e-05,9.58782369638988,0.00102762712093084,3.23128415416663e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"16",16,5897.60918479735,3.58568725264463,2.6053587710096,0.000424933763232944,2.165721326189e-05,5.73295789779947,1.56902194507512e-05,10.9244662026497,0.00117188241748577,3.73474327126412e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"17",17,5896.12119299673,3.99216229498642,2.9010054113242,0.000473379780471233,2.43910389170718e-05,6.51877396065115,1.85654890717196e-05,12.4124580032702,0.00133251034024706,4.29565279887913e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"18",18,5894.46482756461,4.4444464797665,3.23005815603403,0.000527269632043818,2.74049592814654e-05,7.3937423253457,2.17996486684096e-05,14.0688234353862,0.00151136179104132,4.9204607949875e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"19",19,5892.62117838478,4.94764421719938,3.59625317931635,0.000587224155595052,3.07336925651591e-05,8.36793183100617,2.54298462464036e-05,15.9124726152163,0.0017104949318263,5.61635388115626e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"20",20,5890.56925307422,5.50741027672525,4.0037363331469,0.000653930610304902,3.4415554877793e-05,9.45253347196687,2.94977797427514e-05,17.9643979257839,0.00193219730271579,6.39133346205445e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"21",21,5888.2857393577,6.13001068602855,4.45710836590897,0.000728150811062391,3.84928904316299e-05,10.6599918964553,3.40502040905908e-05,20.2479116422984,0.0021790127015068,7.25430945222207e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"22",22,5885.74477757718,6.82237972453947,4.96146853797539,0.000810728737227732,4.30124935898742e-05,12.0041322796462,3.91394254307404e-05,22.7888734228173,0.00245376711764002,8.21519190206146e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"23",23,5882.91768512729,7.5921888302482,5.52246680485478,0.000902599813446042,4.80261180860711e-05,13.5003147877666,4.48239065423867e-05,25.6159658727076,0.0027596003060152,9.28500246284578e-05,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
"24",24,5879.77266504053,8.44791790082835,6.14635919045008,0.00100480058624893,5.35910245973414e-05,15.1655993076644,5.11689190459404e-05,28.7609859594727,0.00309999945911456,0.000104759943643282,"Malawi","Thyolo","Luchenza Town",20,5909.533651,"Pediatrics",11443.0803763,105
