"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,598.3303502,0,0.333,0,0,0,0,0,0,0,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"2",2,592.745147541066,4.972688241858,0.811247119230841,0.0131305252916885,0.000368865484229225,0.120759207534685,8.69953414229197e-06,5.58520265893359,0.0145378249724297,0.000383474892983193,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"3",3,570.660611606974,23.6076007862135,3.71727328444147,0.0639095335763409,0.00242766471900866,0.611433663419789,9.36606557819883e-05,27.6697385930259,0.073395949270113,0.00258495208429777,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"4",4,480.219660338953,98.8037880086638,16.4916963003161,0.293545339126081,0.0119837916329671,2.84213308372246,0.000543337585643155,118.110689861047,0.340872736905047,0.0128962359949549,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"5",5,241.474033610949,284.793242999079,59.4055540362439,1.19593930376139,0.0529924138705996,11.7389693337029,0.00261850239337149,356.856316589051,1.40655172632878,0.0573897495396482,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"6",6,38.784680882809,386.363648946606,133.205034285977,3.59134525826977,0.192479962599962,36.5153131249699,0.0108477387671682,559.545669317191,4.36457374018735,0.210696920785733,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"7",7,1.68200607901913,320.793926323687,188.998408137187,7.31980938153035,0.517491171288206,79.315771346801,0.0359377604862925,596.648344120981,9.44041164382236,0.577842613567633,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"8",8,0.0349918763065828,242.399377127885,211.186659006954,11.2555585179423,1.05571351848275,132.637813021587,0.0932371308428574,598.295358323694,15.7044934054941,1.21228964465812,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"9",9,0.000602345980554958,182.185265974112,210.753005110752,14.5789056411508,1.76559970629656,189.182588092689,0.19738332901855,598.32974785402,22.2748687418505,2.09707190787483,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"10",10,1.19517233328389e-05,136.908595345119,197.492720984104,16.9544187962089,2.5747424884121,244.374317856823,0.358542777609553,598.330338248277,28.613035960267,3.17685495882777,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"11",11,2.42009923881843e-07,102.883711659703,177.806656983912,18.3384462440765,3.40824939264911,295.645009848146,0.581275829503441,598.33034995799,34.4286034091134,4.3844046732789,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"12",12,1.16903666536886e-08,77.3147524566622,155.707659503702,18.8360491494789,4.20268075851083,341.737267452023,0.864940867932263,598.33035018831,39.5898632655834,5.65520390296335,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"13",13,-6.16767825444436e-09,58.1003044937532,133.610770546305,18.6146266625689,4.91116447787262,382.221707194203,1.20477683146493,598.330350206168,44.0628585177747,6.93438513547256,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"14",14,1.90978898225462e-06,43.661059665228,112.880041270616,17.8546140654586,5.50367152834032,417.170792311991,1.59316944857687,598.330348290212,47.8708959786114,8.17913245623555,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"15",15,4.37504491268759e-07,32.8102982898082,94.2011522234595,16.7235377175487,5.96492620054339,446.942600513355,2.02083481778074,598.330349762496,51.0682263608811,9.35857940016524,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"16",16,8.39122508948937e-08,24.6561912833315,77.8346596827342,15.3640998133964,6.29140122281871,472.039189103827,2.47780900998007,598.330350116088,53.7232003962484,10.4524659475473,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"17",17,2.01252543253476e-08,18.5285521814344,63.7848808299343,13.8906077788749,6.48819770058794,493.01690630146,2.9542053875826,598.330350179875,55.9079153361994,11.4492902538723,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"18",18,6.87053657026419e-09,13.9237725331695,51.9111302113049,12.3899316551148,6.56622900887888,510.431537583139,3.44074920152199,598.33035019313,57.692132288958,12.3443903084079,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"19",19,2.968640657711e-09,10.46340504567,41.9995633871998,10.9247010998425,6.53987677842527,524.806683797981,3.92912008791261,598.330350197032,59.1399817932092,13.1381750859962,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"20",20,1.41773435586780e-09,7.86301453817679,33.8082913388081,9.53736316757417,6.42515879054041,536.617383094069,4.4121392694134,598.330350198583,60.3084517329479,13.8346068152263,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"21",21,7.75430209051816e-10,5.90887850611766,27.0944117558027,8.25429605719468,6.23838344772537,546.283542712251,4.88383772013283,598.330350199225,61.2469832734064,14.4399699205693,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"22",22,5.33620941243049e-10,4.44038868909737,21.6295185211394,7.08957262919224,5.9952113687337,554.169218000222,5.33944099108134,598.330350199467,61.9976970428327,14.9619071343355,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"23",23,3.74678638773804e-10,3.33684696552859,17.2074854736382,6.04820944979049,5.71005187719587,560.585459811015,5.77529662245765,598.330350199626,62.59598002153,15.4086940864054,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"24",24,2.77948532433449e-10,2.50756514930069,13.6474786062715,5.12882680511719,5.39572182446615,565.79499111045,6.18876670411694,598.330350199722,63.0712313423003,15.7887177004004,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"25",25,2.18587459856705e-10,1.88437797455369,10.7941640138648,4.32576627594324,5.06329292120235,570.017645943178,6.57810307103903,598.330350199782,63.4476504333177,16.1101139369792,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"26",26,1.8138196829887e-10,1.4160667160989,8.51616047244858,3.63071626142601,4.72207957794857,573.436011229931,6.94231594196607,598.330350199819,63.7450083493639,16.3805350350413,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
"27",27,1.56555713503825e-10,1.06414082361535,6.70374245361983,3.03392208453093,4.37971679344605,576.200782391351,7.2810456532801,598.330350199844,63.9793532231212,16.6070119985941,"Malawi","Kasungu","STA Chisikwa",23,599.3303502,"Elderly",8239.9726832,104
