"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,5768.233335,0,0.333,0,0,0,0,0,0,0,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"2",2,5768.08942563033,0.124529235340894,0.267828998532114,1.37000570847821e-05,8.88163161483172e-08,0.0845373430270823,3.89485932850995e-09,0.143909369668351,1.55542805943186e-05,9.27111754768271e-08,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"3",3,5767.96643603404,0.200312665238434,0.242773414834308,2.24077497589341e-05,2.94977150074446e-07,0.156790156135265,2.70238082909922e-08,0.266898965958724,2.88477689262429e-05,3.22000958365438e-07,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"4",4,5767.84576286707,0.255466064819385,0.239754129966018,2.86045214254107e-05,5.62437790211399e-07,0.225322691024346,8.01570683263012e-08,0.387572132926033,4.14564185961647e-05,6.425948585377e-07,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"5",5,5767.72312058468,0.29875710975163,0.249446609984691,3.36250861170222e-05,8.63293090796861e-07,0.294976038197845,1.69005232922235e-07,0.510214415318607,5.42710525914041e-05,1.0322983237191e-06,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"6",6,5767.59353896598,0.33740339441848,0.266780150660368,3.81841798720119e-05,1.18452529762662e-06,0.368572823415505,2.96818673910255e-07,0.639796034018197,6.78110593027494e-05,1.48134397153688e-06,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"7",7,5767.4538781503,0.375266347107635,0.289249428920542,4.26719709684949e-05,1.52087045146776e-06,0.447896415073504,4.65760186932218e-07,0.779456849703289,8.24045837364945e-05,1.98663063839998e-06,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"8",8,5767.30188983976,0.414483279857155,0.315687912498202,4.73109715096332e-05,1.87116853601914e-06,0.534224108131243,6.77614986212332e-07,0.931445160241632,9.82866419542627e-05,2.54878352223147e-06,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"9",9,5767.13571789084,0.456327506666816,0.345623500415047,5.22390052449046e-05,2.23644023420688e-06,0.628610692460265,9.34174610398306e-07,1.09761710916222,0.000115651302137008,3.17061484460518e-06,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"10",10,5766.95363938556,0.501642926812669,0.378955864708109,5.75513663924379e-05,2.61892286676675e-06,0.732035415180636,1.23744520530789e-06,1.27969561443588,0.000134678727833931,3.85636807207464e-06,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"11",11,5766.74713696435,0.557000094695048,0.416574413914976,6.33362134591923e-05,3.02161138525968e-06,0.845555579461193,1.58974998698711e-06,1.48619803564605,0.000155563440904128,4.61136137224679e-06,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
"12",12,5766.51979367902,0.616780626110786,0.459150449560075,6.97116020758258e-05,3.44838798037263e-06,0.9705350914709,1.99385054374805e-06,1.71354132098236,0.000178556372558239,5.44223852412068e-06,"Malawi","Rumphi","STA Chisovya",244,5769.233335,"Pediatrics",10502.9708396,64
