"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,4592.370487,0,0.333,0,0,0,0,0,0,0,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"2",2,4587.16258188554,4.63242607078792,0.777136418514473,0.0133078390556895,0.000411996980447619,0.11761301785421,9.77126748218389e-06,5.20790511446023,0.0147487340761231,0.000428395521522874,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"3",3,4567.37064701288,21.2860807765116,3.40934253610611,0.0621549624028441,0.0026284893764136,0.572530289665087,0.000102933056500831,24.9998399871185,0.0715768320954661,0.00280123584539606,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"4",4,4480.16270863434,94.4385899278414,15.208450880182,0.279354914028591,0.01258055345425,2.60122198255935,0.000580107589865557,112.207778365655,0.32494375433961,0.0135541137582559,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"5",5,4115.62744447285,398.19848499302,66.0509179097358,1.23373064073019,0.0567750014576306,11.5333635648755,0.0027704173301748,476.743042527149,1.44032979912741,0.0614244292281123,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"6",6,2904.10234641544,1377.78790048208,257.178959256811,5.1267920070883,0.245521283788127,48.2495473050444,0.0124202497436439,1688.26814058456,6.02270393641249,0.266365455330604,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"7",7,923.10612380704,2754.66115322964,727.158974611345,17.6013616611875,0.949165159957232,169.174970969365,0.0517375614645458,3669.26436319296,21.0858927665553,1.03599325348316,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"8",8,78.7371525402486,2774.69710362821,1263.38510872415,42.6530679768452,2.89630115637953,430.149921201502,0.184831772656996,4513.63333445975,53.4380088686138,3.20649340333771,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"9",9,2.38328064081756,2147.24022249623,1557.83488199732,74.0631711908164,6.64759044242368,804.005728253431,0.528611978955355,4589.98720635918,99.4059969786461,7.53472870422818,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"10",10,0.0411211748337028,1615.48651790271,1632.11317358192,103.408501716123,12.117090003164,1228.31896847608,1.21811414516735,4592.32936582517,151.039859875871,14.161379025064,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"11",11,0.000706852873044864,1214.03389272413,1573.36060023482,126.227085702072,18.7766497047176,1657.94127322556,2.36327855582936,4592.36978014713,202.72178830874,22.7428005178746,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"12",12,1.56649008850756e-05,912.319622712222,1443.0070367485,141.156695925685,25.9684534202964,2066.22331267045,4.02834985794302,4592.3704713351,251.239653438983,32.7289950523236,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"13",13,4.69992137868762e-07,685.587988883731,1280.26813913289,148.532594479427,33.0839426473871,2439.00114988293,6.22967150364657,4592.37048653001,294.974103819874,43.5388323762951,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"14",14,1.23642568061815e-07,515.203418565292,1109.29443587212,149.492050796605,39.641999871963,2770.12883149553,8.94275027485033,4592.37048687636,333.305927938378,54.6500894545347,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"15",15,9.64492676575581e-07,387.16338920328,944.228352817562,145.448752755497,45.3096786275412,3058.44056385939,12.1127487722366,4592.37048603551,366.219417298911,65.6377894522567,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"16",16,5.96307717858485e-07,290.944970719207,792.691754308107,137.801964927689,49.8926173666429,3305.70687702925,15.6653020527933,4592.37048640369,394.040338821548,76.1827685304918,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"17",17,9.36723123564874e-08,218.638513907383,658.158059404758,127.791577043606,53.3118527357329,3515.28742622258,19.5160575922697,4592.37048690633,417.26684581164,86.0644994765382,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"18",18,1.81262731592529e-08,164.301825293971,541.534323021992,116.441225669942,55.5768097133629,3691.27108261835,23.5782206642523,4592.37048698187,436.46434429238,95.1467448061398,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"19",19,5.11381936638023e-09,123.469023665342,442.227722822614,104.549560283646,56.7592531615851,3837.92974964897,27.7681774127243,4592.37048699489,452.200886552415,103.36094518545,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"20",20,2.23074273797979e-09,92.7842201995874,358.83372978757,92.7084354614089,56.9708007768021,3959.39703232008,32.0092684523236,4592.37048699777,465.011029728213,110.690065392306,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"21",21,6.58437436384337e-10,69.7252527142472,289.576888225843,81.3326285742328,56.3447852757842,4059.48987313369,36.2340590755464,4592.37048699934,475.377362189167,117.154266456907,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"22",22,2.62014986531668e-10,52.3969576111621,232.580992290365,70.692814149447,55.0225305658857,4141.6247794599,40.3854129229727,4592.37048699974,483.72337878309,122.798983709353,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"23",23,3.0099318756135e-10,39.3751317714096,186.029383955897,60.947109932894,53.1434797628383,4208.79168060232,44.4167009743385,4592.3704869997,490.413002487356,127.68540553481,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"24",24,1.40934874644717e-10,29.5895043072129,148.251026572082,52.1691270031001,50.8385700105231,4263.5638633471,48.2913957598431,4592.37048699986,495.75406037533,131.883167182088,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"25",25,1.23551899046855e-10,22.2358305391278,117.760401337659,44.3714188831545,48.2262029056283,4308.12736000779,51.9822733265144,4592.37048699987,500.003674707424,135.464981895586,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"26",26,1.00320509388859e-10,16.7097216483704,93.2684697300945,37.524513546719,45.4101431569279,4344.32024695427,55.4703919635115,4592.3704869999,503.374462342165,138.502825629567,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"27",27,7.8818345369442e-11,12.5569762076988,73.676842855225,31.5717042476968,42.4788577471814,4373.67513620854,58.7439697335726,4592.37048699992,506.040766846631,141.065392437383,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"28",28,7.45200373902724e-11,9.43627583370131,58.0625679063758,26.4402866226322,39.5058295225326,4397.46127547351,61.7972516411699,4592.37048699992,508.144555838418,143.216506896102,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"29",29,6.29959236693592e-11,7.09114601838268,45.6587355838171,22.0497957183968,36.5505108454992,4416.72387311879,64.6294257150538,4592.37048699994,509.800747194492,145.014258684854,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"30",30,5.75603228928388e-11,5.32883304179569,35.8340255153147,18.3178418190185,33.6596493310145,4432.3195109798,67.2436263129946,4592.37048699994,511.10187789308,146.510655626087,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"31",31,5.30343815022358e-11,4.00449566562277,28.072594120377,15.164096375701,30.8687973790044,4444.94746036894,69.6460430902956,4592.37048699995,512.122137594158,147.75163785263,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"32",32,4.98856785296584e-11,3.00928670025821,21.9557119946791,12.5128299799315,28.2038705767016,4455.17664257029,71.8451451780834,4592.37048699995,512.920768960794,148.777334194256,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"33",33,4.75043611259705e-11,2.2614100082542,17.1453339661096,10.2944097323327,25.6826587484356,4463.46865425592,73.8510202889018,4592.37048699995,513.54491683893,149.622464087427,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
"34",34,4.57409411808104e-11,1.69939755284989,13.369869895177,8.44602124784702,23.3162371918143,4470.19713839792,75.674822714339,4592.37048699995,514.031981017612,150.316822418493,"Malawi","Zomba","STA Nkagula",321,4593.370487,"Elderly",49377.419707,86
