"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,60826.64808,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"2",2,60825.0783748108,1.27998310310708,0.910988451070155,0.0086545548553185,0.000107160567660484,0.369971297406634,6.22176782903659e-07,1.56970518918363,0.00940715721389189,0.000110238269623667,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"3",3,60823.2776084275,2.33205226649372,1.22519026438067,0.0173085820347654,0.000400488505915962,0.795515333579949,4.63747122613453e-06,3.37047157246626,0.0201993505145853,0.000423428536288476,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"4",4,60820.6789560409,3.69254143980381,1.83631858654072,0.0290781153100078,0.000905132583470386,1.41026539299114,1.52918764409973e-05,5.96912395910559,0.0357739265612169,0.000980776418850387,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"5",5,60816.5830781074,5.83438635770921,2.83387534204495,0.0466290648925209,0.00170785521762487,2.34836647697764,3.67957653818213e-05,10.0650018926073,0.0595313162366542,0.00188987165164218,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"6",6,60810.2219971095,9.1283664370967,4.41539898477535,0.0736679671770558,0.00296147848661949,3.80561267396006,7.53489829184298e-05,16.4260828904787,0.0964307560927478,0.00333420488693563,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"7",7,60800.3009909368,14.2563878923925,6.89110543748193,0.115702408804171,0.00491311963911779,6.07883973498657,0.00014046988963061,26.3470890631939,0.153988361041461,0.00560797754279386,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"8",8,60784.8178602862,22.2559348837422,10.7574935649923,0.181208166987131,0.00795160145106298,9.62738454808144,0.000246948537234256,41.8302197137914,0.243833898631134,0.00917317387024622,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"9",9,60760.6559318075,34.7364921169046,16.7922723221608,0.283374396402224,0.0126850203092024,15.1669064999783,0.000417836730988369,65.9921481924862,0.384086515116921,0.0147519198827475,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
"10",10,60722.9618194766,54.2011517726769,26.2082039960463,0.442758826959559,0.020062893098186,23.8133939407628,0.000689093920854431,103.686260523465,0.603000733459216,0.0234716119242631,"Malawi","Lilongwe","TA Chadza",110,60827.64808,"Adults",175833.45001,91
