"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,5531.939365,0,1,0,0,0,0,0,0,0,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"2",2,5316.05861373109,195.927168975815,18.9513461951512,0.226781995960317,0.00218035147139807,1.77325471357746,0.000019036931157463,215.880751268906,0.23416858355202,0.00221230821629839,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"3",3,1627.42691988823,3372.55046181032,471.418717233705,6.93208192662216,0.0781452340502017,54.5321995607544,0.000839346316501001,3904.51244511177,7.19770233743833,0.0795542203987671,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"4",4,0.474895506710297,3492.09124466091,1569.42178017726,51.62490578349,1.00782466531167,418.302738121004,0.0159760853192198,5531.46446949329,55.0794348529193,1.03464325696539,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"5",5,0.000000397703286969289,2377.44343114496,1982.71543657025,122.895969317619,4.09894749476398,1045.68226952684,0.103310547866334,5531.9393646023,137.16082137166,4.27237191891978,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"6",6,0.0000000343976257751695,1618.35509749859,1972.10374394521,193.068961319088,9.62595158486464,1739.43389878597,0.351711831890338,5531.93936496561,227.179958067085,10.2163600491899,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"7",7,-0.000000231170448264279,1101.63495784352,1766.1400715304,249.742344311796,17.1384609628426,2397.43870567253,0.844824910070711,5531.93936523117,311.700382438939,18.5566440677377,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"8",8,0.000000103391478171028,749.896369397558,1490.65579186221,289.231433677935,25.9403114451076,2975.57155869776,1.64389981604204,5531.93936489661,385.056312176933,28.6998784482347,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"9",9,-0.0000000297404314909634,510.463790920483,1211.04012878517,312.186269235506,35.333085567337,3461.13236829593,2.7837222253185,5531.93936502975,445.760837320646,40.0060394322237,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"10",10,0.0000000750750476474298,347.478702537387,958.016445386249,321.127635659131,44.7239539684372,3857.31777932803,4.27484804569398,5531.93936492493,494.414532511276,51.900017555257,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"11",11,-0.00000000506182690685978,236.533039789812,743.107950609142,319.123692278469,53.6603352542504,4174.40601276318,6.10833431021602,5531.93936500507,532.524327160044,63.9142191236004,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"12",12,-0.000000000588052918173476,161.011056892918,567.770081738277,309.127850078778,61.8276230918814,4424.94175440923,8.26099878950455,5531.93936500059,561.863272860757,75.6951224674067,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"13",13,-0.000000000597130649441247,109.602079794234,428.642936686189,293.690580172335,69.0305533856473,4621.27297666805,10.7002382941393,5531.9393650006,584.147145319874,86.9927334613143,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"14",14,-0.00000000342671565181934,74.6075619783922,320.477610516076,274.872345092369,75.16935964655,4774.42445667628,13.3880310937629,5531.93936500343,600.890194714931,97.6434596389317,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"15",15,-0.00000000515657272692054,50.7863026279766,237.686263541618,254.258500957618,80.2162351380325,4893.70801113991,16.2840515999982,5531.93936500516,613.358915580553,107.551800866585,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"16",16,-0.00000000489041063881473,34.5708799481477,175.092458895271,233.019049464055,84.1947689570698,4986.71425465027,19.3479530900796,5531.9393650049,622.575933070509,116.673617366447,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"17",17,-0.0000000000709668034413483,23.5328385939503,128.238692111012,211.98257567306,87.1630953042057,5059.48120663127,22.5409566865719,5531.93936500008,629.346584505604,125.001946360801,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"18",18,-0.0000000000209433725092241,16.0191048960199,93.4548591747602,191.708840553426,89.2007591857814,5116.72891929881,25.8268818912281,5531.93936500003,634.293434318472,132.555597701603,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"19",19,-0.000000000398556835767821,10.904396485306,67.8098902660934,172.552884585146,90.3988690965206,5162.10057343749,29.1727511298475,5531.93936500041,637.890887224198,139.370321385013,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"20",20,-0.0000000004436083058111,7.42275692158805,49.0139362680704,154.718309216543,90.8529790720664,5198.38230355169,32.5490799704927,5531.93936500045,640.496330475709,145.492176784841,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"21",21,-0.000000000345935134673748,5.05276202400561,35.3077635956159,138.299808320834,90.6581320969444,5227.6909542014,35.9299447615436,5531.93936500035,642.376495054037,150.972689602556,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
"22",22,-0.000000000279598617288895,3.4394751174345,25.3573080221009,123.316090231451,89.9055695973112,5251.62802425185,39.2928977801298,5531.93936500029,643.728915580214,155.865418922166,"Malawi","Blantyre","TA Chigaru",114,5532.939365,1,"Elderly",54548.756165
