"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,16557.40962,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"2",2,16544.3443287155,11.0605016751682,2.42384568213624,0.0620967333073552,0.00124754429395027,0.517580174782001,1.94748619945072e-05,13.0652912845497,0.0664880105928567,0.00128021702630474,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"3",3,16490.6417172225,53.4921743081303,11.3020869412419,0.310031422847061,0.00847137193509522,2.6549234403255,0.000215293028544331,66.7679027775084,0.34032804225974,0.00883256635595408,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"4",4,16239.320265459,251.435049859821,53.3785720686718,1.4786994736752,0.0430779981064756,12.7526742604765,0.00128088029742615,318.089354541048,1.63383248649333,0.0452269149587604,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"5",5,15066.2086494362,1172.88140995774,251.642971789465,6.99834193076072,0.206948828814464,60.4648217808906,0.00647627614942334,1491.20097056382,7.74546654694189,0.217813996297727,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"6",6,10774.1111942719,4414.3412612508,1063.47772095223,31.5854107237091,0.965555924211043,273.897429691403,0.0310471857790346,5783.29842572814,35.0760332141068,1.01764339941903,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"7",7,3358.80710882475,8956.74337526701,3106.27893249694,115.508290471464,4.01482832282114,1016.91806004362,0.139024573386297,13198.6025111753,130.079605035845,4.24806811051391,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"8",8,286.00484468962,8264.97113040803,5116.49433957658,283.959464247614,12.7926874929384,2593.66180240065,0.525351184568835,16271.4047753104,330.862918332297,13.6740626035996,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"9",9,11.3107350509821,5652.82102722695,5702.783030291,483.237458063595,29.7413626709014,4676.96872857818,1.54727811839307,16546.098884949,594.157451160085,32.3372118150156,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"10",10,0.436951225653411,3734.60350354689,5314.63644625541,653.089787783961,54.0901243370938,6797.94932948213,3.60347736886136,16556.9726687743,859.361251825499,60.1356332424409,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"11",11,0.0242884618645184,2462.30906887401,4529.54803727875,769.277957270022,83.1798495253329,8707.07105162828,6.99936696174495,16557.3853315381,1094.87232787221,94.9225999210129,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"12",12,0.00204852583085155,1623.27086347677,3662.42271192152,830.514630698963,114.040633649522,10316.2628668036,11.8958649237599,16557.4075714742,1290.14228814697,133.998177425111,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"13",13,0.000287226981434063,1070.12737325349,2860.30425958428,845.397048603026,144.150890587381,11620.1140662527,18.3156944920835,16557.409332773,1445.24983514481,174.87890212322,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"14",14,6.30931214198129e-05,705.471022730807,2179.57639014917,825.401995292176,171.677998208433,12650.1090383487,26.1731121775989,16557.4095569069,1564.89224593987,215.588301105748,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"15",15,2.01283274875752e-05,465.074867782579,1630.64697071535,781.563564861107,195.468599454333,13450.3470555973,35.3085414609938,16557.4095998717,1655.22917442145,254.705297784064,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"16",16,8.60622911353919e-06,306.59659587673,1202.73669524899,723.135425137739,214.936626862986,14065.4845057351,45.5197625322223,16557.4096113938,1722.34031352943,291.304563050355,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"17",17,4.61436055316054e-06,202.12111166997,877.109677983379,657.263851125535,229.924504259976,14535.4038036697,56.5866666770816,16557.4096153856,1771.56478872951,324.859247093756,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"18",18,2.93104206738806e-06,133.246325086955,633.745944743336,589.129743031712,240.572940214112,14893.4254423573,68.2892216355198,16557.4096170689,1807.29993828835,355.140913112801,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"19",19,2.14115798054892e-06,87.8413725556647,454.39167285735,522.272424714222,247.212742894331,15166.2719062827,80.4194985546151,16557.4096178588,1833.02323626183,382.131529640893,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"20",20,1.71414923740079e-06,57.9085926493714,323.682059367204,458.949375680437,250.281603991348,15374.799035102,92.7889514954556,16557.4096182858,1851.40847566496,405.952467205577,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"21",21,1.46278593031299e-06,38.1756639894784,229.290948303309,400.46573867081,250.263773691319,15534.9813548725,105.232139009829,16557.4096185372,1864.46977129593,426.810416944876,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"22",22,1.30773816787861e-06,25.1669380223867,161.644109764181,347.448454899085,247.648655515798,15658.8935220581,117.607938432685,16557.4096186923,1873.70065879827,444.958022650512,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"23",23,1.20861566456368e-06,16.5910613850652,113.475283593859,300.061471970106,242.904081638872,15755.5786337609,129.799086442556,16557.4096187914,1880.19499023202,460.666385289006,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"24",24,1.14366806927574e-06,10.9374955643358,79.3647991608888,258.167715904746,236.460470720007,15831.7684615747,141.710675931643,16557.4096188563,1884.74591584602,474.206699052279,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"25",25,1.10039692129626e-06,7.21043751245205,55.3248398799061,221.446820985219,228.702721189669,15892.4567294526,153.268069879795,16557.4096188996,1887.92380214254,485.838644775732,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"26",26,1.07124590915975e-06,4.75341089181401,38.4529610656939,189.478072330369,219.967384597268,15941.3432376395,164.414552404098,16557.4096189287,1890.13596137335,495.803622481479,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"27",27,1.05146594058179e-06,3.13364008166051,26.6554321575288,161.796997814074,210.543277929567,15981.1713395837,175.108931381952,16557.4096189485,1891.67154772734,504.321341647475,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"28",28,1.03798469927984e-06,2.06582193913238,18.4330992705422,137.932566022289,200.674202822259,16013.9807004687,185.32322843906,16557.409618962,1892.73478917284,511.588664940835,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"29",29,1.02877277586534e-06,1.36187317309158,12.7192921147202,117.430479419719,190.562834688735,16041.2946033633,195.040536211646,16557.4096189712,1893.46929005032,517.779902502245,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"30",30,1.0224700080239e-06,0.897801716230922,8.75915607543637,99.8667451039408,180.375142909573,16064.2576890414,204.253084130913,16557.4096189775,1893.97563281679,523.047987126215,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"31",31,1.01815581080431e-06,0.591867073286644,6.02100133165777,84.854616527703,170.244923352341,16083.7366827691,212.960527927744,16557.4096189818,1894.32402349304,527.526137104319,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"32",32,1.01520317069931e-06,0.390182616228815,4.13186364529454,72.0471472215298,160.27818115408,16100.39378297,221.168461377692,16557.4096189848,1894.56331440994,531.329742180873,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"33",33,1.01318338763671e-06,0.257224091095386,2.8310682525943,61.136948360369,150.557210906977,16114.7400286888,228.887138687005,16557.4096189868,1894.72740502409,534.558300301613,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"34",34,1.01180273442137e-06,0.169572487630141,1.93700987040422,51.8542574073522,141.144295852711,16127.1740930764,236.130390293697,16557.4096189882,1894.83976000528,537.297297861069,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"35",35,1.01085977483849e-06,0.111789024582192,1.32353400491013,43.964072161068,132.084996806284,16138.0105147251,242.914712267236,16557.4096189891,1894.9165844548,539.619970923636,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"36",36,1.01021634650242e-06,0.0736958756227953,0.903233872403613,37.2628517260783,123.41103271501,16147.5002959211,249.25850887958,16557.4096189898,1894.96904675962,541.588915053472,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"37",37,1.00977772194871e-06,0.0485834690271582,0.615692234219668,31.5751080455418,115.142773494179,16155.84599322,255.18146852729,16557.4096189902,1895.00482946514,543.257531142491,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"38",38,1.00947899318944e-06,0.0320281585017717,0.419234403326328,26.7500882727267,107.291376311995,16163.2128374197,260.704054424242,16557.4096189905,1895.02920844452,544.67130723684,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"39",39,1.00927573222638e-06,0.0211142354038884,0.285173950083679,22.6586625183317,99.8606007807973,16169.7369741261,265.847093379986,16557.4096189907,1895.0458005069,545.868943826715,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"40",40,1.00913755469539e-06,0.0139193851830233,0.193798031082732,19.1904794743788,92.848340179984,16175.531634467,270.631447453217,16557.4096189909,1895.05708175807,546.88333420642,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"41",41,1.0090437027327e-06,0.00917622229353953,0.131582961913451,16.2514110580884,86.2479044274695,16180.6917889362,275.077755384941,16557.409618991,1895.06474500996,547.742413651486,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
"42",42,1.00898001049076e-06,0.00604933399503259,0.0892653796189599,13.7612874748621,80.0490882450485,16185.2976962689,279.206232288539,16557.409618991,1895.06994604969,548.469891526548,"Malawi","Lilongwe","TA Kabudula",134,16558.40962,"Elderly",173614.55529,91
