"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,35339.06894,0,1,0,0,0,0,0,0,0,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"2",2,33764.0127532901,1468.19750038992,100.534675246688,0.180869086211377,0.000607077104682462,7.14253351981755,0.00000139015365624057,1575.0561867099,0.185091506990754,0.000613916424435864,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"3",3,496.420111475114,28855.4956262194,5302.98614138181,16.7634791930605,0.0791207006270441,668.324230555946,0.000230474030750005,34842.6488285248,17.3154576881143,0.0802545936928059,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"4",4,0.000000340325873850538,19989.6931627576,11288.4280592033,95.5766530552679,1.00123559999329,3965.36421258249,0.00561646098971179,35339.0689396597,102.653043102113,1.02886763363123,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"5",5,0.000000291973349360541,13607.2412427482,12917.7021267157,197.41459972002,3.52695472928113,8614.15143897416,0.0325768206290452,35339.068939708,222.774769150764,3.68722715084479,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"6",6,0.000000202565109085324,9262.62068415426,12355.777940404,290.722955006761,7.64731108284132,13423.1980211643,0.102027985238589,35339.0689397974,346.772364441276,8.14927143212322,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"7",7,0.0000000629299911426199,6305.18262299681,10835.7965497335,362.782779769257,12.9824065077038,17823.0925498778,0.232031051963027,35339.068939937,459.925158108807,14.1239598532417,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"8",8,-0.000000285572464038752,4292.0196605796,9026.8316775781,410.781190517586,19.0492667962782,21590.9521745216,0.434970292416735,35339.0689402855,556.51750263121,21.1892467184357,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"9",9,-0.0000000165445227212712,2921.63412928839,7268.37738090436,436.674890623033,25.3926143567446,24687.2727434948,0.71718134918244,35339.0689400165,635.589157909443,28.9210247207467,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"10",10,-0.000000140973879619682,1988.79527527251,5712.59249545709,444.336363270634,31.6392900634762,27161.6258094206,1.07970665663059,35339.0689401409,698.48135095558,36.9512633345049,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"11",11,0.000000226553622092082,1353.79920433741,4409.32356789936,438.047279613661,37.5121328744571,29099.867298194,1.51945685457775,35339.0689397734,747.464945581608,44.9876023905811,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"12",12,0.00000000155298711695433,921.547478747522,3355.92308013706,421.768669919491,42.8240360517319,30595.9752694657,2.03040567692465,35339.0689399984,785.010165587909,52.8132869458835,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"13",13,0.0000000554532743821506,627.308366105238,2525.69141475422,398.843793408876,47.4637509134647,31738.1569660035,2.60464875929068,35339.0689399445,813.427652778892,60.2781801890487,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"14",14,0.000000545299842727907,427.01658331581,1883.50630460402,371.931442558144,51.37956614461,32603.0017790592,3.23326377287793,35339.0689394546,834.718625180225,67.2866744635587,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"15",15,0.0000000606253027328957,290.675848450461,1393.92436058408,343.051369422664,54.5639445201905,33253.9464496102,3.90696735179343,35339.0689399393,850.536866144773,73.7855599618084,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"16",16,0.00000000268251054598087,197.8665549207,1024.96414366327,313.676614802628,57.0403683108105,33741.9046682905,4.61659000941354,35339.0689399973,862.206648416694,79.7532066384276,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"17",17,-0.00000000391186447324902,134.690226729496,749.509603612354,284.83706235239,58.8527593641289,34106.825887766,5.35340017952001,35339.0689400039,870.764486067479,85.190578519077,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"18",18,-0.000000000368289793650304,91.6853679913471,545.464079831477,257.217423952518,60.0573135569744,34379.5354449291,6.10930973887148,35339.0689400003,877.007912947213,90.1140792886906,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"19",19,0.000000000135143267391533,62.4113760702559,395.30854190549,231.241884699084,60.7164525626674,34583.5136953495,6.8769894128858,35339.0689399998,881.542433955664,94.5500718351424,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"20",20,0.0000000000299812390633835,42.4842213611832,285.431522654148,207.143466988268,60.8944981509656,34736.4653120833,7.64991876210714,35339.0689399999,884.822829074081,98.530798474116,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"21",21,0.0000000000500643057486008,28.9195544351663,205.419700211268,185.01889228115,60.6546962063431,34851.6337066703,8.42239019571956,35339.0689399999,887.187682603503,102.091424713189,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"22",22,0.0000000000388091550311374,19.6859032392291,147.403250201468,164.870697908865,60.0572730111171,34938.8623336346,9.18948200464866,35339.0689399999,888.887218889412,105.267962862401,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"23",23,0.0000000000435276841312309,13.4004290549403,105.493219733325,146.638843990565,59.1582540042312,35005.4311814036,9.94701181325603,35339.0689399999,890.105209754941,108.095861783286,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"24",24,0.0000000000359663016221182,9.12183720271372,75.3189388672928,130.223930574348,58.0088334453298,35056.7039211885,10.6914787217772,35339.0689399999,890.975898516574,110.60909190357,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"25",25,0.0000000000317380698310127,6.20934396252965,53.6587419987172,115.503913153737,56.655130354904,35096.6218104777,11.4200000523419,35339.0689399999,891.596896518562,112.839589958491,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"26",26,0.0000000000289335352267889,4.22677588415595,38.1518464806509,102.345856973621,55.1382082774424,35128.076005616,12.1302467681165,35339.0689399999,892.038888091367,114.8169610271,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"27",27,0.0000000000270951805312646,2.87721724041442,27.077051841112,90.6140060850785,53.4942660477199,35153.186018462,12.8203803236153,35339.0689399999,892.352874819347,116.568358612814,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"28",28,0.0000000000258612631850861,1.95855645201948,19.1849710885698,80.1751404317045,51.7549338952429,35173.5063454713,13.4889926610958,35339.0689399999,892.575538795848,118.118485540324,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"29",29,0.0000000000250214509559128,1.33321315449768,13.5722188542504,70.9019738582369,49.9476275840666,35190.1788561685,14.1350503803914,35339.0689399999,892.733187178843,119.489673420477,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"30",30,0.0000000000244443141596548,0.907534367158182,9.58782742363083,62.6751606891475,48.0959278504011,35204.0446460732,14.7578435964061,35339.0689399999,892.844637930952,120.702010475445,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"31",31,0.0000000000240449005617932,0.617769618277822,6.76415494391929,55.3843306431899,46.2199630398441,35215.7257820987,15.3569396560141,35339.0689399999,892.923320333641,121.773496470968,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"32",32,0.0000000000237672122873288,0.42052321147725,4.76618248624979,48.9284606945882,44.3367805072378,35225.6848514438,15.9321416565574,35339.0689399999,892.978797634772,122.720210034273,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"33",33,0.0000000000235735812009062,0.286255255941517,3.354496939204,43.215807020096,42.4606978700242,35234.268231353,16.4834515616853,35339.0689399999,893.017866781537,123.556478443622,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"34",34,0.0000000000234383172470348,0.194857428536529,2.35839224324796,38.1635562335135,40.6036290895888,35241.737467382,17.0110376230216,35339.0689399999,893.045350011544,124.295043429798,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"35",35,0.0000000000233437297493476,0.132641801464454,1.65640244515918,33.6973081645134,38.7753830179881,35248.2919987998,17.5152057709884,35339.0689399999,893.064662917051,124.947218970547,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"36",36,0.0000000000232775549747713,0.0902908818161682,1.162260637262,29.7504682127949,36.9839338430073,35254.0856118054,17.996374619623,35339.0689399999,893.078221095273,125.523038763579,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"37",37,0.0000000000232312535494852,0.0614622538982566,0.814805092580613,26.2636021514413,35.2356640449398,35259.2383527256,18.4550537314967,35339.0689399999,893.0877305026,126.031392250446,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"38",38,0.0000000000231988617058111,0.0418381181625938,0.570739689922049,23.1837886525506,33.5355812074745,35263.8451675315,18.8918248003289,35339.0689399999,893.094394432181,126.480148849089,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"39",39,0.0000000000231762078553403,0.0284797206200188,0.399463327069315,20.4639916438999,31.8875104371223,35267.9821694389,19.3073254323875,35339.0689399999,893.099060499135,126.876270580502,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"40",40,0.0000000000231603711384385,0.0193864942671296,0.279376002580596,18.0624666843764,30.2942643462168,35271.7112112453,19.702235227203,35339.0689399999,893.102325134127,127.225913571223,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"41",41,0.0000000000231493054518271,0.0131966271484607,0.195250335248847,15.9422084732711,28.7577926472771,35275.0832280315,20.0772638854906,35339.0689399999,893.104607577205,127.534519140687,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"42",42,0.0000000000231415774802811,0.00898310798164319,0.136364365185377,14.070443014188,27.2793133399523,35278.1406950736,20.4331410990068,35339.0689399999,893.106202219735,127.806895247986,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"43",43,0.0000000000231361833770806,0.00611491284682568,0.0951768005765778,12.4181650668557,25.8594274073949,35280.9194478122,20.7706080001058,35339.0689399999,893.107315591477,128.047289121509,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"44",44,0.0000000000231324203446252,0.00416249669489757,0.0663889709644175,10.9597197479047,24.4982188097426,35283.4500400015,21.0904099731654,35339.0689399999,893.108092455187,128.259451885868,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"45",45,0.0000000000231297966078953,0.00283347397025701,0.0462817037753842,9.67242610724051,23.1953414159693,35285.7587666465,21.3932906525415,35339.0689399999,893.108634190469,128.446695964697,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"46",46,0.00000000002312796818255,0.00192878870171022,0.0322464637362721,8.53623971858846,21.9500944245093,35287.8684436575,21.679986946919,35339.0689399999,893.109011750423,128.611946021934,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"47",47,0.0000000000231266946447798,0.00131295578275819,0.0224556183007081,7.53345145803874,20.7614875513267,35289.7990074569,21.9512249596521,35339.0689399999,893.109274746719,128.757784078656,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"48",48,0.000000000023125808059035,0.000893761851011693,0.015629762289067,6.64841918401387,19.6282972534015,35291.567983359,22.2077166793569,35339.0689399999,893.10945784273,128.886489454843,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"49",49,0.000000000023125191116262,0.000608393941330292,0.0108733999094653,5.86732877494868,18.5491151868504,35293.1908569189,22.45015732543,35339.0689399999,893.109585256718,129.0000741679,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"50",50,0.0000000000231247620257286,0.000414143416147231,0.00756099190470111,5.17798258764684,17.5223896011119,35294.6813693979,22.6792232779885,35339.0689399999,893.109673876561,129.100314142502,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"51",51,0.000000000023124463717016,0.000281913038133707,0.00525531439622553,4.5696114005943,16.5464608522938,35296.0517600368,22.8955704828721,35339.0689399999,893.109735487069,129.188776876821,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"52",52,0.0000000000231242564186781,0.000191901427699344,0.00365117582871228,4.03270808482024,15.6195915749917,35297.3129639832,23.0998332796874,35339.0689399999,893.109778301424,129.26684584852,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"53",53,0.0000000000231241124399419,0.000130637949411989,0.00253576084063449,3.55888054134417,14.7399922376744,35298.4747772368,23.2926235853759,35339.0689399999,893.109808038297,129.335742053433,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"54",54,0.0000000000231240124473316,0.0000889199681033602,0.00176027647610362,3.14072060420468,13.9058429480494,35299.5459968922,23.4745303590666,35339.0689399999,893.109828690535,129.396543178098,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"55",55,0.0000000000231239430458578,0.000060523495750281,0.00122147849796281,2.77168982142818,13.1153113651153,35300.5345374599,23.646119351534,35339.0689399999,893.109843024603,129.450200279185,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"56",56,0.0000000000231238948995357,0.000041198459585987,0.00084731916057707,2.44601716659905,12.3665679598041,35301.4475333182,23.8079330377059,35339.0689399999,893.109852968692,129.497552712084,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"57",57,0.0000000000231238615027336,0.0000280405852654523,0.000587535259264787,2.15860918185193,11.6577985296618,35302.2914259766,23.9604907359604,35339.0689399999,893.109859866443,129.539341232512,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"58",58,0.0000000000231238383503478,0.000019086189638173,0.000407272108046697,1.90497052702631,10.9872144833197,35303.0720397605,24.1042888707675,35339.0689399999,893.109864648325,129.576219573133,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"59",59,0.0000000000231238223044583,0.000012991966489729,0.000282227950120823,1.68113380279527,10.3530611943792,35303.7946484304,24.239801352471,35339.0689399999,893.109867962438,129.608764665904,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"60",60,0.0000000000231238111858522,0.00000884261311675784,0.000195508122469021,1.48359762416103,9.75362467553907,35304.4640332962,24.3674800533014,35339.0689399999,893.109870258873,129.637485658112,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"61",61,0.0000000000231238034853113,0.00000601904556985995,0.000135397350056282,1.3092718848544,9.1872368367358,35305.084534504,24.4877553579609,35339.0689399999,893.109871849342,129.662831879289,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"62",62,0.0000000000231237981530346,0.00000409710254718388,0.0000937400934072024,1.15542949164479,8.65227950743033,35305.66009639,24.6010367737248,35339.0689399999,893.10987295067,129.685199865102,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"63",63,0.0000000000231237944616472,0.00000278856489354545,0.0000648799531297345,1.01966372989453,8.14718742168073,35306.1943075954,24.7077135844994,35339.0689399999,893.109873713089,129.704939560275,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"64",64,0.0000000000231237919072396,0.00000189818802052997,0.0000448938675419561,0.89985063900926,7.67045031517536,35306.6904367166,24.8081555370931,35339.0689399999,893.109874240677,129.722359791961,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"65",65,0.0000000000231237901398688,0.00000129205087838167,0.0000310557739767874,0.794115804069567,7.22061427230082,35307.1514640265,24.9027135492351,35339.0689399999,893.109874605709,129.73773310014,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"66",66,0.0000000000231237889173639,0.000000879370421812394,0.0000214772606704932,0.700805024486249,6.79628244521953,35307.5801097431,24.9917204305193,35339.0689399999,893.109874858206,129.751300003622,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"67",67,0.0000000000231237880720621,0.000000598596476640291,0.000014849616548682,0.618458472334047,6.39611523636745,35307.9788592338,25.0754916092053,35339.0689399999,893.109875032794,129.763272758278,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"68",68,0.0000000000231237874876524,0.000000407436631392044,0.0000102645578996963,0.545787839292409,6.01883005010275,35308.3499855803,25.1543258582096,35339.0689399999,893.109875153498,129.773838680442,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"69",69,0.0000000000231237870837335,0.000000277301448650528,0.00000709357491639232,0.48165619129996,5.66320067686245,35308.6955697452,25.2285060157255,35339.0689399999,893.109875236924,129.7831630764,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"70",70,0.0000000000231237868046228,0.000000188761484723809,0.0000049010203376736,0.425060175341057,5.32805638320409,35309.0175186555,25.2982996960867,35339.0689399999,893.109875294571,129.791391829753,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"71",71,0.0000000000231237866117498,0.00000012845363575203,0.00000338503044083985,0.375114312654995,5.01228076267525,35309.3175814236,25.3639599875638,35339.0689399999,893.109875334407,129.798653685331,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
"72",72,0.0000000000231237864785869,0.0000000874367958847705,0.00000233774371588577,0.331037225503499,4.71481038662769,35309.597363829,25.4257261336658,35339.0689399999,893.109875361911,129.805062251896,"Malawi","Chiradzulu","TA Kadewere",137,35340.06894,1,"Adults",104595.76592
