"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,4056.015334,0,1,0,0,0,0,0,0,0,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"2",2,4040.22943154019,14.042814647045,2.34746326123185,0.041531423597627,0.00128937644689576,0.352773183016184,3.05684726379361e-05,15.7859024598102,0.0460219457841987,0.00134066183860269,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"3",3,3979.42793266714,65.2495267428784,10.403871181904,0.195469655056279,0.00826764269646361,1.72994304399249,0.000323066336781723,76.5874013328644,0.224977443003064,0.00880965811952441,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"4",4,3706.45732776818,294.391513850187,47.2633536718918,0.891468917166473,0.0399787497792025,7.96985790661102,0.00183313618368389,349.55800623182,1.03567831020805,0.0430542422431505,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"5",5,2720.18136519752,1101.27399247756,196.315623260393,3.9069451984991,0.181690568138329,35.1468773277257,0.00883997016570395,1335.83396880249,4.56519061335219,0.196521578440854,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"6",6,914.312239401868,2399.52508188143,597.007814343108,14.2958071917926,0.743068458167707,131.092371409967,0.0389513136706771,3141.70309459813,17.0035881715199,0.808417924683774,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"7",7,76.3037781720368,2503.00872158531,1087.97662262423,36.5059039390523,2.3902445021449,350.68346223785,0.146600939369069,3979.71155582797,45.3358076799543,2.63620008812389,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"8",8,2.01187085242275,1941.29734314089,1367.42480438293,65.2994317707088,5.69014711088489,674.854965677183,0.436771064982602,4054.00346314758,86.8129091439926,6.42292743063454,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"9",9,0.0321957542126764,1460.43226053605,1444.74490967568,92.6403712556779,10.6075513793808,1047.52301747553,1.0350279234744,4055.98313824579,133.986507180438,12.3440402485406,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"10",10,0.000500129615890725,1097.50710731335,1399.26474814961,114.158574836552,16.6720693815742,1427.36632815228,2.04600603701995,4056.01483387039,181.498892028169,20.1046982304585,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"11",11,8.65931873894266e-06,824.752072629014,1287.15908758621,128.449944113833,23.277202880905,1789.84427261529,3.53274551542893,4056.01532534068,226.268764375403,29.2041669037925,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"12",12,2.17360104262257e-07,619.782930261507,1144.35052036107,135.744609998961,29.8540438358644,2121.76945677434,5.51377255090751,4056.01533378264,266.724816008973,39.1046200228235,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"13",13,4.16955220784257e-08,465.752503219428,993.026390042547,137.054211344581,35.9484063281163,2417.26457813807,7.96924488556755,4056.01533395831,302.245894863725,49.3185818813939,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"14",14,6.58961319294597e-08,350.002085569449,846.238339911785,133.670110278152,41.242691755917,2675.0115745513,10.8505318675043,4056.01533393411,332.786292527443,59.4468651748688,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"15",15,2.65772342338811e-07,263.018929033718,711.076178110772,126.884214484314,45.5484054420483,2896.3973624721,14.0902441912757,4056.01533373423,358.627863147578,69.1879147219153,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"16",16,1.26645044120202e-07,197.652816026176,590.829632284815,117.848343496688,48.7853080891232,3084.28807946965,17.6111545069023,4056.01533387336,380.219687252001,78.3319252196382,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"17",17,6.79527900776198e-08,148.531612404769,486.43262555705,107.517558459796,50.9565482045479,3242.24368413712,21.3333051687689,4056.01533393205,398.078050007535,86.7478984935371,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"18",18,1.4107810428274e-08,111.618111498732,397.434000478251,96.639983098285,52.1244634127379,3374.01945332063,25.1793221772608,4056.01533398589,412.725070814678,94.3683601252352,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"19",19,5.12114645830452e-09,83.8784318985071,322.627956622706,85.7721983120069,52.3895637896951,3483.26916688457,29.0780164873994,4056.01533399488,424.653940515523,101.174384780918,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"20",20,2.12447814791744e-09,63.0326996587035,260.456965870071,75.306044830283,51.8735295761775,3573.37952504891,32.966569013734,4056.01533399788,434.311053831848,107.182259754755,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"21",21,1.04220818475229e-09,47.3676909133991,209.261046796579,65.4988373265,50.7062446011991,3647.38991343216,36.7916009291282,4056.01533399896,442.088806712152,112.432314055964,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"22",22,6.09833884403342e-10,35.5957516309974,167.425134559007,56.5026204038897,49.0164362039873,3707.9659748513,40.5094163502089,4056.01533399939,448.324864678518,116.979965489427,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"23",23,3.9535786290714e-10,26.7494160015354,133.458857802437,48.3900569461294,46.9254043825964,3757.40593565628,44.0856632106306,4056.01533399961,453.305141353672,120.888880843996,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"24",24,2.40336742364139e-10,20.1015434723671,106.03468839663,41.1763637135049,44.5431112692897,3797.66500302095,47.4946241270204,4056.01533399976,457.268650849274,124.225875638247,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"25",25,1.94433520412802e-10,15.1058627386007,83.9985987939882,34.8369926329505,41.9661652533143,3830.38943287926,50.7182817016917,4056.01533399981,460.413184382528,127.057330081274,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"26",26,1.56483664563224e-10,11.3517107110786,66.3663913184471,29.321518232064,39.27708956057,3856.9533280695,53.7452961081813,4056.01533399985,462.901002375012,129.446742325369,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"27",27,1.30732045715189e-10,8.53055140117653,52.3101398994837,24.5641593012709,36.544575363434,3878.49595241125,56.5699556232526,4056.01533399987,464.86430641803,131.453220860547,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"28",28,1.14426553053353e-10,6.41051583128202,41.1414554126212,20.4915193433663,33.8243153496444,3895.9563522498,59.1911758131744,4056.01533399989,466.410147674908,133.13063899648,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"29",29,1.02509123580598e-10,4.81735454156048,32.2932608072964,17.0280940802536,31.1602065745726,3910.10484392658,61.6115740696362,4056.0153339999,467.624762675553,134.52728504353,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"30",30,9.43808908463561e-11,3.62013183958111,25.3019722892272,14.1000341081074,28.5857321387258,3921.57082213001,63.8366414942584,4056.01533399991,468.577310281515,135.685854642879,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"31",31,8.84087761788488e-11,2.7204460645686,19.7911278949041,11.6375619938389,26.1253944770503,3930.86678305764,65.8740205119063,4056.01533399991,469.323030107946,136.643672091966,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"32",32,8.39086413208309e-11,2.04435311612066,15.4566822313292,9.57641000642745,23.7961119831684,3938.40888849505,67.7328881678223,4056.01533399992,469.905892661493,137.433052312906,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"33",33,8.05263952176879e-11,1.53628439083742,12.0542835805723,7.85852641278864,21.608526497783,3944.53427272563,69.4234403923071,4056.01533399992,470.360786870848,138.081743080529,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"34",34,7.79709263831563e-11,1.15448265027004,9.3883716661781,6.4322873906714,19.568186246427,3949.51553667774,70.956469368642,4056.01533399993,470.715319247695,138.613398901094,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"35",35,7.60486137937222e-11,0.86756724343122,7.30302396438999,5.25236441241581,17.6765926380278,3953.57276196021,72.3430237814525,4056.01533399993,470.991278269318,139.048057802142,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"36",36,7.45850104100752e-11,0.651956892243075,5.67432950082074,4.27937776976281,15.9321057080708,3956.88342212506,73.5941420039652,4056.01533399993,471.205821314904,139.402599138112,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"37",37,7.34679072126916e-11,0.48993071066334,4.40410962400249,3.47942234655856,14.3307143815066,3959.59050943968,74.7206474975176,4056.01533399993,471.372430667619,139.691170590556,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"38",38,7.26111048452921e-11,0.368171582597701,3.41477969089141,2.8235326005134,12.8666801439717,3961.80917310128,75.7329968806709,4056.01533399993,471.501680685943,139.925576941605,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"39",39,7.19304390498819e-11,0.276672425278626,2.64517807368622,2.287128991438,11.5330667978895,3963.63211604914,76.641171662492,4056.01533399993,471.601850235599,140.115628188639,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"40",40,7.14151574725875e-11,0.207912992572239,2.04719452414313,1.8494777846191,10.3221693678803,3965.1339737709,77.4546055598124,4056.01533399993,471.679410663187,140.269446508281,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"41",41,7.10135344491606e-11,0.156241833389487,1.5830604144864,1.49318101388701,9.22585590191034,3966.37485441869,78.1821404175657,4056.01533399993,471.739412910332,140.393734104139,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"42",42,7.07066104389592e-11,0.117412150785341,1.22317996092879,1.20370834228811,8.23583459221116,3967.40319415201,78.8320048017079,4056.01533399993,471.785793793922,140.4940044126,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"43",43,7.04701737703739e-11,0.0882325155807075,0.94440101994333,0.968975638833073,7.34385838183463,3968.25805638036,79.411810063377,4056.01533399993,471.821617791301,140.574780106142,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"44",44,7.02882295465587e-11,0.0663046654888139,0.728639762910285,0.77897153681413,6.54187771936979,3968.97098067285,79.9285596425012,4056.01533399993,471.849267529314,140.639761456915,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"45",45,7.01482226162e-11,0.0498264385601376,0.561792213602012,0.625430681409196,5.82215073347135,3969.56746577673,80.3886681561575,4056.01533399993,471.870593326467,140.691968536223,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"46",46,7.00426458112444e-11,0.0374434263294971,0.432872058180495,0.501550887197799,5.17731931959911,3970.06816101016,80.7979872984641,4056.01533399993,471.887030745974,140.73386075408,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"47",47,6.9964169051778e-11,0.0281378708196867,0.333332790834291,0.401750352445252,4.60045770409237,3970.4898188515,81.1618364302405,4056.01533399993,471.899692373057,140.767436744219,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"48",48,6.9902521295588e-11,0.0211449638777963,0.256533343332776,0.321460955648673,4.0850997056204,3970.84605912379,81.4850359076569,4056.01533399993,471.909439713505,140.794317541748,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"49",49,6.98557698391456e-11,0.0158899497224342,0.197318884078824,0.25695343192898,3.62524940065315,3971.14798051849,81.7719418150559,4056.01533399993,471.916939274891,140.815815520625,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
"50",50,6.981959438919e-11,0.0119409102007944,0.151692182521304,0.20519023294905,3.21537933496729,3971.40465034412,82.0264809951745,4056.01533399993,471.922706288236,140.832991376132,"Malawi","Salima","TA Kambwiri",62,4057.015334,"Elderly",46073.419504,64
